day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,272,15,1,5,1,6,5,0,2029,82,447,65.63,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-02,354,28,1,12,0,10,4,0,2589,191,438,64.35,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-01-03,296,19,0,9,0,5,3,2,2156,127,437,64.08,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-01-04,324,15,0,6,0,5,1,0,2474,107,458,67.18,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1
2019-01-05,297,11,0,6,0,5,0,0,2149,91,434,63.68000000000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,1
2019-01-06,323,15,2,11,1,5,6,0,2316,130,430,63.1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-01-07,252,15,1,10,0,5,2,2,1905,107,453,66.53,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-01-08,203,17,0,6,0,5,1,0,1525,154,450,66.11,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-01-09,226,16,0,7,0,5,3,2,1765,123,468,68.74,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-01-10,297,20,0,8,0,4,3,0,2184,147,441,64.69,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-01-11,454,15,0,12,0,6,4,1,3323,139,439,64.41,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
