day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,32,4,0,1,0,2,0,0,115,13,216,53.54,0.10529999999999999,0,23,19,23,2,0,0,0.0,0,8,0,0,0,0
2019-01-02,20,1,0,0,0,0,0,0,107,5,321,79.55,0.0,0,32,26,32,0,0,0,0.11109999999999999,1,9,0,1,0,0
2019-01-03,25,1,0,2,0,0,0,0,128,6,309,76.51,0.0,0,39,32,39,0,0,0,0.0,0,10,0,0,1,0
2019-01-04,32,0,0,1,0,1,0,0,120,0,225,55.86,0.0,0,37,30,37,0,0,0,0.0,1,13,0,0,0,0
2019-01-05,35,1,0,2,0,1,0,0,133,6,228,56.46,0.0,0,20,19,20,0,0,0,0.0,1,8,0,0,0,0
2019-01-06,32,1,0,3,0,2,0,1,112,0,211,52.25,0.0417,0,28,24,28,1,0,0,0.0,0,9,0,0,1,0
2019-01-07,12,2,0,1,0,0,1,0,48,13,241,59.760000000000005,0.0,0,11,9,11,0,0,0,0.0,0,4,0,0,0,0
2019-01-08,36,3,0,1,0,0,0,0,145,18,241,59.82999999999999,0.0,0,46,38,46,0,0,0,0.0,0,9,0,0,0,0
2019-01-09,20,1,0,1,0,1,0,0,94,6,284,70.5,0.0,0,21,17,21,0,0,0,0.0,0,7,0,0,0,0
2019-01-10,26,2,0,1,0,4,2,0,105,1,243,60.24,0.0,0,16,13,16,0,0,0,0.0,0,11,0,0,0,0
2019-01-11,18,0,0,0,0,0,0,0,67,0,225,55.92,0.0,0,22,18,22,0,0,0,0.0,0,8,0,0,0,0
2019-01-12,26,1,0,1,0,1,0,0,135,6,312,77.33,0.0,0,23,19,23,0,0,2,0.0,1,9,2,0,0,0
2019-01-13,28,4,0,0,0,0,0,1,127,19,273,67.7,0.0,0,18,15,18,0,0,0,0.0,0,6,0,0,0,0
2019-01-14,21,0,0,0,0,0,0,0,96,0,276,68.56,0.0,0,42,34,42,0,0,0,0.0,0,8,0,0,0,0
2019-01-15,32,2,0,2,0,0,0,0,142,13,266,65.94,0.0,0,15,12,15,0,0,0,0.0,0,9,0,0,0,0
2019-01-16,38,4,1,1,0,0,0,0,137,19,217,53.76,0.0,0,0,0,0,0,0,0,0.0,1,8,0,0,0,0
2019-01-17,16,0,1,1,0,0,0,0,77,0,292,72.32,0.0,0,0,0,0,0,0,0,0.0,0,5,0,0,0,0
2019-01-18,16,1,0,3,0,2,0,0,64,1,243,60.309999999999995,0.0,0,0,0,0,0,0,0,0.0,0,5,0,0,0,0
2019-01-19,20,1,0,0,0,1,1,0,100,11,302,74.78,0.0,0,0,0,0,0,0,0,0.0,1,4,0,0,0,0
2019-01-20,20,1,0,0,0,1,0,0,69,6,207,51.38,0.0,0,0,0,0,0,0,0,0.0,0,4,0,0,0,0
2019-01-21,23,1,0,0,0,0,1,0,93,6,245,60.65999999999999,0.0,0,0,0,0,0,0,0,0.0,0,11,0,0,0,0
2019-01-22,14,0,0,0,1,0,0,1,44,0,190,47.16,0.0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0
