day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,166,11,1,0,0,4,1,0,1110,91,401,55.66,0,0,0,0,0,0,0,0.0,0.0,0,69,0,0,1,0
2019-01-02,175,8,1,1,0,2,1,0,1197,72,410,56.940000000000005,0,0,0,0,0,0,0,0.0,0.0,0,62,0,0,0,0
2019-01-03,171,7,1,0,0,3,3,0,1281,49,449,62.35000000000001,0,0,0,0,0,0,0,0.0,0.0,0,56,0,0,0,0
2019-01-04,237,15,0,7,0,1,2,0,1582,109,400,55.559999999999995,0,0,0,0,0,0,0,0.0,0.0,0,110,0,0,0,0
2019-01-05,270,14,0,5,0,7,0,0,1708,108,379,52.65,0,0,0,0,0,0,0,0.0,0.0,0,75,0,0,1,0
2019-01-06,279,15,0,5,0,3,2,0,1741,126,374,51.93,0,0,0,0,0,0,0,0.0,0.0,0,102,0,0,0,0
2019-01-07,204,12,1,6,1,3,3,3,1427,75,419,58.22999999999999,0,0,0,0,0,0,0,0.0,0.0,0,95,0,0,3,0
2019-01-08,184,6,1,5,0,3,4,0,1139,32,371,51.56,0,0,0,0,0,0,0,0.0,0.0,0,79,0,0,1,0
2019-01-09,267,11,0,10,0,3,2,0,1738,68,390,54.18999999999999,0,0,0,0,0,0,0,1.0,0.009399999999999999,1,106,1,1,1,0
2019-01-10,205,14,0,4,0,1,0,1,1277,80,373,51.84000000000001,0,0,0,0,0,0,0,0.0,0.0,0,74,0,0,1,0
2019-01-11,257,16,1,3,0,6,2,0,1704,113,397,55.19,0,0,0,0,0,0,0,0.0,0.0,0,71,0,0,0,0
2019-01-12,431,18,0,4,1,7,3,1,2826,138,393,54.58,0,0,0,0,0,0,0,0.0,0.0,0,152,0,0,1,0
2019-01-13,643,26,1,6,1,6,3,4,4230,205,394,54.75,0,0,0,0,0,0,0,0.0,0.0045000000000000005,1,220,0,1,1,0
2019-01-14,413,25,2,7,0,4,3,0,2653,196,385,53.459999999999994,0,0,0,0,0,0,0,0.0,0.0084,1,119,0,1,2,0
2019-01-15,256,18,0,3,0,2,2,0,1832,139,429,59.57,0,0,0,0,0,0,0,0.0,0.0,0,88,0,0,1,0
2019-01-16,161,8,0,7,1,3,1,1,1093,61,407,56.49999999999999,0,0,0,0,0,0,0,0.0,0.0,0,53,0,0,1,0
2019-01-17,129,9,0,2,0,3,6,0,851,68,396,54.94,0,0,0,0,0,0,0,0.0,0.0,0,51,0,0,0,0
2019-01-18,117,8,0,5,0,0,1,0,863,66,443,61.45,0,0,0,0,0,0,0,0.0,0.0,1,52,0,0,0,0
2019-01-19,141,8,0,5,1,5,3,0,1048,67,446,61.88,0,0,0,0,0,0,0,0.0,0.0,0,67,0,0,0,0
2019-01-20,175,7,0,7,0,2,2,0,1218,39,417,57.92,0,0,0,0,0,0,0,0.0,0.0,0,71,0,0,0,0
2019-01-21,115,7,1,3,0,1,1,1,794,72,414,57.52,0,0,0,0,0,0,0,0.0,0.0256,1,39,0,1,0,0
2019-01-22,89,8,0,2,0,4,1,0,552,41,372,51.64,0,0,0,0,0,0,0,1.0,0.0333,1,30,1,1,1,0
2019-01-23,113,11,0,5,0,1,0,0,848,88,450,62.470000000000006,0,0,0,0,0,0,0,0.0,0.0,0,52,0,0,0,0
2019-01-24,115,8,0,2,0,2,1,0,761,53,397,55.06999999999999,0,0,0,0,0,0,0,0.0,0.0,0,38,0,0,0,0
2019-01-25,107,5,0,2,0,1,0,0,724,40,406,56.31,0,0,0,0,0,0,0,0.0,0.0,1,36,0,0,0,0
2019-01-26,112,8,0,4,0,2,3,0,818,65,438,60.79,0,0,0,0,0,0,0,0.0,0.0,0,36,0,0,0,0
2019-01-27,157,6,1,6,0,6,2,0,1169,58,447,62.0,0,0,0,0,0,0,0,0.0,0.0,0,68,0,0,1,0
2019-01-28,119,6,0,3,0,2,1,0,783,62,394,54.77000000000001,0,0,0,0,0,0,0,0.0,0.0,0,44,0,0,1,0
2019-01-29,115,4,0,2,1,1,0,0,790,32,412,57.19,0,0,0,0,0,0,0,0.0,0.0,0,43,0,0,0,0
2019-01-30,97,3,0,1,0,2,0,0,701,32,433,60.18,0,0,0,0,0,0,0,0.0,0.0,0,34,0,0,0,0
2019-01-31,61,1,0,2,0,2,0,0,417,12,410,56.89999999999999,0,0,0,0,0,0,0,0.0,0.0,0,20,0,0,0,0
2019-02-01,200,15,0,6,0,5,3,0,1602,152,480,66.68,0,0,0,0,0,0,0,0.0,0.0,0,94,0,0,0,0
2019-02-02,646,39,2,11,0,10,4,0,4439,290,412,57.19,0,0,0,0,0,0,0,0.0,0.0044,1,225,0,1,3,0
2019-02-03,755,49,0,23,1,13,5,1,4810,378,382,53.02,0,0,0,0,0,0,0,0.0,0.0034999999999999996,1,287,0,1,4,0
2019-02-04,498,25,1,9,1,7,3,1,2979,161,358,49.79,0,0,0,0,0,0,0,0.0,0.0054,1,184,0,1,1,0
2019-02-05,470,24,0,11,0,9,2,0,2924,166,373,51.790000000000006,0,0,0,0,0,0,0,0.0,0.0,0,156,0,0,3,0
2019-02-06,601,32,3,6,0,8,4,0,3721,222,371,51.53,0,0,0,0,0,0,0,0.0,0.0,0,200,0,0,2,0
2019-02-07,346,12,1,9,0,7,2,0,2212,104,383,53.2,0,0,0,0,0,0,0,0.0,0.0,0,145,0,0,3,0
2019-02-08,242,16,0,2,0,5,2,1,1473,114,365,50.64999999999999,0,0,0,0,0,0,0,0.0,0.0,0,89,0,0,0,0
