day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,6,0,0,0,0,0,0,0,11,0,117,45.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-02,2,0,0,0,0,0,0,0,5,0,160,62.85000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-03,5,0,0,1,0,0,1,0,9,0,119,46.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-04,5,0,0,0,0,0,0,0,13,0,165,64.64,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0
2019-01-05,5,0,0,0,0,2,1,0,13,0,164,64.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-06,6,0,0,0,0,0,0,0,21,0,210,82.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-07,2,0,0,1,0,0,0,0,8,0,253,99.17,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0
2019-01-08,1,0,0,0,0,0,0,0,0,0,48,19.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-09,3,0,0,0,0,0,0,0,7,0,140,54.89000000000001,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0
2019-01-10,9,2,0,0,0,0,0,0,23,2,156,61.22,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0
2019-01-11,8,0,0,0,0,0,0,0,26,0,199,78.02,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0
2019-01-12,13,1,0,0,0,1,0,0,16,0,75,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-13,8,0,0,0,0,0,0,0,23,0,172,67.43,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0
2019-01-14,9,2,0,1,0,0,0,0,22,8,150,58.82999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
