day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2014-11-27,144,0,14,6,0,3,0,0,307,0,128,32.35,0.08,0.0,25,25,12,2,0,0.0,0.0,0,0,0,0,0,0
2014-11-28,127,0,5,7,0,3,1,0,232,0,109,27.690000000000005,0.0,0.2,10,10,5,0,1,0.0,0.0,0,0,0,0,1,0
2014-11-29,37,0,3,1,0,0,0,0,140,0,228,57.61999999999999,0.07690000000000001,0.0,26,26,18,2,0,0.0,0.0,0,0,0,0,0,0
2014-11-30,28,0,2,0,0,0,0,0,49,0,106,26.96,0.0,0.0,3,3,3,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-01,26,0,0,0,0,1,0,0,59,0,136,34.56,0.0,0.0,13,13,11,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-02,15,0,0,0,0,0,0,0,39,0,157,39.86,0.0,0.0,5,5,4,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-03,23,0,0,1,0,0,0,0,62,0,163,41.25,0.0,0.0,14,14,11,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-04,11,0,0,1,0,1,1,0,38,0,209,52.99,0.0,0.0,13,13,10,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-05,19,0,0,0,0,0,0,0,34,0,108,27.33,0.0,0.0,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-06,15,0,0,0,0,0,0,0,28,0,114,28.970000000000002,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-07,13,0,0,0,0,2,0,0,15,0,73,18.44,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-08,12,0,0,0,0,0,0,0,22,0,112,28.300000000000004,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-09,14,0,0,0,0,0,0,0,33,0,145,36.68,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-10,9,0,0,0,0,1,0,0,19,0,129,32.6,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-11,16,0,0,1,0,1,1,0,34,0,130,33.07,0.0,0.0,8,8,7,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-12,14,0,0,0,0,0,0,0,36,0,155,39.22,0.0,0.0,5,5,4,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-13,19,0,0,2,0,0,0,1,54,0,171,43.23,0.0,0.0,8,8,6,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-14,21,0,0,0,0,0,0,0,65,0,188,47.49,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-15,19,0,0,0,0,0,0,0,39,0,124,31.36,0.0,0.0,5,5,4,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-16,16,0,0,0,0,1,0,0,29,0,110,27.9,0.0,0.0,3,3,3,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-17,15,0,0,0,0,0,0,0,31,0,125,31.569999999999997,0.1818,0.0,11,11,10,2,0,0.0,0.0,0,0,0,0,0,0
2014-12-18,14,0,0,0,0,0,0,0,33,0,142,35.88,0.0,0.0,8,8,7,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-19,7,0,0,0,0,0,0,0,9,0,78,19.86,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-20,16,0,0,0,0,0,0,0,34,0,128,32.5,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-21,4,0,0,0,0,0,0,0,6,0,99,25.09,0.3333,0.0,3,3,3,1,0,0.0,0.0,0,0,0,0,0,0
2014-12-22,8,0,0,0,0,0,0,0,7,0,53,13.459999999999999,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-23,8,0,0,1,0,0,0,0,21,0,160,40.52,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-24,12,0,0,0,0,0,0,0,21,0,108,27.310000000000002,0.0,0.0,4,4,3,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-25,19,0,0,0,0,0,0,0,42,0,134,33.97,0.0,0.0,5,5,4,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-26,25,0,0,0,0,0,0,0,36,0,86,21.92,0.0,0.0,7,7,6,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-27,12,0,0,0,0,0,0,0,7,0,35,8.88,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-28,6,0,0,0,0,0,0,0,16,0,163,41.39,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-29,7,0,0,0,0,0,0,0,13,0,114,28.87,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-30,9,0,0,0,0,0,0,0,3,0,25,6.480000000000001,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2014-12-31,9,0,0,0,0,0,0,0,16,0,110,28.000000000000004,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2015-01-01,9,0,0,0,0,1,0,0,33,0,224,56.74,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2015-01-02,15,0,0,0,0,0,0,0,29,0,118,29.89,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2015-01-03,7,0,0,0,0,0,0,0,24,0,211,53.53,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2015-01-04,16,0,0,0,0,0,0,0,41,0,156,39.51,0.1429,0.0,7,7,6,1,0,0.0,0.0,0,0,0,0,0,0
