day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-05-06,22995,1471,187,1740,18,1068,131,160,140192,9999,365,47.02,0,0,0,0,0,0,0,0.0,0.0,37,0,0,1,103,20
2019-05-07,49079,2673,174,1990,60,1453,252,233,252956,15713,309,39.75,0,0,0,0,0,0,0,0.09759999999999999,0.0,41,0,4,0,563,12
2019-05-08,28782,1346,74,892,47,731,174,135,139836,6991,291,37.47,0,0,0,0,0,0,0,0.0435,0.0,23,0,1,0,326,4
2019-05-09,6106,276,12,197,4,151,108,60,35086,1729,344,44.32,0,0,0,0,0,0,0,0.11109999999999999,0.0,9,0,1,0,74,0
2019-05-10,5694,275,11,142,5,101,66,34,25593,1157,269,34.66,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,68,3
2019-05-11,2701,106,3,94,1,91,68,20,15034,756,333,42.93,0,0,0,0,0,0,0,0.0,0.0,4,0,0,0,36,1
2019-05-12,1917,77,6,65,-1,64,52,33,11197,518,350,45.05,0,0,0,0,0,0,0,0.0,0.0,4,0,0,0,25,1
2019-05-13,1326,50,1,53,0,31,39,20,7401,351,334,43.05,0,0,0,0,0,0,0,0.0,0.0,2,0,0,0,10,0
2019-05-14,721,32,0,21,0,12,30,8,4304,166,358,46.05,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,6,0
2019-05-15,623,43,1,25,0,12,23,2,3889,348,374,48.15,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,0
2019-05-16,584,30,2,27,0,16,17,12,3628,194,372,47.91,0,0,0,0,0,0,0,0.0,0.0,4,0,0,0,7,1
2019-05-17,407,18,2,16,1,17,18,4,2242,111,330,42.49,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-05-18,378,18,1,11,1,12,18,4,2027,153,321,41.36,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2019-05-19,283,16,0,10,0,12,21,2,1650,91,350,44.99,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,1
2019-05-20,346,16,1,19,0,5,9,1,2059,83,357,45.91,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-05-21,233,16,2,13,0,9,14,1,1392,111,358,46.09,0,0,0,0,0,0,0,0.0,0.0,2,0,0,0,0,0
2019-05-22,311,21,2,19,1,10,7,4,1753,123,338,43.48,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,1,0
2019-05-23,193,12,0,10,0,7,10,1,1046,57,325,41.82,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0
2019-05-24,204,24,0,7,0,1,8,1,1025,113,301,38.77,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-05-25,158,9,0,9,0,4,6,0,841,35,319,41.1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-05-26,171,11,0,13,0,3,12,4,858,76,301,38.71,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-05-27,186,17,0,14,0,2,17,1,1243,142,401,51.55,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-05-28,149,11,0,4,0,4,8,0,1027,68,413,53.18000000000001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-05-29,129,10,0,4,0,2,6,1,795,86,369,47.53,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-05-30,125,21,0,3,0,6,7,0,754,131,362,46.55,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-05-31,110,7,0,3,0,2,5,0,643,14,350,45.08,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-06-01,146,13,0,4,1,2,4,1,796,94,327,42.08,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-06-02,135,11,0,11,0,4,4,1,838,66,372,47.9,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-06-03,100,7,1,4,1,3,4,0,659,45,395,50.86999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-06-04,132,12,2,3,0,3,2,0,804,67,365,46.99,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,1
2019-06-05,107,9,0,6,1,2,10,1,708,99,397,51.09,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0
2019-06-06,92,6,0,1,1,3,4,0,511,43,333,42.9,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-06-07,109,8,1,7,0,1,3,3,716,64,394,50.68,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-06-08,112,6,0,3,0,1,2,0,799,49,428,55.08,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-06-09,89,6,0,3,0,0,6,1,591,42,398,51.24999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-06-10,90,3,0,2,0,3,4,4,557,10,371,47.8,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-06-11,124,5,0,2,1,2,4,2,621,54,300,38.64,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-06-12,111,8,0,2,0,2,4,0,627,50,338,43.57,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-06-13,102,6,0,4,0,0,5,0,711,30,418,53.82,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-06-14,81,7,0,1,0,1,3,1,589,63,436,56.14,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-06-15,78,7,0,3,0,0,6,0,507,84,390,50.16,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-06-16,90,8,0,3,0,4,7,0,616,28,411,52.83,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,1,0
2019-06-17,61,7,0,3,0,1,2,0,381,43,375,48.29,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-06-18,69,6,1,1,0,2,1,1,459,37,399,51.31,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-06-19,69,4,0,3,0,0,1,0,504,36,438,56.36,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-06-20,41,5,0,1,0,2,4,0,274,28,401,51.629999999999995,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-06-21,77,3,0,1,0,0,2,0,461,30,359,46.21,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-06-22,87,9,0,0,0,1,3,1,586,86,404,52.019999999999996,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-06-23,92,8,0,2,0,1,2,1,668,69,435,56.02,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-06-24,67,2,1,4,0,2,6,0,515,5,461,59.3,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-06-25,74,2,0,3,0,1,6,4,584,25,474,60.94,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-06-26,76,5,0,2,0,5,5,0,528,52,417,53.66,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-06-27,73,6,0,2,0,2,1,1,514,41,422,54.339999999999996,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-06-28,114,2,0,4,0,1,2,0,778,7,409,52.64,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,1,0
