day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-03-02,67342,5036,386,3365,64,1986,272,292,546104,42671,486,63.519999999999996,0,0,0,0,0,0,0,0.0,0.0,1,1051,0,0,455,24
2019-03-03,100534,6777,354,3468,98,2291,582,394,777402,55630,463,60.57,0,0,0,0,0,0,0,0.25,0.0005,4,2048,1,1,929,17
2019-03-04,58905,4288,189,1789,38,1352,414,222,457638,34978,466,60.85,0,0,0,0,0,0,0,0.0,0.0,1,1454,0,0,598,6
2019-03-05,40041,2849,134,1315,34,984,314,134,300915,22109,450,58.87,0,0,0,0,0,0,0,0.3333,0.0069,3,1160,1,8,444,7
2019-03-06,39665,2961,99,1275,43,970,312,129,299299,23085,452,59.099999999999994,0,0,0,0,0,0,0,0.0,0.0008,1,1267,0,1,498,4
2019-03-07,32807,2368,59,1035,18,744,225,101,240328,17855,439,57.379999999999995,0,0,0,0,0,0,0,0.0,0.0,0,1030,0,0,378,2
2019-03-08,30209,1969,63,909,33,722,206,86,208745,14527,414,54.13,0,0,0,0,0,0,0,0.0,0.0,2,990,0,0,308,2
2019-03-09,24846,1616,57,809,25,517,230,88,169244,11791,408,53.36,0,0,0,0,0,0,0,0.0,0.0,1,690,0,0,295,3
2019-03-10,16548,1043,50,484,17,374,165,59,110783,7417,401,52.44,0,0,0,0,0,0,0,0.0,0.0042,2,474,0,2,184,7
2019-03-11,10242,679,22,273,12,231,128,56,68450,5010,400,52.349999999999994,0,0,0,0,0,0,0,0.0,0.0,0,19,0,0,86,2
2019-03-12,7274,513,24,163,8,163,106,25,49139,3746,405,52.92,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,68,1
2019-03-13,6235,381,19,166,3,127,108,32,42539,2721,409,53.44,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,54,2
2019-03-14,4466,240,8,113,1,104,82,24,28731,1518,385,50.39,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,49,0
2019-03-15,4137,204,13,109,5,70,58,21,26901,1251,390,50.94,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,50,2
2019-03-16,4914,244,13,138,3,65,52,14,32432,1706,395,51.7,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,53,0
2019-03-17,5049,242,7,134,3,80,67,25,34504,1835,410,53.53,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,73,0
2019-03-18,4463,197,7,99,2,83,62,34,30724,1530,413,53.92,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,58,0
2019-03-19,3951,200,7,102,5,77,53,28,27909,1497,423,55.33,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,54,0
2019-03-20,3589,188,10,98,1,71,46,8,24584,1433,410,53.65,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,31,1
2019-03-21,3632,172,10,85,1,62,29,15,24965,1268,412,53.839999999999996,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,40,2
2019-03-22,2967,145,5,64,4,49,32,27,20753,969,419,54.78999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,30,0
2019-03-23,3874,190,14,115,0,61,45,13,28916,1556,447,58.47,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,33,1
2019-03-24,3743,194,8,89,0,50,43,14,27993,1399,448,58.58,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,93,26
