videoID,day,likes
k8yRDrl76d0,2019-03-02,3365
k8yRDrl76d0,2019-03-03,3468
k8yRDrl76d0,2019-03-04,1789
k8yRDrl76d0,2019-03-05,1315
k8yRDrl76d0,2019-03-06,1275
k8yRDrl76d0,2019-03-07,1035
k8yRDrl76d0,2019-03-08,909
k8yRDrl76d0,2019-03-09,809
k8yRDrl76d0,2019-03-10,484
k8yRDrl76d0,2019-03-11,273
k8yRDrl76d0,2019-03-12,163
k8yRDrl76d0,2019-03-13,166
k8yRDrl76d0,2019-03-14,113
k8yRDrl76d0,2019-03-15,109
k8yRDrl76d0,2019-03-16,138
k8yRDrl76d0,2019-03-17,134
k8yRDrl76d0,2019-03-18,99
k8yRDrl76d0,2019-03-19,102
k8yRDrl76d0,2019-03-20,98
k8yRDrl76d0,2019-03-21,85
k8yRDrl76d0,2019-03-22,64
k8yRDrl76d0,2019-03-23,115
k8yRDrl76d0,2019-03-24,89
k8yRDrl76d0,2019-03-25,70
k8yRDrl76d0,2019-03-26,50
k8yRDrl76d0,2019-03-27,69
k8yRDrl76d0,2019-03-28,56
k8yRDrl76d0,2019-03-29,58
k8yRDrl76d0,2019-03-30,67
k8yRDrl76d0,2019-03-31,57
k8yRDrl76d0,2019-04-01,61
k8yRDrl76d0,2019-04-02,61
k8yRDrl76d0,2019-04-03,56
k8yRDrl76d0,2019-04-04,66
k8yRDrl76d0,2019-04-05,52
k8yRDrl76d0,2019-04-06,50
k8yRDrl76d0,2019-04-07,78
k8yRDrl76d0,2019-04-08,94
k8yRDrl76d0,2019-04-09,99
k8yRDrl76d0,2019-04-10,114
k8yRDrl76d0,2019-04-11,78
k8yRDrl76d0,2019-04-12,66
k8yRDrl76d0,2019-04-13,70
k8yRDrl76d0,2019-04-14,94
k8yRDrl76d0,2019-04-15,129
k8yRDrl76d0,2019-04-16,119
k8yRDrl76d0,2019-04-17,105
k8yRDrl76d0,2019-04-18,73
k8yRDrl76d0,2019-04-19,96
k8yRDrl76d0,2019-04-20,61
k8yRDrl76d0,2019-04-21,67
k8yRDrl76d0,2019-04-22,74
k8yRDrl76d0,2019-04-23,85
k8yRDrl76d0,2019-04-24,125
k8yRDrl76d0,2019-04-25,108
k8yRDrl76d0,2019-04-26,64
k8yRDrl76d0,2019-04-27,73
k8yRDrl76d0,2019-04-28,88
k8yRDrl76d0,2019-04-29,78
k8yRDrl76d0,2019-04-30,88
k8yRDrl76d0,2019-05-01,90
k8yRDrl76d0,2019-05-02,95
k8yRDrl76d0,2019-05-03,112
k8yRDrl76d0,2019-05-04,99
k8yRDrl76d0,2019-05-05,108
k8yRDrl76d0,2019-05-06,99
k8yRDrl76d0,2019-05-07,66
k8yRDrl76d0,2019-05-08,51
k8yRDrl76d0,2019-05-09,50
k8yRDrl76d0,2019-05-10,58
k8yRDrl76d0,2019-05-11,42
k8yRDrl76d0,2019-05-12,42
k8yRDrl76d0,2019-05-13,48
k8yRDrl76d0,2019-05-14,64
k8yRDrl76d0,2019-05-15,56
k8yRDrl76d0,2019-05-16,81
k8yRDrl76d0,2019-05-17,95
k8yRDrl76d0,2019-05-18,85
k8yRDrl76d0,2019-05-19,90
k8yRDrl76d0,2019-05-20,80
k8yRDrl76d0,2019-05-21,51
k8yRDrl76d0,2019-05-22,31
k8yRDrl76d0,2019-05-23,23
k8yRDrl76d0,2019-05-24,37
k8yRDrl76d0,2019-05-25,41
k8yRDrl76d0,2019-05-26,39
k8yRDrl76d0,2019-05-27,31
k8yRDrl76d0,2019-05-28,44
k8yRDrl76d0,2019-05-29,41
k8yRDrl76d0,2019-05-30,37
k8yRDrl76d0,2019-05-31,48
