day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-05-20,33090,3092,166,2796,25,2280,400,127,210617,21212,381,69.18,0,0,0,0,0,0,0,0.3447,0.0199,351,11303,121,225,140,11
2020-05-21,31275,2481,79,1734,30,1392,424,97,176941,16237,339,61.5,0,0,0,0,0,0,0,0.3799,0.0233,329,8852,125,206,258,9
2020-05-22,15216,1145,32,690,20,720,328,59,83745,7102,330,59.81999999999999,0,0,0,0,0,0,0,0.3519,0.0239,162,4260,57,102,163,7
2020-05-23,17189,1439,40,819,18,866,257,67,95682,8767,333,60.51,0,0,0,0,0,0,0,0.40270000000000006,0.030299999999999997,226,5023,91,152,212,7
2020-05-24,20904,1691,29,990,22,1062,284,73,114146,9971,327,59.35,0,0,0,0,0,0,0,0.33740000000000003,0.026699999999999998,246,5882,83,157,306,6
2020-05-25,13446,1142,24,646,10,643,212,41,71577,6916,319,57.86,0,0,0,0,0,0,0,0.34590000000000004,0.0317,185,3785,64,120,228,6
2020-05-26,9269,813,14,403,6,411,182,25,50756,4931,328,59.52,0,0,0,0,0,0,0,0.4113,0.0276,124,2607,51,72,116,3
2020-05-27,6135,501,11,251,3,248,140,9,32284,3071,315,57.2,0,0,0,0,0,0,0,0.35369999999999996,0.033,82,1634,29,54,83,3
2020-05-28,4468,410,9,209,4,190,114,18,25608,2700,343,62.3,0,0,0,0,0,0,0,0.3889,0.023700000000000002,54,1307,21,31,65,0
2020-05-29,3642,324,4,168,2,138,91,6,20308,1954,334,60.61,0,0,0,0,0,0,0,0.42,0.0334,50,1049,21,35,50,4
2020-05-30,2554,201,3,102,3,137,79,10,14549,1236,341,61.919999999999995,0,0,0,0,0,0,0,0.375,0.0169,16,711,6,12,28,4
2020-05-31,2021,171,3,91,1,84,75,4,11301,1046,335,60.78,0,0,0,0,0,0,0,0.28,0.0321,25,591,7,19,19,1
2020-06-01,1988,177,6,90,1,74,59,3,11676,1095,352,63.84000000000001,0,0,0,0,0,0,0,0.34149999999999997,0.0429,41,630,14,27,15,0
2020-06-02,1854,166,4,64,2,56,61,4,10617,1074,343,62.25000000000001,0,0,0,0,0,0,0,0.3333,0.025,27,560,9,14,20,1
2020-06-03,1531,151,1,70,0,46,47,3,9245,1057,362,65.64,0,0,0,0,0,0,0,0.5,0.0346,20,491,10,17,16,2
2020-06-04,1524,134,2,62,0,60,50,0,9174,939,361,65.44,0,0,0,0,0,0,0,0.3889,0.0231,18,476,7,11,17,0
2020-06-05,1430,115,1,58,0,39,44,5,8495,706,356,64.58,0,0,0,0,0,0,0,0.4583,0.0323,24,434,11,14,25,0
2020-06-06,1437,130,2,54,1,61,51,4,8308,816,346,62.84,0,0,0,0,0,0,0,0.40909999999999996,0.0294,22,408,9,12,20,3
2020-06-07,1694,147,2,76,0,71,49,6,10204,934,361,65.48,0,0,0,0,0,0,0,0.4571,0.0379,35,501,16,19,14,2
2020-06-08,1475,129,2,59,0,39,41,2,9021,765,366,66.48,0,0,0,0,0,0,0,0.35479999999999995,0.0403,31,472,11,19,11,0
2020-06-09,1289,98,2,53,1,44,31,1,7823,619,364,65.97,0,0,0,0,0,0,0,0.5217,0.0332,23,422,12,14,11,0
2020-06-10,1379,131,2,43,2,60,33,4,8340,909,362,65.74,0,0,0,0,0,0,0,0.4706,0.024,17,416,8,10,9,1
2020-06-11,1301,118,2,53,0,41,34,3,8069,783,372,67.42,0,0,0,0,0,0,0,0.4667,0.022799999999999997,15,439,7,10,12,0
2020-06-12,869,63,1,29,1,32,26,3,5081,385,350,63.57000000000001,0,0,0,0,0,0,0,0.375,0.0684,24,234,9,16,7,0
2020-06-13,719,72,0,24,2,26,28,0,4374,449,365,66.14,0,0,0,0,0,0,0,0.44439999999999996,0.0547,18,201,8,11,6,1
2020-06-14,736,68,1,33,1,26,28,0,4668,511,380,68.94,0,0,0,0,0,0,0,0.4,0.029300000000000003,10,239,4,7,8,0
2020-06-15,784,73,1,23,0,39,21,0,4743,475,363,65.77,0,0,0,0,0,0,0,0.2857,0.0215,7,233,2,5,6,0
2020-06-16,821,78,2,27,0,22,27,0,5079,514,371,67.25,0,0,0,0,0,0,0,0.4,0.0197,10,254,4,5,7,2
2020-06-17,902,72,1,31,0,34,29,1,5497,465,365,66.25,0,0,0,0,0,0,0,0.5,0.0178,10,281,5,5,1,0
2020-06-18,673,59,2,22,1,25,27,0,4197,378,374,67.79,0,0,0,0,0,0,0,0.5714,0.0194,7,206,4,4,5,0
2020-06-19,677,70,0,23,1,19,21,0,4169,431,369,66.95,0,0,0,0,0,0,0,0.5,0.013999999999999999,4,215,2,3,3,0
2020-06-20,707,59,1,25,1,230,25,2,4321,342,366,66.44,0,0,0,0,0,0,0,0.5,0.0138,8,218,4,3,7,0
2020-06-21,751,68,1,30,0,22,20,2,4834,467,386,69.97,0,0,0,0,0,0,0,0.3846,0.038,13,263,5,10,6,0
2020-06-22,840,72,2,36,0,25,16,1,5389,495,384,69.74,0,0,0,0,0,0,0,0.5556,0.0248,9,282,5,7,9,0
2020-06-23,1067,93,2,31,1,28,18,1,6352,566,357,64.71,0,0,0,0,0,0,0,0.4,0.0178,10,337,4,6,11,0
2020-06-24,1154,100,2,43,1,39,18,0,6838,635,355,64.41,0,0,0,0,0,0,0,0.7143,0.0137,7,364,5,5,12,2
2020-06-25,912,85,1,41,1,33,22,3,5436,492,357,64.79,0,0,0,0,0,0,0,0.3333,0.0277,12,253,4,7,9,0
2020-06-26,799,67,0,25,0,24,17,0,4671,379,350,63.55,0,0,0,0,0,0,0,0.4286,0.0262,7,229,3,6,7,0
2020-06-27,883,85,1,34,0,32,26,1,5106,497,347,62.86000000000001,0,0,0,0,0,0,0,0.125,0.0275,8,255,1,7,8,2
2020-06-28,977,83,2,34,1,30,16,5,6146,534,377,68.38,0,0,0,0,0,0,0,0.5625,0.0298,16,302,9,9,10,0
2020-06-29,1121,93,1,35,0,43,27,0,6829,581,365,66.23,0,0,0,0,0,0,0,0.40909999999999996,0.0394,22,355,9,14,17,0
2020-06-30,1132,109,1,36,0,44,16,1,6860,696,363,65.88,0,0,0,0,0,0,0,0.381,0.035,21,371,8,13,15,0
2020-07-01,1168,90,1,37,1,54,17,1,6848,522,351,63.73,0,0,0,0,0,0,0,0.4667,0.0329,15,334,7,11,8,1
2020-07-02,1107,89,1,38,0,42,17,0,6671,533,361,65.51,0,0,0,0,0,0,0,0.3,0.0176,10,340,3,6,10,1
2020-07-03,1991,191,1,48,2,36,22,2,12413,1213,374,67.77,0,0,0,0,0,0,0,0.5861999999999999,0.0305,29,590,17,18,14,1
2020-07-04,3287,335,2,118,2,79,15,0,20939,2215,382,69.24,0,0,0,0,0,0,0,0.5385,0.029900000000000003,39,1037,21,31,46,1
2020-07-05,3679,366,4,143,3,103,30,0,22890,2467,373,67.63,0,0,0,0,0,0,0,0.4853,0.0362,68,1134,33,41,57,1
2020-07-06,3150,320,6,139,3,79,32,4,19818,2094,377,68.39,0,0,0,0,0,0,0,0.5156000000000001,0.0401,64,998,33,40,44,2
2020-07-07,3234,294,5,117,0,88,30,6,20334,2005,377,68.35,0,0,0,0,0,0,0,0.5139,0.0393,72,1042,37,41,49,1
2020-07-08,3475,315,8,142,2,124,31,5,21297,2122,367,66.62,0,0,0,0,0,0,0,0.42369999999999997,0.0335,59,1104,25,37,39,2
2020-07-09,2967,282,4,135,3,79,41,3,18121,1772,366,66.39,0,0,0,0,0,0,0,0.45159999999999995,0.017,31,884,14,15,44,0
2020-07-10,2574,247,3,86,3,95,29,6,15674,1615,365,66.19,0,0,0,0,0,0,0,0.46149999999999997,0.0334,39,749,18,25,20,1
2020-07-11,2248,207,1,76,0,68,23,4,13612,1317,363,65.82,0,0,0,0,0,0,0,0.4545,0.0329,33,669,15,22,26,0
2020-07-12,2549,236,1,101,3,82,35,0,15233,1518,358,64.96,0,0,0,0,0,0,0,0.4103,0.030299999999999997,39,725,16,22,31,3
2020-07-13,2428,234,2,85,0,72,37,1,14457,1392,357,64.72,0,0,0,0,0,0,0,0.4865,0.0374,37,696,18,26,36,0
2020-07-14,2363,201,5,92,2,67,26,7,14431,1345,366,66.39,0,0,0,0,0,0,0,0.3824,0.0365,34,685,13,25,25,0
2020-07-15,1858,172,1,81,0,63,28,6,11371,1129,367,66.52,0,0,0,0,0,0,0,0.4545,0.0351,33,542,15,19,26,0
2020-07-16,1507,117,2,56,2,51,13,0,8905,757,354,64.23,0,0,0,0,0,0,0,0.2778,0.0263,18,419,5,11,18,0
2020-07-17,1121,107,2,35,1,53,31,4,6598,711,353,63.97999999999999,0,0,0,0,0,0,0,0.35,0.0304,20,329,7,10,10,1
2020-07-18,1057,118,1,39,1,33,17,1,6462,768,366,66.46,0,0,0,0,0,0,0,0.40740000000000004,0.0541,27,314,11,17,12,0
2020-07-19,1298,115,1,51,1,43,14,11,7806,774,360,65.37,0,0,0,0,0,0,0,0.4783,0.039,23,385,11,15,17,0
2020-07-20,1076,99,0,35,0,51,20,2,6319,622,352,63.84000000000001,0,0,0,0,0,0,0,0.35,0.0333,20,300,7,10,10,0
2020-07-21,1084,96,1,45,0,30,24,2,6713,669,371,67.31,0,0,0,0,0,0,0,0.3333,0.0417,21,336,7,14,11,1
2020-07-22,1085,136,0,47,0,50,12,1,6499,847,359,65.11,0,0,0,0,0,0,0,0.4545,0.041299999999999996,22,315,10,13,5,0
2020-07-23,1033,95,2,39,0,28,15,1,6232,560,361,65.58,0,0,0,0,0,0,0,0.47369999999999995,0.0361,19,305,9,11,11,0
2020-07-24,1026,113,1,30,0,33,19,0,5904,723,345,62.56,0,0,0,0,0,0,0,0.4375,0.026099999999999998,16,307,7,8,6,0
2020-07-25,1114,114,1,40,1,58,17,2,6405,760,344,62.5,0,0,0,0,0,0,0,0.46149999999999997,0.027999999999999997,13,322,6,9,12,0
2020-07-26,998,102,2,30,0,40,23,3,6029,626,362,65.67,0,0,0,0,0,0,0,0.3182,0.0447,22,291,7,13,7,1
2020-07-27,974,90,0,35,0,34,21,1,5640,575,347,62.94,0,0,0,0,0,0,0,0.5,0.0285,14,316,7,9,6,0
2020-07-28,1172,141,5,38,0,29,26,1,6886,901,352,63.86999999999999,0,0,0,0,0,0,0,0.3889,0.0308,18,357,7,11,10,1
2020-07-29,1106,109,0,40,2,45,21,3,6488,733,351,63.75999999999999,0,0,0,0,0,0,0,0.3333,0.0245,15,327,5,8,12,0
2020-07-30,910,95,0,41,4,39,20,1,5077,634,334,60.650000000000006,0,0,0,0,0,0,0,0.375,0.036000000000000004,16,250,6,9,12,1
2020-07-31,552,73,2,22,0,18,13,2,3231,494,351,63.63999999999999,0,0,0,0,0,0,0,0.4,0.018000000000000002,5,167,2,3,8,1
2020-08-01,564,59,0,26,0,11,6,1,3073,352,327,59.24,0,0,0,0,0,0,0,0.5,0.0067,2,149,1,1,7,0
2020-08-02,758,85,0,36,0,29,22,0,4356,549,344,62.470000000000006,0,0,0,0,0,0,0,0.4667,0.0472,15,212,7,10,12,0
2020-08-03,722,100,0,36,0,29,12,0,4318,675,358,65.02,0,0,0,0,0,0,0,0.6,0.0131,5,229,3,3,6,0
2020-08-04,702,62,1,23,0,21,20,1,4245,399,362,65.73,0,0,0,0,0,0,0,0.75,0.0143,4,210,3,3,10,0
2020-08-05,763,110,0,29,2,30,11,0,4550,674,357,64.83,0,0,0,0,0,0,0,0.4545,0.028300000000000002,11,247,5,7,9,0
2020-08-06,669,58,3,20,0,20,15,1,4010,421,359,65.16,0,0,0,0,0,0,0,0.5625,0.030299999999999997,16,198,9,6,2,0
2020-08-07,595,45,0,15,0,12,15,0,3354,283,338,61.28,0,0,0,0,0,0,0,0.5,0.056299999999999996,12,160,6,9,5,0
2020-08-08,601,66,2,19,0,27,11,1,3487,414,348,63.07000000000001,0,0,0,0,0,0,0,0.5,0.0235,8,170,4,4,1,0
2020-08-09,586,60,0,21,0,29,15,3,3486,360,356,64.66,0,0,0,0,0,0,0,0.3333,0.0161,6,186,2,3,12,1
2020-08-10,650,67,0,32,0,24,10,0,3888,446,358,65.02,0,0,0,0,0,0,0,0.0,0.0134,5,224,0,3,4,0
2020-08-11,790,69,1,31,1,26,5,2,4574,421,347,62.94,0,0,0,0,0,0,0,0.3333,0.021,9,238,3,5,4,0
2020-08-12,898,93,1,28,0,29,15,1,5135,569,343,62.16,0,0,0,0,0,0,0,0.5,0.0183,10,273,5,5,9,0
2020-08-13,1059,111,3,41,1,40,18,2,6034,673,341,61.92999999999999,0,0,0,0,0,0,0,0.5,0.0187,10,268,5,5,11,0
2020-08-14,1057,113,0,25,2,35,10,2,6056,774,343,62.28,0,0,0,0,0,0,0,0.0,0.0033,2,299,0,1,5,0
2020-08-15,1505,156,2,43,1,40,14,1,8605,943,343,62.14999999999999,0,0,0,0,0,0,0,0.47619999999999996,0.022400000000000003,21,401,10,9,15,0
2020-08-16,1593,185,5,52,1,52,24,3,9397,1129,353,64.12,0,0,0,0,0,0,0,0.5161,0.032799999999999996,31,457,16,15,12,0
2020-08-17,1003,102,1,27,0,40,16,1,6081,701,363,65.9,0,0,0,0,0,0,0,0.44439999999999996,0.0218,9,275,4,6,8,0
2020-08-18,845,93,1,29,0,29,11,2,4768,680,338,61.34,0,0,0,0,0,0,0,0.44439999999999996,0.0282,9,213,4,6,9,0
2020-08-19,897,94,2,23,0,26,13,3,5439,615,363,65.92,0,0,0,0,0,0,0,0.5455,0.0206,11,243,6,5,7,0
2020-08-20,864,96,0,27,0,31,11,0,5323,599,369,66.98,0,0,0,0,0,0,0,0.3,0.0163,10,246,3,4,10,1
2020-08-21,1140,156,0,27,0,35,12,1,6956,964,366,66.33,0,0,0,0,0,0,0,0.4211,0.0317,19,347,8,11,12,0
2020-08-22,1130,126,0,46,0,30,14,2,6726,820,357,64.7,0,0,0,0,0,0,0,0.5625,0.0313,16,288,9,9,8,0
2020-08-23,1347,176,1,46,1,32,14,0,8035,1125,357,64.84,0,0,0,0,0,0,0,0.5333,0.0192,15,365,8,7,13,0
2020-08-24,1244,122,2,42,1,22,11,7,7381,736,356,64.5,0,0,0,0,0,0,0,0.4706,0.028300000000000002,17,353,8,10,6,0
2020-08-25,852,81,0,26,0,20,13,0,5063,541,356,64.6,0,0,0,0,0,0,0,0.5,0.0173,6,231,3,4,11,0
2020-08-26,838,88,1,23,0,39,16,1,5104,585,365,66.22,0,0,0,0,0,0,0,0.6667000000000001,0.0118,6,255,4,3,10,0
2020-08-27,721,74,1,18,0,15,15,1,4100,430,341,61.82,0,0,0,0,0,0,0,0.4,0.0208,10,192,4,4,7,0
2020-08-28,854,96,1,26,0,21,17,0,4948,600,347,62.99,0,0,0,0,0,0,0,0.4667,0.0362,15,221,7,8,9,0
2020-08-29,739,80,0,18,0,22,14,0,4519,475,366,66.47,0,0,0,0,0,0,0,0.4,0.0091,5,219,2,2,2,0
2020-08-30,871,87,0,25,2,21,16,1,5453,558,375,68.05,0,0,0,0,0,0,0,0.4286,0.020499999999999997,14,293,6,6,5,0
2020-08-31,963,92,1,27,1,36,13,1,6161,606,383,69.54,0,0,0,0,0,0,0,0.44439999999999996,0.0092,9,327,4,3,4,0
2020-09-01,773,67,2,29,0,27,16,0,4733,446,367,66.56,0,0,0,0,0,0,0,0.3636,0.0248,11,242,4,6,6,0
2020-09-02,794,63,0,21,0,22,17,1,4829,376,364,66.12,0,0,0,0,0,0,0,0.375,0.0256,8,234,3,6,11,0
2020-09-03,678,82,1,25,2,21,16,1,4089,547,361,65.55,0,0,0,0,0,0,0,0.46149999999999997,0.047400000000000005,13,190,6,9,6,0
2020-09-04,624,74,0,24,0,15,16,0,3644,413,350,63.47999999999999,0,0,0,0,0,0,0,0.5455,0.0383,11,183,6,7,4,0
2020-09-05,721,71,0,32,2,20,6,1,4165,436,346,62.8,0,0,0,0,0,0,0,0.44439999999999996,0.0155,9,194,4,3,5,0
2020-09-06,1030,114,2,26,1,27,12,0,5645,717,328,59.58,0,0,0,0,0,0,0,0.5714,0.011200000000000002,7,267,4,3,9,0
2020-09-07,984,109,0,29,1,35,12,3,5731,687,349,63.31,0,0,0,0,0,0,0,0.381,0.0415,21,289,8,12,10,0
2020-09-08,863,112,2,30,1,22,18,1,5090,632,353,64.11,0,0,0,0,0,0,0,0.5263,0.0375,19,267,10,10,8,0
2020-09-09,945,93,0,26,1,32,12,0,5504,562,349,63.31,0,0,0,0,0,0,0,0.5,0.0209,12,287,6,6,13,0
2020-09-10,764,85,1,26,1,17,13,2,4315,495,338,61.4,0,0,0,0,0,0,0,0.6667000000000001,0.013500000000000002,6,222,4,3,9,0
2020-09-11,973,109,2,24,0,29,8,0,5774,711,356,64.5,0,0,0,0,0,0,0,0.5455,0.0158,11,316,6,5,7,0
