day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2018-07-20,4,0,0,0,0,1,0,1,15,0,227,49.04,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2018-07-21,58528,2934,195,1809,92,1520,244,182,270605,13237,277,59.92000000000001,0,0,0,0,0,0,0,0.0,0.0,0,688,0,0,416,8
2018-07-22,89017,3701,181,1462,106,2015,403,245,378007,15298,254,55.03,0,0,0,0,0,0,0,0.5,0.0048,4,828,2,4,723,16
2018-07-23,18999,640,28,293,24,385,221,85,74961,2573,236,51.129999999999995,0,0,0,0,0,0,0,0.0,0.0,1,241,0,0,154,5
2018-07-24,13413,424,14,198,11,290,136,68,51024,1690,228,49.3,0,0,0,0,0,0,0,1.0,0.0085,1,118,1,1,107,2
2018-07-25,11527,305,18,154,11,227,86,58,42402,1158,220,47.67,0,0,0,0,0,0,0,1.0,0.0,1,112,1,0,96,1
2018-07-26,9502,279,17,130,11,147,79,46,36258,1091,228,49.45,0,0,0,0,0,0,0,0.0,0.0,0,97,0,0,66,0
2018-07-27,6384,192,13,113,6,95,47,21,22958,731,215,46.6,0,0,0,0,0,0,0,1.0,0.0,1,62,1,0,45,1
2018-07-28,4800,157,6,77,5,98,67,10,16974,624,212,45.83,0,0,0,0,0,0,0,0.0,0.0,0,46,0,0,45,0
2018-07-29,3464,185,4,50,6,67,46,12,13817,741,239,51.690000000000005,0,0,0,0,0,0,0,0.0,0.0,0,27,0,0,18,2
2018-07-30,2128,89,3,36,2,34,37,7,8714,410,245,53.06999999999999,0,0,0,0,0,0,0,0.0,0.0,0,31,0,0,11,0
2018-07-31,1366,47,7,23,1,20,23,8,5160,206,226,48.96,0,0,0,0,0,0,0,0.0,0.0,0,24,0,0,6,0
2018-08-01,1363,38,1,17,1,26,25,11,5167,163,227,49.13,0,0,0,0,0,0,0,0.0,0.0,0,23,0,0,4,0
2018-08-02,866,25,0,11,0,11,24,5,3725,104,258,55.76,0,0,0,0,0,0,0,0.0,0.0,0,11,0,0,6,0
2018-08-03,1417,48,1,25,1,27,15,4,6236,230,264,57.03,0,0,0,0,0,0,0,0.0,0.0455,1,22,0,1,15,1
2018-08-04,3150,113,2,52,1,43,22,7,14175,458,270,58.32000000000001,0,0,0,0,0,0,0,0.0,0.0,0,49,0,0,21,0
2018-08-05,5054,223,4,72,5,113,39,6,23000,1031,273,58.98,0,0,0,0,0,0,0,0.0,0.0,1,72,0,0,48,0
2018-08-06,3861,129,4,49,3,56,31,0,16475,525,256,55.3,0,0,0,0,0,0,0,0.0,0.0,0,41,0,0,39,0
2018-08-07,3167,117,7,43,5,42,24,5,13930,497,263,56.99999999999999,0,0,0,0,0,0,0,0.0,0.0,0,39,0,0,22,2
2018-08-08,2741,102,5,35,9,44,21,10,12073,481,264,57.08,0,0,0,0,0,0,0,0.0,0.0,0,23,0,0,22,0
2018-08-09,2608,99,6,31,4,51,21,8,10941,401,251,54.37,0,0,0,0,0,0,0,0.0,0.0,0,33,0,0,25,1
2018-08-10,2629,119,4,36,6,36,16,5,11137,418,254,54.89999999999999,0,0,0,0,0,0,0,0.0,0.0,0,26,0,0,20,0
2018-08-11,1399,46,3,22,3,22,25,7,5743,157,246,53.2,0,0,0,0,0,0,0,0.0,0.0,0,12,0,0,7,1
2018-08-12,1219,40,2,20,1,19,23,1,5291,176,260,56.25,0,0,0,0,0,0,0,0.0,0.0,0,13,0,0,17,0
2018-08-13,859,38,2,16,2,10,13,3,3752,158,262,56.61000000000001,0,0,0,0,0,0,0,0.0,0.0,0,13,0,0,2,0
2018-08-14,1033,30,0,22,2,19,13,6,4574,145,265,57.38999999999999,0,0,0,0,0,0,0,0.0,0.0,0,18,0,0,8,0
2018-08-15,1087,33,1,21,0,16,17,3,4773,135,263,56.91,0,0,0,0,0,0,0,0.0,0.0,0,9,0,0,8,0
2018-08-16,1327,68,2,8,3,22,7,5,5990,310,270,58.5,0,0,0,0,0,0,0,0.0,0.0,0,15,0,0,10,0
2018-08-17,1332,52,1,22,0,23,20,3,5938,231,267,57.78,0,0,0,0,0,0,0,1.0,0.0625,1,16,1,1,15,0
2018-08-18,1391,62,2,20,4,26,22,7,6274,264,270,58.46,0,0,0,0,0,0,0,0.0,0.0,0,17,0,0,9,0
2018-08-19,920,38,1,9,0,16,9,2,4126,134,269,58.11999999999999,0,0,0,0,0,0,0,0.0,0.0,0,13,0,0,8,0
2018-08-20,884,40,3,19,2,24,15,3,3919,185,266,57.46,0,0,0,0,0,0,0,0.0,0.0,0,14,0,0,16,0
2018-08-21,628,28,0,13,0,11,17,0,2768,120,264,57.13,0,0,0,0,0,0,0,0.0,0.0,0,17,0,0,3,0
2018-08-22,695,26,1,8,1,9,14,3,2957,107,255,55.14,0,0,0,0,0,0,0,0.0,0.0,0,17,0,0,6,0
2018-08-23,658,27,0,10,0,9,6,3,2860,119,260,56.34,0,0,0,0,0,0,0,0.0,0.0,0,5,0,0,4,0
2018-08-24,763,37,1,4,0,16,10,0,3375,160,265,57.330000000000005,0,0,0,0,0,0,0,0.0,0.0,0,9,0,0,4,0
2018-08-25,515,16,1,7,0,10,7,2,2229,85,259,56.10000000000001,0,0,0,0,0,0,0,0.0,0.0,0,4,0,0,1,0
2018-08-26,443,16,1,8,1,3,10,0,1974,79,267,57.75,0,0,0,0,0,0,0,0.0,0.0,0,4,0,0,3,0
2018-08-27,402,15,0,6,0,6,10,1,1785,72,266,57.56,0,0,0,0,0,0,0,0.0,0.0,0,5,0,0,4,0
2018-08-28,471,20,0,7,0,12,4,1,2189,102,278,60.25,0,0,0,0,0,0,0,0.0,0.0,0,3,0,0,2,0
2018-08-29,421,7,1,6,0,10,7,1,1916,31,273,58.98,0,0,0,0,0,0,0,0.0,0.0,0,10,0,0,5,0
2018-08-30,477,19,0,11,1,5,10,1,2183,73,274,59.31000000000001,0,0,0,0,0,0,0,0.0,0.0,0,6,0,0,8,1
2018-08-31,484,17,0,12,1,8,6,3,2301,83,285,61.63000000000001,0,0,0,0,0,0,0,0.0,0.0,0,3,0,0,4,0
2018-09-01,485,16,0,15,1,7,11,1,2345,69,290,62.66,0,0,0,0,0,0,0,0.0,0.0,0,3,0,0,7,0
2018-09-02,492,15,1,2,0,2,14,1,2191,60,267,57.72999999999999,0,0,0,0,0,0,0,0.0,0.0,0,7,0,0,5,1
2018-09-03,588,28,2,12,1,4,9,2,2808,133,286,61.91,0,0,0,0,0,0,0,0.0,0.0,0,5,0,0,3,0
2018-09-04,553,16,0,6,0,13,7,2,2520,69,273,59.08,0,0,0,0,0,0,0,0.0,0.0,0,5,0,0,2,0
2018-09-05,546,28,2,7,0,8,12,3,2442,126,268,57.96,0,0,0,0,0,0,0,0.0,0.0,0,9,0,0,6,0
2018-09-06,694,21,1,17,0,21,12,3,3202,98,276,59.8,0,0,0,0,0,0,0,0.0,0.0,0,7,0,0,6,0
2018-09-07,867,32,3,9,1,13,4,0,3996,129,276,59.73,0,0,0,0,0,0,0,0.0,0.0,0,10,0,0,9,1
2018-09-08,1575,55,1,21,0,22,10,5,7460,212,284,61.39,0,0,0,0,0,0,0,1.0,0.0455,1,22,1,1,9,0
2018-09-09,2908,91,3,40,0,37,10,5,13954,396,287,62.19,0,0,0,0,0,0,0,0.0,0.0,0,23,0,0,21,0
2018-09-10,2289,72,1,39,0,24,12,4,10880,310,285,61.6,0,0,0,0,0,0,0,0.0,0.0,0,23,0,0,15,0
2018-09-11,1827,54,17,19,1,38,10,3,8502,197,279,60.309999999999995,0,0,0,0,0,0,0,0.0,0.0,0,19,0,0,9,1
2018-09-12,676,29,0,8,1,11,15,2,3124,116,277,59.91,0,0,0,0,0,0,0,0.0,0.0,0,6,0,0,6,0
2018-09-13,515,15,1,9,2,5,9,3,2370,84,276,59.650000000000006,0,0,0,0,0,0,0,0.0,0.0,0,5,0,0,1,0
2018-09-14,555,31,0,6,2,5,3,10,2713,124,293,63.35999999999999,0,0,0,0,0,0,0,0.0,0.0,0,5,0,0,3,0
2018-09-15,812,28,1,21,0,6,5,2,3911,113,289,62.43,0,0,0,0,0,0,0,0.0,0.0,0,5,0,0,3,0
2018-09-16,2728,38,1,33,4,28,11,10,8626,167,189,40.98,0,0,0,0,0,0,0,0.5,0.07690000000000001,2,26,1,2,22,0
2018-09-17,3013,151,3,37,1,37,5,5,13690,682,272,58.879999999999995,0,0,0,0,0,0,0,0.0,0.0,0,22,0,0,23,0
2018-09-18,12201,578,13,131,15,144,27,6,56316,2488,276,59.81999999999999,0,0,0,0,0,0,0,0.0,0.0,0,77,0,0,73,0
2018-09-19,17423,720,27,193,20,224,50,28,77147,3040,265,57.379999999999995,0,0,0,0,0,0,0,1.0,0.009899999999999999,1,101,1,1,113,3
2018-09-20,12341,429,16,112,12,168,38,25,52959,1814,257,55.61000000000001,0,0,0,0,0,0,0,0.0,0.0,0,62,0,0,74,4
2018-09-21,5933,141,4,61,0,81,37,7,24607,566,248,53.75,0,0,0,0,0,0,0,0.0,0.0,0,35,0,0,35,0
2018-09-22,2706,76,1,25,3,31,17,2,11194,307,248,53.61,0,0,0,0,0,0,0,0.0,0.0,0,18,0,0,9,0
2018-09-23,2086,72,1,25,4,23,18,5,8690,314,249,53.99,0,0,0,0,0,0,0,0.0,0.0,0,12,0,0,10,0
2018-09-24,1306,52,1,16,2,24,20,3,5173,239,237,51.33,0,0,0,0,0,0,0,1.0,0.1,1,10,1,1,9,0
2018-09-25,1067,43,0,11,1,15,11,4,4330,207,243,52.59,0,0,0,0,0,0,0,0.0,0.0,0,3,0,0,4,0
2018-09-26,921,34,1,18,0,5,15,1,3986,140,259,56.09,0,0,0,0,0,0,0,0.0,0.0,0,9,0,0,4,2
2018-09-27,703,35,0,13,0,13,5,0,2825,143,241,52.09,0,0,0,0,0,0,0,0.0,0.0,0,8,0,0,5,0
2018-09-28,556,28,1,9,1,7,7,1,2319,101,250,54.059999999999995,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,9,0
2018-09-29,556,27,1,9,0,7,9,0,2333,121,251,54.39000000000001,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,6,0
2018-09-30,553,29,1,7,0,6,13,0,2503,115,271,58.67,0,0,0,0,0,0,0,0.0,0.0,0,7,0,0,4,0
2018-10-01,498,20,1,7,0,4,5,0,2218,93,267,57.71999999999999,0,0,0,0,0,0,0,0.0,0.0,0,8,0,0,4,0
2018-10-02,389,19,1,8,1,6,6,0,1777,83,274,59.23,0,0,0,0,0,0,0,0.0,0.0,0,4,0,0,2,0
2018-10-03,471,21,0,9,1,9,11,0,2064,104,262,56.79,0,0,0,0,0,0,0,0.0,0.0,0,6,0,0,2,0
2018-10-04,536,20,0,9,0,14,10,2,2403,78,269,58.11999999999999,0,0,0,0,0,0,0,0.0,0.0,0,9,0,0,2,0
2018-10-05,411,17,0,9,0,11,10,0,1753,67,255,55.28999999999999,0,0,0,0,0,0,0,0.0,0.0,0,6,0,0,2,0
2018-10-06,480,12,0,6,0,6,9,0,2116,63,264,57.15,0,0,0,0,0,0,0,0.0,0.0,0,3,0,0,2,0
2018-10-07,508,19,1,7,0,5,6,0,2157,76,254,55.03,0,0,0,0,0,0,0,0.0,0.0,0,4,0,0,6,0
2018-10-08,447,9,0,6,0,7,7,0,2035,29,273,59.01,0,0,0,0,0,0,0,0.0,0.0,0,7,0,0,2,0
2018-10-09,524,12,0,8,1,11,12,3,2377,67,272,58.81000000000001,0,0,0,0,0,0,0,0.0,0.0,0,3,0,0,2,0
2018-10-10,524,16,0,7,0,10,9,2,2294,78,262,56.76,0,0,0,0,0,0,0,0.0,0.0,0,7,0,0,4,0
2018-10-11,455,15,0,4,0,8,10,1,2014,47,265,57.37,0,0,0,0,0,0,0,0.0,0.0,0,7,0,0,2,0
2018-10-12,415,17,0,8,0,6,7,0,1895,88,274,59.19,0,0,0,0,0,0,0,0.0,0.0,0,8,0,0,3,0
2018-10-13,408,14,0,2,0,8,5,1,1863,65,273,59.18,0,0,0,0,0,0,0,0.0,0.0,0,3,0,0,4,0
2018-10-14,614,24,2,12,2,11,9,3,2844,127,277,60.03000000000001,0,0,0,0,0,0,0,0.0,0.0,0,5,0,0,3,0
2018-10-15,886,37,0,20,0,16,8,1,4320,141,292,63.190000000000005,0,0,0,0,0,0,0,0.0,0.0,0,10,0,0,5,0
2018-10-16,884,40,2,12,1,23,12,3,4261,192,289,62.480000000000004,0,0,0,0,0,0,0,0.0,0.0,0,11,0,0,5,0
2018-10-17,837,27,2,11,0,15,8,3,3813,91,273,59.040000000000006,0,0,0,0,0,0,0,0.0,0.0,0,7,0,0,6,0
2018-10-18,661,22,0,8,0,7,11,0,2916,104,264,57.18,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,1,0
