videoID,day,likes
kp7NaFLXaU4,2018-07-20,0
kp7NaFLXaU4,2018-07-21,1809
kp7NaFLXaU4,2018-07-22,1462
kp7NaFLXaU4,2018-07-23,293
kp7NaFLXaU4,2018-07-24,198
kp7NaFLXaU4,2018-07-25,154
kp7NaFLXaU4,2018-07-26,130
kp7NaFLXaU4,2018-07-27,113
kp7NaFLXaU4,2018-07-28,77
kp7NaFLXaU4,2018-07-29,50
kp7NaFLXaU4,2018-07-30,36
kp7NaFLXaU4,2018-07-31,23
kp7NaFLXaU4,2018-08-01,17
kp7NaFLXaU4,2018-08-02,11
kp7NaFLXaU4,2018-08-03,25
kp7NaFLXaU4,2018-08-04,52
kp7NaFLXaU4,2018-08-05,72
kp7NaFLXaU4,2018-08-06,49
kp7NaFLXaU4,2018-08-07,43
kp7NaFLXaU4,2018-08-08,35
kp7NaFLXaU4,2018-08-09,31
kp7NaFLXaU4,2018-08-10,36
kp7NaFLXaU4,2018-08-11,22
kp7NaFLXaU4,2018-08-12,20
kp7NaFLXaU4,2018-08-13,16
kp7NaFLXaU4,2018-08-14,22
kp7NaFLXaU4,2018-08-15,21
kp7NaFLXaU4,2018-08-16,8
kp7NaFLXaU4,2018-08-17,22
kp7NaFLXaU4,2018-08-18,20
kp7NaFLXaU4,2018-08-19,9
kp7NaFLXaU4,2018-08-20,19
kp7NaFLXaU4,2018-08-21,13
kp7NaFLXaU4,2018-08-22,8
kp7NaFLXaU4,2018-08-23,10
kp7NaFLXaU4,2018-08-24,4
kp7NaFLXaU4,2018-08-25,7
kp7NaFLXaU4,2018-08-26,8
kp7NaFLXaU4,2018-08-27,6
kp7NaFLXaU4,2018-08-28,7
kp7NaFLXaU4,2018-08-29,6
kp7NaFLXaU4,2018-08-30,11
kp7NaFLXaU4,2018-08-31,12
kp7NaFLXaU4,2018-09-01,15
kp7NaFLXaU4,2018-09-02,2
kp7NaFLXaU4,2018-09-03,12
kp7NaFLXaU4,2018-09-04,6
kp7NaFLXaU4,2018-09-05,7
kp7NaFLXaU4,2018-09-06,17
kp7NaFLXaU4,2018-09-07,9
kp7NaFLXaU4,2018-09-08,21
kp7NaFLXaU4,2018-09-09,40
kp7NaFLXaU4,2018-09-10,39
kp7NaFLXaU4,2018-09-11,19
kp7NaFLXaU4,2018-09-12,8
kp7NaFLXaU4,2018-09-13,9
kp7NaFLXaU4,2018-09-14,6
kp7NaFLXaU4,2018-09-15,21
kp7NaFLXaU4,2018-09-16,33
kp7NaFLXaU4,2018-09-17,37
kp7NaFLXaU4,2018-09-18,131
