day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-02-23,29925,1848,159,1776,29,1200,251,65,75557,4823,151,76.51,0,0,0,0,0,0,0,0.0,0.0029,2,698,0,2,69,14
2019-02-24,50853,2548,145,1495,87,1469,420,83,118367,6463,139,70.53,0,0,0,0,0,0,0,0.0,0.0011,1,885,0,1,424,10
2019-02-25,20648,885,73,525,21,570,284,30,46936,2206,136,68.88,0,0,0,0,0,0,0,1.0,0.0026,1,379,1,1,136,5
2019-02-26,7241,331,19,187,11,210,172,25,16693,875,138,69.86,0,0,0,0,0,0,0,0.0,0.0,0,110,0,0,45,1
2019-02-27,3048,143,9,102,6,91,93,7,7248,349,142,72.06,0,0,0,0,0,0,0,0.0,0.0,0,50,0,0,22,0
2019-02-28,2375,92,7,64,3,83,59,16,5598,243,141,71.43,0,0,0,0,0,0,0,0.0,0.0,0,37,0,0,23,4
2019-03-01,2030,89,4,47,1,66,51,8,4686,221,138,69.96,0,0,0,0,0,0,0,0.0,0.0,0,32,0,0,19,0
2019-03-02,1592,83,2,65,1,42,49,3,3965,200,149,75.49,0,0,0,0,0,0,0,0.0,0.0,0,25,0,0,12,0
2019-03-03,1660,134,2,59,0,39,40,5,4148,337,149,75.72,0,0,0,0,0,0,0,0.0,0.0,0,23,0,0,19,1
2019-03-04,1359,95,3,52,3,49,46,1,3408,256,150,75.99,0,0,0,0,0,0,0,0.0,0.0,0,17,0,0,12,1
2019-03-05,1194,74,2,57,0,28,39,6,3004,203,150,76.26,0,0,0,0,0,0,0,0.0,0.0,0,23,0,0,14,1
2019-03-06,1400,90,2,57,1,31,20,6,3478,242,149,75.3,0,0,0,0,0,0,0,0.0,0.0,0,32,0,0,11,0
2019-03-07,1024,66,1,31,0,37,24,4,2434,175,142,72.04,0,0,0,0,0,0,0,0.0,0.0,0,11,0,0,17,0
2019-03-08,744,50,2,34,1,23,24,0,1716,123,138,69.91,0,0,0,0,0,0,0,0.0,0.0,0,8,0,0,14,2
2019-03-09,851,54,0,34,0,19,24,3,2086,135,147,74.32,0,0,0,0,0,0,0,0.0,0.0,0,11,0,0,11,0
2019-03-10,916,63,0,44,0,23,30,0,2293,158,150,75.89,0,0,0,0,0,0,0,0.0,0.0,0,18,0,0,14,0
2019-03-11,831,54,0,28,0,16,25,2,2004,125,144,73.08,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,8,2
2019-03-12,688,37,1,35,1,22,20,3,1638,97,142,72.15,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,9,0
2019-03-13,871,45,1,20,0,30,19,0,2074,119,142,72.18,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,0
2019-03-14,704,45,1,25,0,18,10,1,1662,122,141,71.58,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,7,1
2019-03-15,659,24,2,24,2,12,19,0,1475,60,134,67.85,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,7,0
2019-03-16,497,35,2,18,0,9,16,0,1176,90,141,71.72,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,0
2019-03-17,504,40,2,21,0,19,12,0,1245,106,148,74.87,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2019-03-18,421,29,0,17,1,9,14,1,1012,64,144,72.86,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,2
2019-03-19,257,14,0,13,1,6,8,0,653,40,152,77.09,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,0
2019-03-20,283,22,0,11,0,3,7,0,745,64,157,79.77,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-03-21,364,24,1,18,0,14,8,0,900,64,148,74.97,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
