videoID,day,likes
lGzvd1mMbkk,2019-02-23,1776
lGzvd1mMbkk,2019-02-24,1495
lGzvd1mMbkk,2019-02-25,525
lGzvd1mMbkk,2019-02-26,187
lGzvd1mMbkk,2019-02-27,102
lGzvd1mMbkk,2019-02-28,64
lGzvd1mMbkk,2019-03-01,47
lGzvd1mMbkk,2019-03-02,65
lGzvd1mMbkk,2019-03-03,59
lGzvd1mMbkk,2019-03-04,52
lGzvd1mMbkk,2019-03-05,57
lGzvd1mMbkk,2019-03-06,57
lGzvd1mMbkk,2019-03-07,31
lGzvd1mMbkk,2019-03-08,34
lGzvd1mMbkk,2019-03-09,34
lGzvd1mMbkk,2019-03-10,44
lGzvd1mMbkk,2019-03-11,28
lGzvd1mMbkk,2019-03-12,35
lGzvd1mMbkk,2019-03-13,20
lGzvd1mMbkk,2019-03-14,25
lGzvd1mMbkk,2019-03-15,24
lGzvd1mMbkk,2019-03-16,18
lGzvd1mMbkk,2019-03-17,21
lGzvd1mMbkk,2019-03-18,17
lGzvd1mMbkk,2019-03-19,13
lGzvd1mMbkk,2019-03-20,11
lGzvd1mMbkk,2019-03-21,18
lGzvd1mMbkk,2019-03-22,11
lGzvd1mMbkk,2019-03-23,18
lGzvd1mMbkk,2019-03-24,20
lGzvd1mMbkk,2019-03-25,11
lGzvd1mMbkk,2019-03-26,7
lGzvd1mMbkk,2019-03-27,4
lGzvd1mMbkk,2019-03-28,3
lGzvd1mMbkk,2019-03-29,2
lGzvd1mMbkk,2019-03-30,5
lGzvd1mMbkk,2019-03-31,3
lGzvd1mMbkk,2019-04-01,1
lGzvd1mMbkk,2019-04-02,2
lGzvd1mMbkk,2019-04-03,2
lGzvd1mMbkk,2019-04-04,3
lGzvd1mMbkk,2019-04-05,3
lGzvd1mMbkk,2019-04-06,5
lGzvd1mMbkk,2019-04-07,2
lGzvd1mMbkk,2019-04-08,4
lGzvd1mMbkk,2019-04-09,1
lGzvd1mMbkk,2019-04-10,1
lGzvd1mMbkk,2019-04-11,4
lGzvd1mMbkk,2019-04-12,4
