day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2013-11-07,267,0,3,2,0,0,0,0,994,0,223,24.25,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2013-11-08,13,0,4,2,0,0,0,0,23,0,108,11.76,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2013-11-09,69,0,1,0,0,0,0,3,209,0,182,19.79,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2013-11-10,25,0,0,0,0,0,0,0,104,0,250,27.200000000000003,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2013-11-11,12,0,0,0,0,0,0,0,23,0,117,12.79,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2013-11-12,25,0,0,0,0,0,0,0,94,0,226,24.58,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2013-11-13,5,0,0,0,0,0,0,0,24,0,293,31.8,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2013-11-14,29,0,0,1,0,0,0,0,58,0,120,13.07,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2013-11-15,2,0,0,0,0,0,0,0,0,0,0,0.03,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2013-11-17,1,0,0,0,0,0,0,0,15,0,921,99.96,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2013-11-19,25,0,0,1,0,0,0,0,93,0,223,24.25,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2013-11-20,2,0,0,0,0,0,0,0,7,0,217,23.55,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2013-11-21,1,0,0,0,0,0,0,0,15,0,921,99.91,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2013-11-24,1,0,0,0,0,0,0,0,10,0,602,65.35,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2013-11-25,1,0,0,0,0,0,0,0,0,0,24,2.65,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2013-11-26,1,0,0,0,0,0,0,0,36,0,2181,236.57,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2013-11-27,1,0,0,0,0,0,0,0,5,0,345,37.47,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2013-11-29,1,0,0,0,0,0,0,0,8,0,511,55.52,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2013-11-30,1,0,0,0,0,0,0,0,7,0,443,48.14,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2013-12-02,2,0,0,0,0,0,0,0,17,0,537,58.29,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2013-12-10,1,0,0,0,0,0,0,0,2,0,171,18.55,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
