day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,617,53,0,10,0,8,1,2,4155,377,404,79.07,0.0,0.0,122,122,122,0,0,0.125,0.0026,8,764,1,2,1,0
2019-01-02,714,41,1,13,0,3,5,0,4853,327,407,79.81,0.0,0.0,148,148,148,0,0,0.0,0.0011,8,921,0,1,1,0
2019-01-03,643,35,1,9,0,2,1,1,4263,244,397,77.85,0.0,0.0,138,138,138,0,0,0.0833,0.0034999999999999996,12,848,1,3,3,0
2019-01-04,583,38,0,13,0,5,2,1,3797,273,390,76.48,0.0,0.0,134,134,134,0,0,0.0,0.0027,8,752,0,2,3,0
2019-01-05,481,31,0,12,0,3,2,0,3187,222,397,77.81,0.0,0.0,110,110,110,0,0,0.0,0.0016,4,638,0,1,4,0
2019-01-06,517,41,0,13,0,6,2,0,3222,262,373,73.19,0.0,0.0,72,72,72,0,0,0.0,0.0032,8,629,0,2,1,0
2019-01-07,470,31,1,9,0,5,2,2,3073,244,392,76.8,0.0,0.0,114,114,114,0,0,0.0,0.0063,8,638,0,4,5,2
2019-01-08,469,30,1,7,0,6,3,2,3008,217,384,75.32,0.0,0.0,86,86,86,0,0,0.0625,0.006999999999999999,16,573,1,4,3,0
2019-01-09,503,30,0,10,0,6,3,0,3150,211,375,73.55,0.0,0.0,112,112,112,0,0,0.0,0.0032,8,616,0,2,1,0
2019-01-10,705,42,0,10,0,3,3,1,4865,327,414,81.04,0.0,0.0,202,202,202,0,0,0.0,0.0012,8,806,0,1,1,0
2019-01-11,792,61,0,8,0,9,2,2,5026,382,380,74.51,0.0,0.0053,190,190,190,0,1,0.0833,0.0023,12,868,1,2,4,1
2019-01-12,760,58,2,10,0,13,1,2,5243,436,413,81.01,0.005699999999999999,0.0,174,174,174,1,0,0.25,0.001,4,967,1,1,0,0
2019-01-13,790,52,0,14,0,4,2,1,5310,348,403,78.94,0.0,0.0,162,162,162,0,0,0.0,0.0033,16,915,0,3,1,0
2019-01-14,708,43,2,18,0,3,0,0,4617,315,391,76.58,0.005600000000000001,0.0,178,178,178,1,0,0.1875,0.0034999999999999996,16,849,3,3,1,0
