day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2018-03-15,12415,578,73,1114,8,366,66,53,51243,2410,247,67.66,0,0,9,9,0,0,0,0.6667000000000001,0.0055000000000000005,3,363,2,2,54,6
2018-03-16,19034,714,55,929,36,396,102,46,76840,2959,242,66.18,0,0,0,0,0,0,0,1.0,0.0021,1,471,1,1,97,2
2018-03-17,10965,366,23,448,17,200,75,14,44202,1510,241,66.09,0,0,0,0,0,0,0,1.0,0.0040999999999999995,1,244,1,1,74,1
2018-03-18,9767,260,18,290,13,135,67,21,39132,1105,240,65.68,0,0,0,0,0,0,0,1.0,0.0055000000000000005,1,182,1,1,56,5
2018-03-19,6328,138,8,135,2,64,50,9,24880,521,235,64.46,0,0,0,0,0,0,0,0.0,0.0,0,120,0,0,24,0
2018-03-20,3213,59,3,90,5,31,40,5,12251,224,228,62.51,0,0,0,0,0,0,0,0.0,0.0,0,72,0,0,11,2
2018-03-21,2508,68,6,80,4,19,17,4,9782,253,234,63.94,0,0,0,0,0,0,0,0.0,0.0,0,33,0,0,13,0
2018-03-22,1556,49,0,44,2,12,12,4,6124,205,236,64.53,0,0,0,0,0,0,0,0.0,0.0,0,31,0,0,9,4
2018-03-23,679,25,0,31,0,13,10,1,2548,86,225,61.529999999999994,0,0,0,0,0,0,0,0.0,0.0,0,11,0,0,6,0
2018-03-24,674,33,3,34,1,12,11,5,2712,128,241,65.98,0,0,0,0,0,0,0,0.0,0.0,0,14,0,0,4,0
2018-03-25,609,28,0,37,0,10,12,0,2291,78,225,61.69,0,0,0,0,0,0,0,0.0,0.0,0,20,0,0,7,0
2018-03-26,904,15,0,23,1,7,8,4,3011,52,199,54.6,0,0,0,0,0,0,0,1.0,0.069,2,29,2,2,4,2
2018-03-27,897,30,0,40,2,12,12,2,3514,131,235,64.24,0,0,0,0,0,0,0,0.0,0.0,0,19,0,0,7,1
2018-03-28,2007,48,4,54,0,19,7,6,7077,182,211,57.81,0,0,0,0,0,0,0,0.0,0.0,0,44,0,0,10,0
2018-03-29,3318,118,10,97,8,47,8,9,12137,434,219,59.97,0,0,0,0,0,0,0,0.0,0.0,0,90,0,0,33,1
2018-03-30,2928,113,2,92,4,37,14,8,10888,395,223,60.96,0,0,0,0,0,0,0,0.0,0.0,0,67,0,0,28,1
2018-03-31,1236,38,3,51,2,24,9,3,4844,139,235,64.25,0,0,0,0,0,0,0,0.0,0.0,0,31,0,0,9,0
2018-04-01,497,15,0,28,0,12,16,2,1926,53,232,63.54,0,0,0,0,0,0,0,0.0,0.0,0,6,0,0,3,0
2018-04-02,700,27,0,34,0,7,7,1,2674,118,229,62.63999999999999,0,0,0,0,0,0,0,0.0,0.0,0,28,0,0,10,1
2018-04-03,495,14,0,15,0,3,7,1,1879,56,227,62.24000000000001,0,0,0,0,0,0,0,0.0,0.0,0,5,0,0,5,1
2018-04-04,463,16,0,32,0,6,5,0,1810,66,234,64.1,0,0,0,0,0,0,0,0.0,0.0,0,8,0,0,5,0
2018-04-05,467,14,1,21,0,10,7,1,1777,56,228,62.39,0,0,0,0,0,0,0,0.0,0.0,0,9,0,0,4,1
2018-04-06,813,29,1,26,1,11,5,9,3315,118,244,66.85,0,0,0,0,0,0,0,0.0,0.0,0,24,0,0,7,0
2018-04-07,1470,55,6,60,2,22,4,0,5758,208,235,64.21,0,0,0,0,0,0,0,0.0,0.0,0,51,0,0,15,2
