day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,21,1,0,0,0,1,0,0,78,18,223,20.18,0.0,0.0,6,6,6,0,0,0,0,0,0,0,0,0,0
2019-01-02,43,0,0,1,0,2,1,0,148,0,206,18.66,0.0,0.0,31,30,31,0,0,0,0,0,0,0,0,0,0
2019-01-03,25,1,0,0,0,1,0,0,88,0,211,19.13,0.0,0.0,10,10,10,0,0,0,0,0,0,0,0,0,0
2019-01-04,40,1,0,2,0,1,0,0,224,2,337,30.459999999999997,0.0171,0.0,124,117,124,2,0,0,0,0,0,0,0,0,0
2019-01-05,23,0,0,1,0,0,0,0,86,0,224,20.25,0.0,0.0,10,10,10,0,0,0,0,0,0,0,0,0,1
2019-01-06,30,1,0,0,0,2,0,0,132,15,264,23.89,0.0,0.0,37,37,37,0,0,0,0,0,0,0,0,0,0
2019-01-07,29,2,0,1,0,0,1,1,97,0,202,18.24,0.0,0.0,38,36,38,0,0,0,0,0,0,0,0,1,0
2019-01-08,16,1,0,0,0,1,2,0,79,19,297,26.82,0.0,0.0,24,22,24,0,0,0,0,0,0,0,0,0,0
2019-01-09,32,1,0,0,0,0,1,1,138,0,259,23.38,0.0,0.07690000000000001,13,12,13,0,1,0,0,0,0,0,0,0,0
2019-01-10,35,2,0,0,0,1,0,0,96,1,165,14.899999999999999,0.0,0.0,36,36,36,0,0,0,0,0,0,0,0,0,0
2019-01-11,34,1,0,0,0,0,0,0,94,0,166,15.049999999999999,0.0,0.0,11,10,11,0,0,0,0,0,0,0,0,0,0
2019-01-12,40,4,0,0,0,1,0,2,162,19,243,21.94,0.0,0.0,38,36,38,0,0,0,0,0,0,0,0,0,0
2019-01-13,40,3,1,0,0,0,1,0,169,21,253,22.92,0.0,0.0196,51,50,51,0,1,0,0,0,0,0,0,0,0
2019-01-14,30,1,0,2,0,0,0,0,93,4,186,16.8,0.0208,0.0,52,48,52,1,0,0,0,0,0,0,0,0,0
2019-01-15,30,1,0,1,0,0,0,0,108,0,216,19.51,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-16,24,5,0,0,0,0,0,0,82,7,205,18.52,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-17,20,0,0,0,0,1,1,0,76,0,230,20.82,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-18,39,1,0,2,0,0,0,0,194,2,299,27.060000000000002,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-19,39,1,0,1,0,1,0,0,159,0,245,22.16,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-20,31,2,0,0,0,0,1,0,137,3,265,23.95,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-21,41,2,0,2,0,1,1,1,143,2,210,18.98,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-22,22,2,0,0,0,0,1,0,115,1,316,28.52,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-23,23,0,0,0,0,0,0,0,75,0,198,17.88,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-24,24,1,0,0,0,0,0,0,100,18,251,22.66,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-25,21,2,0,2,0,1,0,0,99,19,284,25.650000000000002,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-26,39,1,0,1,0,0,0,0,93,0,143,12.960000000000003,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-27,23,2,0,1,0,0,0,0,68,14,179,16.2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-28,23,0,0,0,0,0,0,0,49,0,127,11.55,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-29,23,0,0,1,0,0,0,0,108,0,282,25.540000000000003,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
