day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,103,8,0,3,1,1,1,0,834,76,486,54.08,0,0,0,0,0,0,0,0.0,0.0,0,111,0,0,4,0
2019-01-02,114,9,0,2,0,1,0,0,1144,93,602,67.03,0,0,0,0,0,0,0,0.0,0.0,0,148,0,0,1,0
2019-01-03,122,7,0,5,0,3,1,0,1126,60,553,61.62,0,0,0,0,0,0,0,0.0,0.0,0,156,0,0,0,0
2019-01-04,183,14,0,5,0,3,2,0,1864,173,611,68.01,0,0,0,0,0,0,0,0.0,0.0,0,245,0,0,0,0
2019-01-05,125,11,0,3,0,1,0,0,1183,130,568,63.190000000000005,0,0,0,0,0,0,0,0.0,0.006,3,166,0,1,1,0
2019-01-06,105,8,0,0,0,3,1,0,886,90,506,56.32,0,0,0,0,0,0,0,0.0,0.0,0,131,0,0,1,0
2019-01-07,96,6,1,2,0,2,0,1,910,63,569,63.32,0,0,0,0,0,0,0,0.3333,0.0146,3,137,1,2,1,0
2019-01-08,78,5,1,4,0,1,1,0,792,46,609,67.83,0,0,0,0,0,0,0,0.0,0.0088,3,113,0,1,0,0
2019-01-09,83,4,0,1,0,3,0,0,711,56,514,57.22999999999999,0,0,0,0,0,0,0,0.0,0.0189,6,106,0,2,2,2
2019-01-10,101,1,0,2,0,3,2,0,874,3,519,57.78,0,0,0,0,0,0,0,0.0,0.0,3,126,0,0,3,0
2019-01-11,97,3,0,3,0,1,1,0,861,21,532,59.28,0,0,0,0,0,0,0,0.0,0.0,0,101,0,0,1,0
2019-01-12,95,14,0,3,0,1,0,1,1013,176,640,71.2,0,0,0,0,0,0,0,0.0,0.0,0,125,0,0,0,0
2019-01-13,98,6,0,0,0,1,3,0,990,52,606,67.45,0,0,0,0,0,0,0,0.0,0.0231,6,130,0,3,1,0
2019-01-14,128,10,0,5,0,1,0,0,1381,107,647,72.04,0,0,0,0,0,0,0,0.0,0.0,3,169,0,0,0,0
2019-01-15,120,10,0,0,0,2,0,0,1201,123,600,66.8,0,0,0,0,0,0,0,0.0,0.0,0,141,0,0,2,0
2019-01-16,123,11,0,0,0,2,2,0,1259,121,614,68.32,0,0,0,0,0,0,0,0.0,0.0699,12,143,0,10,0,0
2019-01-17,107,8,0,2,0,4,3,0,1025,85,574,63.94,0,0,0,0,0,0,0,0.0,0.0,0,124,0,0,0,0
2019-01-18,95,7,0,2,0,3,2,0,883,90,557,62.06,0,0,0,0,0,0,0,0.0,0.0,0,100,0,0,1,0
2019-01-19,131,11,0,3,0,0,0,0,1287,110,589,65.58,0,0,0,0,0,0,0,0.0,0.0,0,143,0,0,0,0
2019-01-20,160,8,0,2,0,5,0,0,1352,63,507,56.41,0,0,0,0,0,0,0,0.0,0.0063,3,160,0,1,0,0
2019-01-21,150,8,0,4,0,3,1,1,1419,99,567,63.16,0,0,0,0,0,0,0,0.0,0.0196,6,153,0,3,0,0
2019-01-22,107,7,0,2,0,1,0,0,1092,76,612,68.16,0,0,0,0,0,0,0,0.0,0.008100000000000001,3,123,0,1,0,0
2019-01-23,128,9,0,3,0,1,0,0,1141,94,535,59.51,0,0,0,0,0,0,0,0.0,0.0085,3,118,0,1,0,0
2019-01-24,113,7,0,5,0,0,0,0,1075,87,571,63.53,0,0,0,0,0,0,0,0.0,0.0,0,132,0,0,0,0
2019-01-25,90,5,0,5,0,1,0,0,776,60,517,57.57,0,0,0,0,0,0,0,0.0,0.0115,3,87,0,1,0,0
2019-01-26,102,6,0,0,0,1,4,1,832,61,489,54.459999999999994,0,0,0,0,0,0,0,0.0,0.0089,3,112,0,1,0,0
