day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,725,18,1,8,1,10,6,2,1552,70,128,28.74,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,0
2019-01-02,620,18,0,6,1,6,3,1,1498,64,145,32.45,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,0
2019-01-03,684,19,0,21,0,9,1,1,1613,76,141,31.670000000000005,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,9,0
2019-01-04,727,15,0,15,0,5,5,2,1636,47,135,30.210000000000004,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,0
2019-01-05,719,11,3,11,1,2,2,0,1505,26,125,28.110000000000003,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,6,0
2019-01-06,834,28,1,13,0,13,4,4,2024,94,145,32.58,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,0
2019-01-07,578,11,0,7,1,5,1,1,1325,42,137,30.79,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,0
2019-01-08,623,14,0,10,0,5,3,4,1378,19,132,29.710000000000004,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,0
2019-01-09,649,13,2,10,0,6,2,3,1467,47,135,30.349999999999998,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-01-10,673,15,3,6,0,5,1,4,1551,49,138,30.94,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2019-01-11,337,5,0,2,1,5,1,4,779,16,138,31.05,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-01-12,470,17,0,7,0,0,3,3,927,54,118,26.49,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2019-01-13,497,10,1,3,0,5,6,2,1136,31,137,30.7,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,4,0
2019-01-14,427,11,0,5,1,8,3,0,855,18,120,26.899999999999995,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,1
