day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-02-15,44060,2272,177,1698,53,1163,152,113,340627,18993,463,57.269999999999996,0,0,0,0,0,0,0,0.1582,0.013500000000000002,335,24246,53,327,174,17
2019-02-16,181740,8831,427,2678,232,2602,468,211,1281728,68585,423,52.239999999999995,0,0,0,0,0,0,0,0.1207,0.0084,762,89964,92,754,1122,17
2019-02-17,189250,7557,249,1890,192,2320,518,200,1290071,58470,409,50.49,0,0,0,0,0,0,0,0.10220000000000001,0.0075,724,95746,74,715,1054,8
2019-02-18,158167,5106,200,1241,129,1868,418,177,1010484,38096,383,47.32,0,0,0,0,0,0,0,0.1015,0.0074,611,84812,62,624,796,20
2019-02-19,104902,2334,115,643,67,998,297,135,613759,16142,351,43.34,0,0,0,0,0,0,0,0.0891,0.0064,393,59084,35,376,470,7
2019-02-20,46300,789,45,278,36,519,208,93,252002,5551,326,40.32,0,0,0,0,0,0,0,0.11230000000000001,0.0072,187,27755,21,200,223,7
2019-02-21,20292,307,19,145,17,209,159,33,110391,2037,326,40.3,0,0,0,0,0,0,0,0.1463,0.0064,82,12551,12,80,108,6
2019-02-22,10883,207,12,104,10,146,119,21,59575,1288,328,40.55,0,0,0,0,0,0,0,0.1515,0.0096,66,6681,10,64,66,2
2019-02-23,10857,230,11,112,5,144,89,14,60203,1418,332,41.07,0,0,0,0,0,0,0,0.0137,0.0155,73,6514,1,101,79,2
2019-02-24,9458,223,10,104,7,111,97,20,54800,1487,347,42.92,0,0,0,0,0,0,0,0.16670000000000001,0.009000000000000001,54,5665,9,51,62,2
2019-02-25,8151,191,9,73,5,88,66,15,47722,1102,351,43.37,0,0,0,0,0,0,0,0.0833,0.0069,36,4944,3,34,32,1
2019-02-26,7544,193,8,78,5,90,72,13,45319,1309,360,44.5,0,0,0,0,0,0,0,0.07690000000000001,0.0049,26,4673,2,23,46,3
2019-02-27,6328,182,5,66,7,69,61,10,37296,1216,353,43.66,0,0,0,0,0,0,0,0.1333,0.0083,30,3863,4,32,37,0
2019-02-28,5034,137,6,45,7,63,43,8,30587,969,364,45.01,0,0,0,0,0,0,0,0.3043,0.006999999999999999,23,3016,7,21,19,2
2019-03-01,4601,133,11,44,3,49,30,5,28073,995,366,45.2,0,0,0,0,0,0,0,0.22219999999999998,0.0064,18,2672,4,17,24,0
2019-03-02,4467,133,2,49,3,37,49,5,28315,1020,380,46.95,0,0,0,0,0,0,0,0.1429,0.0103,28,2519,4,26,24,0
2019-03-03,6115,268,11,55,5,60,54,13,40807,1961,400,49.43,0,0,0,0,0,0,0,0.2857,0.0054,21,3341,6,18,34,0
2019-03-04,4701,172,7,64,4,51,53,9,30625,1211,390,48.26,0,0,0,0,0,0,0,0.2273,0.0070999999999999995,22,2661,5,19,35,1
2019-03-05,4566,165,6,58,8,39,47,11,29741,1200,390,48.25,0,0,0,0,0,0,0,0.23079999999999998,0.0097,26,2688,6,26,26,2
2019-03-06,5204,160,5,67,5,63,22,5,32689,1074,376,46.53,0,0,0,0,0,0,0,0.19440000000000002,0.01,36,3108,7,31,39,1
2019-03-07,4759,149,2,45,2,63,32,5,27749,973,349,43.19,0,0,0,0,0,0,0,0.16,0.008,25,2767,4,22,30,0
2019-03-08,5350,160,6,53,3,82,47,4,30939,1051,346,42.84,0,0,0,0,0,0,0,0.2593,0.0083,27,3004,7,25,28,0
2019-03-09,5739,157,8,60,7,54,31,7,34530,1150,361,44.57,0,0,0,0,0,0,0,0.2813,0.0083,32,3269,9,27,26,0
2019-03-10,5773,199,6,62,3,60,41,4,33706,1386,350,43.25,0,0,0,0,0,0,0,0.1471,0.0118,34,3305,5,39,42,1
2019-03-11,4403,131,4,41,1,43,30,3,23759,899,323,39.97,0,0,0,0,0,0,0,0.1765,0.0070999999999999995,17,2523,3,18,22,4
2019-03-12,3358,94,3,32,1,24,32,5,17804,662,318,39.28,0,0,0,0,0,0,0,0.0625,0.0083,16,1921,1,16,20,0
2019-03-13,2966,99,3,26,1,39,32,3,16210,636,327,40.48,0,0,0,0,0,0,0,0.25,0.006500000000000001,12,1692,3,11,20,2
2019-03-14,2734,87,1,19,4,25,24,5,14178,527,311,38.42,0,0,0,0,0,0,0,0.0,0.0113,19,1592,0,18,14,0
2019-03-15,2402,77,1,15,1,25,19,5,12437,425,310,38.36,0,0,0,0,0,0,0,0.0,0.0073,11,1371,0,10,10,0
2019-03-16,2323,61,3,25,2,23,31,7,12375,426,319,39.46,0,0,0,0,0,0,0,0.07139999999999999,0.009000000000000001,14,1330,1,12,18,0
2019-03-17,2822,101,7,35,1,23,23,4,14842,683,315,38.96,0,0,0,0,0,0,0,0.05,0.0148,20,1620,1,24,13,0
2019-03-18,2602,60,1,24,2,25,36,3,13968,407,322,39.76,0,0,0,0,0,0,0,0.0,0.0053,11,1520,0,8,14,2
2019-03-19,2465,49,1,28,4,22,31,4,13833,392,336,41.57,0,0,0,0,0,0,0,0.1,0.006999999999999999,10,1423,1,10,15,1
2019-03-20,2189,51,1,18,1,20,15,2,11390,337,312,38.54,0,0,0,0,0,0,0,0.0,0.0078000000000000005,9,1276,0,10,13,1
2019-03-21,2764,61,3,24,3,22,14,5,15073,469,327,40.4,0,0,0,0,0,0,0,0.125,0.0075,8,1610,1,12,22,2
2019-03-22,2605,41,2,15,3,24,24,3,13674,282,314,38.88,0,0,0,0,0,0,0,0.125,0.011000000000000001,8,1542,1,17,15,0
2019-03-23,2881,52,1,29,2,44,30,4,14507,352,302,37.3,0,0,0,0,0,0,0,0.11109999999999999,0.0098,18,1739,2,17,13,1
2019-03-24,2714,60,2,14,2,23,21,9,14750,410,326,40.26,0,0,0,0,0,0,0,0.0588,0.009000000000000001,17,1549,1,14,17,0
2019-03-25,2526,35,2,15,0,22,25,5,12893,256,306,37.81,0,0,0,0,0,0,0,0.3077,0.0076,13,1453,4,11,18,1
2019-03-26,2175,40,1,12,3,25,15,3,11060,270,305,37.67,0,0,0,0,0,0,0,0.10529999999999999,0.013300000000000001,19,1283,2,17,9,1
2019-03-27,2323,39,1,18,2,16,16,4,11223,225,289,35.79,0,0,0,0,0,0,0,0.0,0.0109,15,1381,0,15,12,0
2019-03-28,2466,35,1,22,1,29,18,4,12048,268,293,36.19,0,0,0,0,0,0,0,0.11109999999999999,0.0054,9,1482,1,8,13,0
2019-03-29,2912,27,0,14,2,18,17,4,14240,142,293,36.22,0,0,0,0,0,0,0,0.1176,0.0083,17,1815,2,15,12,0
2019-03-30,3345,44,1,24,2,14,12,3,15082,342,270,33.4,0,0,0,0,0,0,0,0.0,0.0059,13,2199,0,13,20,1
2019-03-31,3951,34,2,21,2,32,26,7,18031,234,273,33.81,0,0,0,0,0,0,0,0.1364,0.0085,22,2602,3,22,15,1
2019-04-01,4440,41,0,16,3,25,14,5,20024,239,270,33.41,0,0,0,0,0,0,0,0.25,0.008,24,2884,6,23,16,0
2019-04-02,6614,58,4,17,7,22,16,4,30613,415,277,34.29,0,0,0,0,0,0,0,0.087,0.0055000000000000005,23,4171,2,23,32,0
2019-04-03,6271,55,0,18,3,39,12,7,28837,363,275,34.06,0,0,0,0,0,0,0,0.030299999999999997,0.0085,33,3999,1,34,25,1
2019-04-04,6137,57,3,29,4,45,16,5,29262,408,286,35.32,0,0,0,0,0,0,0,0.1852,0.0075,27,3743,5,28,35,0
2019-04-05,7081,69,5,25,6,42,10,8,30780,542,260,32.2,0,0,0,0,0,0,0,0.0333,0.0060999999999999995,30,4617,1,28,38,1
2019-04-06,5846,94,5,25,2,35,19,9,27579,597,283,34.95,0,0,0,0,0,0,0,0.1,0.0064,20,3606,2,23,29,0
2019-04-07,5212,80,6,40,2,34,14,4,27204,526,313,38.66,0,0,0,0,0,0,0,0.0556,0.006,18,2845,1,17,18,0
2019-04-08,5369,88,9,35,5,50,28,6,26339,559,294,36.34,0,0,0,0,0,0,0,0.1176,0.0048,17,3142,2,15,15,1
2019-04-09,7352,97,13,43,3,53,17,9,33544,704,273,33.8,0,0,0,0,0,0,0,0.1429,0.0076,14,1438,2,11,43,1
2019-04-10,9927,139,16,59,7,81,22,13,41449,859,250,30.930000000000003,0,0,0,0,0,0,0,0.10529999999999999,0.0105,19,1337,2,14,39,0
2019-04-11,10184,150,14,46,7,76,18,11,43505,888,256,31.64,0,0,0,0,0,0,0,0.3043,0.0116,23,1382,7,16,39,0
2019-04-12,9181,128,8,48,7,77,21,9,38773,781,253,31.28,0,0,0,0,0,0,0,0.2,0.0175,30,1256,6,22,33,0
2019-04-13,7498,113,8,32,5,72,21,8,33963,770,271,33.55,0,0,0,0,0,0,0,0.23809999999999998,0.0166,21,1146,5,19,23,2
2019-04-14,7541,134,5,37,1,54,29,4,38694,911,307,38.01,0,0,0,0,0,0,0,0.34380000000000005,0.023,32,1262,11,29,28,1
2019-04-15,6302,118,11,32,6,37,23,7,32575,774,310,38.29,0,0,0,0,0,0,0,0.5882000000000001,0.0148,17,1014,10,15,18,0
2019-04-16,5805,111,15,30,4,34,19,7,29575,795,305,37.74,0,0,0,0,0,0,0,0.11109999999999999,0.0143,18,979,2,14,17,1
2019-04-17,6941,153,8,39,4,57,23,3,36768,963,317,39.24,0,0,0,0,0,0,0,0.4286,0.018500000000000003,28,1240,12,23,23,0
2019-04-18,7809,157,3,61,5,59,27,11,41849,1114,321,39.7,0,0,0,0,0,0,0,0.42310000000000003,0.0146,26,1434,11,21,32,0
2019-04-19,8491,144,6,43,3,48,11,13,44726,950,316,39.02,0,0,0,0,0,0,0,0.3182,0.0092,22,1521,7,14,31,0
2019-04-20,6787,129,2,44,6,64,21,6,36479,961,322,39.81,0,0,0,0,0,0,0,0.3333,0.0231,33,1256,11,29,28,1
2019-04-21,6687,123,3,30,1,53,17,4,34067,889,305,37.74,0,0,0,0,0,0,0,0.5,0.0194,28,1188,14,23,30,1
2019-04-22,4740,81,4,53,2,50,24,5,23749,550,300,37.11,0,0,0,0,0,0,0,0.4545,0.0118,11,845,5,10,17,1
2019-04-23,2540,35,2,24,0,19,15,3,13396,250,316,39.07,0,0,0,0,0,0,0,0.6875,0.0302,16,464,11,14,18,1
