day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-03-10,37505,5303,284,3098,38,2977,560,214,238211,35339,381,72.59,0,0,0,0,0,0,0,0.1094,0.0063,128,17232,14,109,75,18
2021-03-11,18828,2502,83,1148,18,763,451,101,117743,16596,375,71.47,0,0,0,0,0,0,0,0.15789999999999998,0.0067,57,8045,9,54,71,6
2021-03-12,10220,1321,40,573,14,465,242,58,62908,8656,369,70.35,0,0,0,0,0,0,0,0.087,0.0046,23,4304,2,20,43,7
2021-03-13,6704,921,20,349,7,283,205,26,41471,5970,371,70.7,0,0,0,0,0,0,0,0.29410000000000003,0.0042,17,2598,5,11,30,3
2021-03-14,7656,1104,16,370,4,274,167,34,46398,7145,363,69.26,0,0,0,0,0,0,0,0.1333,0.0044,15,2738,2,12,26,3
2021-03-15,4417,624,13,202,5,163,128,19,26416,3951,358,68.35,0,0,0,0,0,0,0,0.0,0.0017000000000000001,5,1729,0,3,21,0
2021-03-16,2440,349,12,136,5,78,68,15,14317,2215,352,67.06,0,0,0,0,0,0,0,0.16670000000000001,0.0053,6,951,1,5,4,0
2021-03-17,2634,350,12,129,6,103,67,14,15160,2188,345,65.78,0,0,0,0,0,0,0,0.3333,0.0039000000000000003,6,1018,2,4,13,2
2021-03-18,2769,339,15,160,0,109,65,10,15775,2141,341,65.11,0,0,0,0,0,0,0,0.0,0.0044,6,1135,0,5,15,1
2021-03-19,2105,296,10,92,1,86,52,7,11627,1785,331,63.129999999999995,0,0,0,0,0,0,0,0.0,0.0025,3,797,0,2,10,2
2021-03-20,2648,378,3,147,2,103,54,11,14950,2309,338,64.53,0,0,0,0,0,0,0,0.25,0.0059,8,1019,2,6,10,2
2021-03-21,2695,391,15,139,2,92,44,17,15319,2265,341,64.96,0,0,0,0,0,0,0,0.11109999999999999,0.006999999999999999,9,1006,1,7,12,3
2021-03-22,2620,305,8,127,2,92,48,8,14959,1853,342,65.25,0,0,0,0,0,0,0,0.0,0.0038,5,1058,0,4,11,0
2021-03-23,2270,298,7,101,5,83,53,7,13101,1779,346,65.96,0,0,0,0,0,0,0,0.0,0.0011,2,933,0,1,14,3
2021-03-24,2367,291,7,132,4,103,47,12,13601,1814,344,65.67,0,0,0,0,0,0,0,0.125,0.0069,8,1018,1,7,13,1
2021-03-25,2406,319,10,122,2,58,36,4,14334,1942,357,68.09,0,0,0,0,0,0,0,0.0,0.0048,5,1041,0,5,11,1
2021-03-26,2552,338,5,120,4,104,35,10,15130,1998,355,67.76,0,0,0,0,0,0,0,0.22219999999999998,0.0066,9,1059,2,7,9,0
2021-03-27,2916,410,9,129,6,79,38,14,17283,2447,355,67.74,0,0,0,0,0,0,0,0.0,0.0034999999999999996,4,1144,0,4,8,0
2021-03-28,4002,507,10,181,3,139,33,14,23768,3062,356,67.88,0,0,0,0,0,0,0,0.16670000000000001,0.0032,6,1576,1,5,15,0
2021-03-29,4076,511,5,163,2,138,45,11,24223,3225,356,67.92,0,0,0,0,0,0,0,0.1,0.005,10,1603,1,8,21,0
