videoID,day,likes
q8aqVh-LJYA,2021-03-10,3098
q8aqVh-LJYA,2021-03-11,1148
q8aqVh-LJYA,2021-03-12,573
q8aqVh-LJYA,2021-03-13,349
q8aqVh-LJYA,2021-03-14,370
q8aqVh-LJYA,2021-03-15,202
q8aqVh-LJYA,2021-03-16,136
q8aqVh-LJYA,2021-03-17,129
q8aqVh-LJYA,2021-03-18,160
q8aqVh-LJYA,2021-03-19,92
q8aqVh-LJYA,2021-03-20,147
q8aqVh-LJYA,2021-03-21,139
q8aqVh-LJYA,2021-03-22,127
q8aqVh-LJYA,2021-03-23,101
q8aqVh-LJYA,2021-03-24,132
q8aqVh-LJYA,2021-03-25,122
q8aqVh-LJYA,2021-03-26,120
q8aqVh-LJYA,2021-03-27,129
q8aqVh-LJYA,2021-03-28,181
q8aqVh-LJYA,2021-03-29,163
q8aqVh-LJYA,2021-03-30,127
q8aqVh-LJYA,2021-03-31,152
q8aqVh-LJYA,2021-04-01,118
q8aqVh-LJYA,2021-04-02,80
q8aqVh-LJYA,2021-04-03,95
q8aqVh-LJYA,2021-04-04,84
q8aqVh-LJYA,2021-04-05,69
q8aqVh-LJYA,2021-04-06,91
q8aqVh-LJYA,2021-04-07,77
q8aqVh-LJYA,2021-04-08,69
q8aqVh-LJYA,2021-04-09,36
q8aqVh-LJYA,2021-04-10,45
q8aqVh-LJYA,2021-04-11,34
q8aqVh-LJYA,2021-04-12,22
q8aqVh-LJYA,2021-04-13,31
q8aqVh-LJYA,2021-04-14,22
q8aqVh-LJYA,2021-04-15,22
q8aqVh-LJYA,2021-04-16,11
q8aqVh-LJYA,2021-04-17,19
q8aqVh-LJYA,2021-04-18,19
q8aqVh-LJYA,2021-04-19,14
q8aqVh-LJYA,2021-04-20,24
q8aqVh-LJYA,2021-04-21,24
q8aqVh-LJYA,2021-04-22,30
q8aqVh-LJYA,2021-04-23,21
q8aqVh-LJYA,2021-04-24,33
q8aqVh-LJYA,2021-04-25,34
q8aqVh-LJYA,2021-04-26,25
q8aqVh-LJYA,2021-04-27,47
q8aqVh-LJYA,2021-04-28,82
q8aqVh-LJYA,2021-04-29,184
q8aqVh-LJYA,2021-04-30,557
q8aqVh-LJYA,2021-05-01,1055
q8aqVh-LJYA,2021-05-02,1112
q8aqVh-LJYA,2021-05-03,1613
q8aqVh-LJYA,2021-05-04,1287
q8aqVh-LJYA,2021-05-05,826
q8aqVh-LJYA,2021-05-06,851
q8aqVh-LJYA,2021-05-07,656
q8aqVh-LJYA,2021-05-08,449
q8aqVh-LJYA,2021-05-09,480
q8aqVh-LJYA,2021-05-10,359
q8aqVh-LJYA,2021-05-11,260
q8aqVh-LJYA,2021-05-12,179
q8aqVh-LJYA,2021-05-13,137
q8aqVh-LJYA,2021-05-14,113
q8aqVh-LJYA,2021-05-15,128
q8aqVh-LJYA,2021-05-16,106
q8aqVh-LJYA,2021-05-17,116
q8aqVh-LJYA,2021-05-18,144
q8aqVh-LJYA,2021-05-19,111
q8aqVh-LJYA,2021-05-20,141
q8aqVh-LJYA,2021-05-21,117
q8aqVh-LJYA,2021-05-22,96
q8aqVh-LJYA,2021-05-23,91
q8aqVh-LJYA,2021-05-24,56
q8aqVh-LJYA,2021-05-25,58
q8aqVh-LJYA,2021-05-26,62
q8aqVh-LJYA,2021-05-27,44
q8aqVh-LJYA,2021-05-28,62
q8aqVh-LJYA,2021-05-29,62
q8aqVh-LJYA,2021-05-30,51
q8aqVh-LJYA,2021-05-31,46
q8aqVh-LJYA,2021-06-01,47
q8aqVh-LJYA,2021-06-02,52
q8aqVh-LJYA,2021-06-03,37
q8aqVh-LJYA,2021-06-04,39
q8aqVh-LJYA,2021-06-05,35
q8aqVh-LJYA,2021-06-06,31
q8aqVh-LJYA,2021-06-07,26
q8aqVh-LJYA,2021-06-08,37
q8aqVh-LJYA,2021-06-09,30
q8aqVh-LJYA,2021-06-10,57
q8aqVh-LJYA,2021-06-11,47
q8aqVh-LJYA,2021-06-12,29
q8aqVh-LJYA,2021-06-13,36
q8aqVh-LJYA,2021-06-14,23
q8aqVh-LJYA,2021-06-15,43
q8aqVh-LJYA,2021-06-16,39
q8aqVh-LJYA,2021-06-17,50
q8aqVh-LJYA,2021-06-18,22
q8aqVh-LJYA,2021-06-19,31
q8aqVh-LJYA,2021-06-20,42
q8aqVh-LJYA,2021-06-21,37
q8aqVh-LJYA,2021-06-22,43
q8aqVh-LJYA,2021-06-23,59
q8aqVh-LJYA,2021-06-24,63
q8aqVh-LJYA,2021-06-25,70
q8aqVh-LJYA,2021-06-26,81
q8aqVh-LJYA,2021-06-27,95
q8aqVh-LJYA,2021-06-28,67
q8aqVh-LJYA,2021-06-29,59
q8aqVh-LJYA,2021-06-30,66
q8aqVh-LJYA,2021-07-01,75
q8aqVh-LJYA,2021-07-02,121
q8aqVh-LJYA,2021-07-03,120
q8aqVh-LJYA,2021-07-04,104
q8aqVh-LJYA,2021-07-05,82
q8aqVh-LJYA,2021-07-06,101
q8aqVh-LJYA,2021-07-07,75
q8aqVh-LJYA,2021-07-08,87
q8aqVh-LJYA,2021-07-09,74
q8aqVh-LJYA,2021-07-10,42
q8aqVh-LJYA,2021-07-11,73
q8aqVh-LJYA,2021-07-12,80
q8aqVh-LJYA,2021-07-13,37
q8aqVh-LJYA,2021-07-14,66
q8aqVh-LJYA,2021-07-15,46
q8aqVh-LJYA,2021-07-16,59
q8aqVh-LJYA,2021-07-17,48
q8aqVh-LJYA,2021-07-18,60
q8aqVh-LJYA,2021-07-19,57
q8aqVh-LJYA,2021-07-20,53
q8aqVh-LJYA,2021-07-21,71
q8aqVh-LJYA,2021-07-22,32
q8aqVh-LJYA,2021-07-23,37
q8aqVh-LJYA,2021-07-24,36
q8aqVh-LJYA,2021-07-25,43
q8aqVh-LJYA,2021-07-26,78
q8aqVh-LJYA,2021-07-27,70
q8aqVh-LJYA,2021-07-28,54
q8aqVh-LJYA,2021-07-29,47
q8aqVh-LJYA,2021-07-30,79
q8aqVh-LJYA,2021-07-31,55
q8aqVh-LJYA,2021-08-01,71
q8aqVh-LJYA,2021-08-02,55
q8aqVh-LJYA,2021-08-03,51
q8aqVh-LJYA,2021-08-04,33
q8aqVh-LJYA,2021-08-05,17
q8aqVh-LJYA,2021-08-06,27
q8aqVh-LJYA,2021-08-07,25
q8aqVh-LJYA,2021-08-08,30
q8aqVh-LJYA,2021-08-09,22
q8aqVh-LJYA,2021-08-10,7
q8aqVh-LJYA,2021-08-11,17
q8aqVh-LJYA,2021-08-12,24
q8aqVh-LJYA,2021-08-13,30
q8aqVh-LJYA,2021-08-14,13
q8aqVh-LJYA,2021-08-15,8
q8aqVh-LJYA,2021-08-16,17
q8aqVh-LJYA,2021-08-17,12
q8aqVh-LJYA,2021-08-18,6
q8aqVh-LJYA,2021-08-19,8
q8aqVh-LJYA,2021-08-20,10
q8aqVh-LJYA,2021-08-21,6
q8aqVh-LJYA,2021-08-22,14
q8aqVh-LJYA,2021-08-23,26
q8aqVh-LJYA,2021-08-24,11
q8aqVh-LJYA,2021-08-25,9
q8aqVh-LJYA,2021-08-26,15
