day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-05-27,3,0,0,0,0,0,0,0,6,0,127,21.57,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2021-05-28,69147,9662,180,4652,48,2893,546,101,404206,60651,350,59.54999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,219,21
2021-05-29,32190,4370,51,1677,13,840,408,41,179529,26633,334,56.81,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,127,9
2021-05-30,20368,2933,32,1041,11,505,276,22,112552,17466,331,56.28999999999999,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,90,8
2021-05-31,34709,4772,65,1478,16,701,252,31,183068,27760,316,53.73,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,135,3
2021-06-01,28071,3827,53,1145,14,675,249,30,144200,21280,308,52.33,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,142,5
2021-06-02,16175,2160,43,674,20,368,192,20,84905,12110,314,53.47,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,76,2
2021-06-03,12295,1705,16,462,9,247,156,13,65355,9587,318,54.15,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,75,2
2021-06-04,6686,894,10,271,6,127,100,7,34979,4990,313,53.290000000000006,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,40,1
2021-06-05,4187,544,5,171,2,90,74,3,22948,3247,328,55.83,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,26,0
2021-06-06,2639,366,6,106,1,76,81,1,14511,2203,329,56.02,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,11,0
2021-06-07,1466,180,3,63,2,35,62,1,8295,1117,339,57.65,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,7,1
