videoID,day,likes
qDS-xw_ECm8,2021-05-27,0
qDS-xw_ECm8,2021-05-28,4652
qDS-xw_ECm8,2021-05-29,1677
qDS-xw_ECm8,2021-05-30,1041
qDS-xw_ECm8,2021-05-31,1478
qDS-xw_ECm8,2021-06-01,1145
qDS-xw_ECm8,2021-06-02,674
qDS-xw_ECm8,2021-06-03,462
qDS-xw_ECm8,2021-06-04,271
qDS-xw_ECm8,2021-06-05,171
qDS-xw_ECm8,2021-06-06,106
qDS-xw_ECm8,2021-06-07,63
qDS-xw_ECm8,2021-06-08,47
qDS-xw_ECm8,2021-06-09,35
qDS-xw_ECm8,2021-06-10,26
qDS-xw_ECm8,2021-06-11,30
qDS-xw_ECm8,2021-06-12,27
qDS-xw_ECm8,2021-06-13,34
qDS-xw_ECm8,2021-06-14,42
qDS-xw_ECm8,2021-06-15,17
qDS-xw_ECm8,2021-06-16,22
qDS-xw_ECm8,2021-06-17,32
qDS-xw_ECm8,2021-06-18,21
qDS-xw_ECm8,2021-06-19,23
qDS-xw_ECm8,2021-06-20,26
qDS-xw_ECm8,2021-06-21,15
qDS-xw_ECm8,2021-06-22,11
qDS-xw_ECm8,2021-06-23,22
qDS-xw_ECm8,2021-06-24,19
qDS-xw_ECm8,2021-06-25,13
qDS-xw_ECm8,2021-06-26,18
qDS-xw_ECm8,2021-06-27,11
qDS-xw_ECm8,2021-06-28,11
qDS-xw_ECm8,2021-06-29,7
qDS-xw_ECm8,2021-06-30,5
qDS-xw_ECm8,2021-07-01,6
qDS-xw_ECm8,2021-07-02,7
qDS-xw_ECm8,2021-07-03,3
qDS-xw_ECm8,2021-07-04,6
qDS-xw_ECm8,2021-07-05,7
qDS-xw_ECm8,2021-07-06,9
qDS-xw_ECm8,2021-07-07,6
qDS-xw_ECm8,2021-07-08,9
qDS-xw_ECm8,2021-07-09,4
qDS-xw_ECm8,2021-07-10,6
qDS-xw_ECm8,2021-07-11,4
qDS-xw_ECm8,2021-07-12,6
qDS-xw_ECm8,2021-07-13,17
qDS-xw_ECm8,2021-07-14,20
qDS-xw_ECm8,2021-07-15,13
qDS-xw_ECm8,2021-07-16,9
qDS-xw_ECm8,2021-07-17,12
qDS-xw_ECm8,2021-07-18,13
qDS-xw_ECm8,2021-07-19,14
qDS-xw_ECm8,2021-07-20,15
qDS-xw_ECm8,2021-07-21,13
qDS-xw_ECm8,2021-07-22,7
qDS-xw_ECm8,2021-07-23,11
qDS-xw_ECm8,2021-07-24,18
qDS-xw_ECm8,2021-07-25,47
qDS-xw_ECm8,2021-07-26,37
qDS-xw_ECm8,2021-07-27,43
qDS-xw_ECm8,2021-07-28,27
qDS-xw_ECm8,2021-07-29,30
qDS-xw_ECm8,2021-07-30,25
qDS-xw_ECm8,2021-07-31,34
qDS-xw_ECm8,2021-08-01,18
qDS-xw_ECm8,2021-08-02,20
qDS-xw_ECm8,2021-08-03,20
qDS-xw_ECm8,2021-08-04,18
qDS-xw_ECm8,2021-08-05,49
qDS-xw_ECm8,2021-08-06,52
qDS-xw_ECm8,2021-08-07,82
qDS-xw_ECm8,2021-08-08,96
qDS-xw_ECm8,2021-08-09,139
qDS-xw_ECm8,2021-08-10,156
qDS-xw_ECm8,2021-08-11,177
qDS-xw_ECm8,2021-08-12,178
qDS-xw_ECm8,2021-08-13,157
qDS-xw_ECm8,2021-08-14,141
qDS-xw_ECm8,2021-08-15,105
qDS-xw_ECm8,2021-08-16,94
qDS-xw_ECm8,2021-08-17,68
qDS-xw_ECm8,2021-08-18,56
qDS-xw_ECm8,2021-08-19,58
qDS-xw_ECm8,2021-08-20,23
qDS-xw_ECm8,2021-08-21,34
qDS-xw_ECm8,2021-08-22,27
qDS-xw_ECm8,2021-08-23,39
qDS-xw_ECm8,2021-08-24,38
qDS-xw_ECm8,2021-08-25,28
qDS-xw_ECm8,2021-08-26,44
qDS-xw_ECm8,2021-08-27,38
qDS-xw_ECm8,2021-08-28,41
qDS-xw_ECm8,2021-08-29,50
qDS-xw_ECm8,2021-08-30,51
qDS-xw_ECm8,2021-08-31,50
qDS-xw_ECm8,2021-09-01,34
qDS-xw_ECm8,2021-09-02,23
qDS-xw_ECm8,2021-09-03,36
qDS-xw_ECm8,2021-09-04,47
qDS-xw_ECm8,2021-09-05,49
qDS-xw_ECm8,2021-09-06,37
qDS-xw_ECm8,2021-09-07,57
qDS-xw_ECm8,2021-09-08,54
qDS-xw_ECm8,2021-09-09,28
qDS-xw_ECm8,2021-09-10,23
qDS-xw_ECm8,2021-09-11,16
qDS-xw_ECm8,2021-09-12,14
qDS-xw_ECm8,2021-09-13,18
qDS-xw_ECm8,2021-09-14,16
qDS-xw_ECm8,2021-09-15,17
qDS-xw_ECm8,2021-09-16,14
qDS-xw_ECm8,2021-09-17,18
qDS-xw_ECm8,2021-09-18,13
qDS-xw_ECm8,2021-09-19,13
qDS-xw_ECm8,2021-09-20,6
qDS-xw_ECm8,2021-09-21,4
qDS-xw_ECm8,2021-09-22,1
qDS-xw_ECm8,2021-09-23,4
qDS-xw_ECm8,2021-09-24,9
qDS-xw_ECm8,2021-09-25,14
qDS-xw_ECm8,2021-09-26,6
qDS-xw_ECm8,2021-09-27,8
qDS-xw_ECm8,2021-09-28,4
