day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-07-29,10,1,0,1,0,2,0,0,87,6,522,70.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-30,29967,2028,137,2056,18,1511,226,96,219666,16443,439,59.599999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,86,11
2019-07-31,32457,1753,52,1189,20,981,253,61,207313,12910,383,51.93,0,0,0,0,0,0,0,0,0,0,0,0,0,247,4
2019-08-01,18286,842,32,476,20,649,168,38,101481,5802,332,45.12,0,0,0,0,0,0,0,0,0,0,0,0,0,182,3
2019-08-02,12300,703,25,301,8,356,128,28,71745,4895,349,47.42,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1
2019-08-03,9562,555,13,240,6,226,110,15,59724,4069,374,50.78,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1
2019-08-04,7954,436,4,221,8,190,88,12,52609,3470,396,53.77000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,98,2
2019-08-05,6880,403,5,158,5,165,85,12,45643,2992,398,53.94,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0
2019-08-06,8540,549,5,197,3,230,74,14,59293,4253,416,56.45,0,0,0,0,0,0,0,0,0,0,0,0,0,104,2
2019-08-07,7896,550,4,176,4,215,83,5,54331,4025,412,55.94,0,0,0,0,0,0,0,0,0,0,0,0,0,99,2
2019-08-08,7154,479,8,140,6,151,69,13,50022,3540,419,56.85,0,0,0,0,0,0,0,0,0,0,0,0,0,85,3
2019-08-09,6825,412,7,151,4,180,53,7,45455,2957,399,54.15,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0
2019-08-10,6255,404,6,158,3,154,71,7,42172,3015,404,54.81,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1
2019-08-11,4344,293,3,123,3,122,55,9,29298,2149,404,54.83,0,0,0,0,0,0,0,0,0,0,0,0,0,58,2
2019-08-12,4646,310,4,88,3,101,46,7,32563,2373,420,56.98,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2
2019-08-13,3355,251,0,78,2,66,42,7,24318,2070,434,58.93000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1
2019-08-14,2316,178,1,53,3,54,26,1,17067,1311,442,59.91,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
2019-08-15,1478,115,0,42,2,39,38,2,11393,1006,462,62.67,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
2019-08-16,1189,105,4,25,0,26,16,3,9031,872,455,61.75999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2019-08-17,1274,95,0,46,0,22,28,3,9981,714,470,63.7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2019-08-18,1344,112,0,43,0,27,24,2,10320,899,460,62.43,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-08-19,1160,77,0,34,1,24,22,2,8895,592,460,62.34,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2019-08-20,1016,84,0,30,1,19,18,1,8154,803,481,65.26,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2019-08-21,920,60,0,25,0,19,19,0,7422,512,484,65.59,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2019-08-22,951,69,1,17,0,16,21,2,7348,590,463,62.83,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2019-08-23,892,58,1,23,1,18,19,1,6824,483,459,62.2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-08-24,1520,101,1,28,1,19,19,0,12240,827,483,65.47,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2019-08-25,1510,114,1,21,0,23,20,2,12289,956,488,66.17,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2019-08-26,1111,85,0,26,0,17,14,2,8665,750,467,63.41,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2019-08-27,822,50,1,13,0,11,17,0,6298,427,459,62.29,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2019-08-28,977,48,3,20,1,12,12,2,7444,408,457,61.95,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-08-29,735,47,0,9,0,13,11,0,5219,393,426,57.74,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-08-30,718,40,1,11,0,6,11,1,5351,379,447,60.6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2019-08-31,924,61,0,14,1,14,11,0,7535,516,489,66.31,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-09-01,625,44,0,4,-1,6,14,2,4944,390,474,64.32,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-09-02,529,46,0,15,0,8,10,0,4224,399,479,64.93,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-09-03,501,43,0,7,1,6,8,2,4052,425,485,65.77,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2019-09-04,533,36,0,3,0,4,7,0,4322,370,486,65.93,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-09-05,440,36,0,5,0,2,5,2,3265,288,445,60.34,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-09-06,443,24,0,6,0,5,6,2,3436,220,465,63.07000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-09-07,593,26,0,12,1,4,7,4,4000,209,404,54.85,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-09-08,565,29,0,6,0,5,6,2,4351,247,462,62.61,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2019-09-09,475,38,0,7,0,8,13,0,3568,324,450,61.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2019-09-10,612,43,1,13,2,8,10,3,4929,442,483,65.48,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-09-11,748,58,0,13,0,6,6,1,6191,543,496,67.3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2019-09-12,562,54,1,9,0,4,10,0,4348,477,464,62.91,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2019-09-13,567,42,6,11,1,11,6,0,4326,353,457,62.03999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-09-14,1264,88,0,31,1,15,10,3,10150,771,481,65.29,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2019-09-15,1565,110,1,35,0,16,13,5,12314,977,472,63.96999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
2019-09-16,1462,113,2,29,1,26,7,1,11501,939,472,63.96000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2019-09-17,1954,149,2,33,2,32,15,3,15502,1208,476,64.5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
2019-09-18,2182,159,2,54,4,39,15,3,16603,1226,456,61.86000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
2019-09-19,1738,121,1,46,1,32,10,3,13574,1045,468,63.5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2019-09-20,1177,68,1,25,0,17,14,0,8956,581,456,61.870000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2019-09-21,1022,50,0,25,0,12,9,0,8133,442,477,64.71,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2019-09-22,1326,86,0,33,1,16,4,2,10415,713,471,63.85999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
2019-09-23,1184,85,2,34,1,16,10,6,9001,769,456,61.809999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
2019-09-24,1107,90,1,17,0,18,4,3,8871,712,480,65.16,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2019-09-25,1399,93,0,24,0,12,10,1,12658,867,542,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2019-09-26,1526,118,1,26,0,24,10,1,13424,1069,527,71.52,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2019-09-27,1527,111,1,40,0,21,10,4,12426,886,488,66.16,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
2019-09-28,1434,102,1,36,2,16,14,3,11505,848,481,65.23,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2019-09-29,1407,121,0,35,0,26,13,2,11464,1026,488,66.25,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
2019-09-30,1274,118,0,16,0,17,14,2,10572,1041,497,67.47,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
2019-10-01,1095,62,2,27,0,18,5,1,8903,557,487,66.11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2019-10-02,1029,84,1,28,0,11,8,4,8042,767,468,63.54,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2019-10-03,858,75,0,24,1,11,4,0,6999,681,489,66.33,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2019-10-04,752,48,0,16,0,12,5,4,5787,419,461,62.57,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-10-05,691,55,1,15,0,7,9,2,5282,533,458,62.16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-10-06,815,62,1,18,0,13,9,1,6627,525,487,66.11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-10-07,741,36,2,20,0,6,7,0,6074,333,491,66.65,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2019-10-08,732,50,0,4,0,10,8,1,6357,499,521,70.61,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-10-09,797,56,2,17,0,5,8,0,6625,460,498,67.59,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2019-10-10,841,60,0,7,1,9,7,0,6476,542,462,62.61,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-10-11,623,45,1,15,0,7,4,2,4821,425,464,62.91,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-10-12,607,33,1,9,0,3,9,1,4758,312,470,63.73,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-10-13,703,40,3,17,1,20,6,1,5268,422,449,60.92999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2019-10-14,699,29,0,14,2,8,2,0,4961,218,425,57.71000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2019-10-15,621,35,1,12,1,4,2,0,4363,305,421,57.13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2019-10-16,698,42,2,15,2,8,7,1,4938,391,424,57.53,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2019-10-17,632,43,2,7,1,7,10,2,4542,372,431,58.440000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2019-10-18,635,39,0,9,0,6,6,0,5031,335,475,64.42,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2019-10-19,866,55,0,21,0,11,6,1,6582,501,456,61.79,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2019-10-20,897,46,1,16,0,16,8,1,6342,418,424,57.489999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2019-10-21,686,35,0,13,0,9,5,1,4729,297,413,56.05,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
