videoID,day,likes
qGy4uyHVUYA,2019-07-29,1
qGy4uyHVUYA,2019-07-30,2056
qGy4uyHVUYA,2019-07-31,1189
qGy4uyHVUYA,2019-08-01,476
qGy4uyHVUYA,2019-08-02,301
qGy4uyHVUYA,2019-08-03,240
qGy4uyHVUYA,2019-08-04,221
qGy4uyHVUYA,2019-08-05,158
qGy4uyHVUYA,2019-08-06,197
qGy4uyHVUYA,2019-08-07,176
qGy4uyHVUYA,2019-08-08,140
qGy4uyHVUYA,2019-08-09,151
qGy4uyHVUYA,2019-08-10,158
qGy4uyHVUYA,2019-08-11,123
qGy4uyHVUYA,2019-08-12,88
qGy4uyHVUYA,2019-08-13,78
qGy4uyHVUYA,2019-08-14,53
qGy4uyHVUYA,2019-08-15,42
qGy4uyHVUYA,2019-08-16,25
qGy4uyHVUYA,2019-08-17,46
qGy4uyHVUYA,2019-08-18,43
qGy4uyHVUYA,2019-08-19,34
qGy4uyHVUYA,2019-08-20,30
qGy4uyHVUYA,2019-08-21,25
qGy4uyHVUYA,2019-08-22,17
qGy4uyHVUYA,2019-08-23,23
qGy4uyHVUYA,2019-08-24,28
qGy4uyHVUYA,2019-08-25,21
qGy4uyHVUYA,2019-08-26,26
qGy4uyHVUYA,2019-08-27,13
qGy4uyHVUYA,2019-08-28,20
qGy4uyHVUYA,2019-08-29,9
qGy4uyHVUYA,2019-08-30,11
qGy4uyHVUYA,2019-08-31,14
qGy4uyHVUYA,2019-09-01,4
qGy4uyHVUYA,2019-09-02,15
qGy4uyHVUYA,2019-09-03,7
qGy4uyHVUYA,2019-09-04,3
qGy4uyHVUYA,2019-09-05,5
qGy4uyHVUYA,2019-09-06,6
qGy4uyHVUYA,2019-09-07,12
qGy4uyHVUYA,2019-09-08,6
qGy4uyHVUYA,2019-09-09,7
qGy4uyHVUYA,2019-09-10,13
qGy4uyHVUYA,2019-09-11,13
qGy4uyHVUYA,2019-09-12,9
qGy4uyHVUYA,2019-09-13,11
qGy4uyHVUYA,2019-09-14,31
qGy4uyHVUYA,2019-09-15,35
qGy4uyHVUYA,2019-09-16,29
qGy4uyHVUYA,2019-09-17,33
qGy4uyHVUYA,2019-09-18,54
qGy4uyHVUYA,2019-09-19,46
qGy4uyHVUYA,2019-09-20,25
qGy4uyHVUYA,2019-09-21,25
qGy4uyHVUYA,2019-09-22,33
qGy4uyHVUYA,2019-09-23,34
qGy4uyHVUYA,2019-09-24,17
qGy4uyHVUYA,2019-09-25,24
qGy4uyHVUYA,2019-09-26,26
qGy4uyHVUYA,2019-09-27,40
qGy4uyHVUYA,2019-09-28,36
qGy4uyHVUYA,2019-09-29,35
qGy4uyHVUYA,2019-09-30,16
qGy4uyHVUYA,2019-10-01,27
qGy4uyHVUYA,2019-10-02,28
qGy4uyHVUYA,2019-10-03,24
qGy4uyHVUYA,2019-10-04,16
qGy4uyHVUYA,2019-10-05,15
qGy4uyHVUYA,2019-10-06,18
qGy4uyHVUYA,2019-10-07,20
qGy4uyHVUYA,2019-10-08,4
qGy4uyHVUYA,2019-10-09,17
qGy4uyHVUYA,2019-10-10,7
qGy4uyHVUYA,2019-10-11,15
qGy4uyHVUYA,2019-10-12,9
qGy4uyHVUYA,2019-10-13,17
qGy4uyHVUYA,2019-10-14,14
qGy4uyHVUYA,2019-10-15,12
qGy4uyHVUYA,2019-10-16,15
qGy4uyHVUYA,2019-10-17,7
qGy4uyHVUYA,2019-10-18,9
qGy4uyHVUYA,2019-10-19,21
qGy4uyHVUYA,2019-10-20,16
qGy4uyHVUYA,2019-10-21,13
qGy4uyHVUYA,2019-10-22,11
qGy4uyHVUYA,2019-10-23,10
qGy4uyHVUYA,2019-10-24,3
qGy4uyHVUYA,2019-10-25,5
qGy4uyHVUYA,2019-10-26,14
qGy4uyHVUYA,2019-10-27,13
qGy4uyHVUYA,2019-10-28,4
qGy4uyHVUYA,2019-10-29,9
qGy4uyHVUYA,2019-10-30,2
qGy4uyHVUYA,2019-10-31,4
qGy4uyHVUYA,2019-11-01,1
qGy4uyHVUYA,2019-11-02,3
qGy4uyHVUYA,2019-11-03,6
qGy4uyHVUYA,2019-11-04,7
qGy4uyHVUYA,2019-11-05,4
qGy4uyHVUYA,2019-11-06,6
qGy4uyHVUYA,2019-11-07,1
qGy4uyHVUYA,2019-11-08,4
qGy4uyHVUYA,2019-11-09,8
qGy4uyHVUYA,2019-11-10,14
qGy4uyHVUYA,2019-11-11,12
qGy4uyHVUYA,2019-11-12,6
qGy4uyHVUYA,2019-11-13,16
qGy4uyHVUYA,2019-11-14,5
qGy4uyHVUYA,2019-11-15,16
qGy4uyHVUYA,2019-11-16,8
qGy4uyHVUYA,2019-11-17,10
qGy4uyHVUYA,2019-11-18,11
qGy4uyHVUYA,2019-11-19,14
qGy4uyHVUYA,2019-11-20,11
qGy4uyHVUYA,2019-11-21,22
qGy4uyHVUYA,2019-11-22,10
qGy4uyHVUYA,2019-11-23,4
qGy4uyHVUYA,2019-11-24,0
qGy4uyHVUYA,2019-11-25,8
qGy4uyHVUYA,2019-11-26,6
qGy4uyHVUYA,2019-11-27,6
qGy4uyHVUYA,2019-11-28,5
qGy4uyHVUYA,2019-11-29,4
qGy4uyHVUYA,2019-11-30,9
qGy4uyHVUYA,2019-12-01,12
qGy4uyHVUYA,2019-12-02,7
qGy4uyHVUYA,2019-12-03,12
qGy4uyHVUYA,2019-12-04,12
qGy4uyHVUYA,2019-12-05,5
qGy4uyHVUYA,2019-12-06,7
qGy4uyHVUYA,2019-12-07,4
qGy4uyHVUYA,2019-12-08,9
qGy4uyHVUYA,2019-12-09,10
qGy4uyHVUYA,2019-12-10,6
qGy4uyHVUYA,2019-12-11,6
qGy4uyHVUYA,2019-12-12,8
qGy4uyHVUYA,2019-12-13,13
qGy4uyHVUYA,2019-12-14,9
qGy4uyHVUYA,2019-12-15,9
qGy4uyHVUYA,2019-12-16,12
qGy4uyHVUYA,2019-12-17,19
qGy4uyHVUYA,2019-12-18,10
qGy4uyHVUYA,2019-12-19,11
qGy4uyHVUYA,2019-12-20,6
qGy4uyHVUYA,2019-12-21,13
qGy4uyHVUYA,2019-12-22,18
qGy4uyHVUYA,2019-12-23,10
qGy4uyHVUYA,2019-12-24,13
qGy4uyHVUYA,2019-12-25,10
qGy4uyHVUYA,2019-12-26,15
qGy4uyHVUYA,2019-12-27,17
qGy4uyHVUYA,2019-12-28,11
qGy4uyHVUYA,2019-12-29,8
qGy4uyHVUYA,2019-12-30,11
qGy4uyHVUYA,2019-12-31,8
qGy4uyHVUYA,2020-01-01,12
