day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-04-13,3,0,0,2,0,3,0,0,28,0,570,98.44,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0
2019-04-14,11,2,0,0,0,0,0,0,50,19,277,47.84,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0
2019-04-15,26563,1401,83,1453,25,1034,177,90,147471,8700,333,57.43000000000001,0,0,0,0,0,0,0,0.381,0.0141,126,7230,48,102,55,10
2019-04-16,33544,1582,95,1015,37,696,216,82,167509,8830,299,51.66,0,0,0,0,0,0,0,0.42590000000000006,0.013500000000000002,108,6791,46,92,140,10
2019-04-17,25086,1039,40,460,19,400,133,58,126711,5884,303,52.25,0,0,0,0,0,0,0,0.4839,0.0115,62,4512,30,52,97,2
2019-04-18,12835,451,14,188,2,164,91,21,65061,2554,304,52.44,0,0,0,0,0,0,0,0.2353,0.0048,51,4977,12,24,52,2
2019-04-19,8708,239,2,143,4,123,46,24,43736,1446,301,51.96000000000001,0,0,0,0,0,0,0,0.2,0.0046,50,4156,10,19,38,3
2019-04-20,5546,154,4,106,2,92,50,23,27243,812,294,50.82,0,0,0,0,0,0,0,0.07139999999999999,0.0038,28,2889,2,11,21,2
2019-04-21,4044,127,1,71,5,87,47,19,19416,739,288,49.67,0,0,0,0,0,0,0,0.17859999999999998,0.0076,28,2375,5,18,34,1
2019-04-22,2863,79,3,52,2,62,35,13,13545,433,283,48.94,0,0,0,0,0,0,0,0.2647,0.0073,34,1650,9,12,19,1
2019-04-23,1171,47,1,34,0,20,31,2,5866,285,300,51.83,0,0,0,0,0,0,0,0.16670000000000001,0.0014000000000000002,6,695,1,1,5,1
2019-04-24,964,42,3,26,0,23,29,0,4653,191,289,49.93,0,0,0,0,0,0,0,0.25,0.0096,12,523,3,5,5,1
2019-04-25,817,36,3,24,3,11,22,5,4143,228,304,52.46999999999999,0,0,0,0,0,0,0,0.0556,0.012199999999999999,18,491,1,6,8,0
2019-04-26,655,32,1,17,0,12,10,4,3295,179,301,52.05,0,0,0,0,0,0,0,0.25,0.0051,8,392,2,2,4,0
2019-04-27,735,33,0,31,0,14,9,2,3675,221,300,51.739999999999995,0,0,0,0,0,0,0,0.25,0.0049,4,412,1,2,2,0
2019-04-28,863,42,2,32,1,13,13,1,4459,225,310,53.459999999999994,0,0,0,0,0,0,0,0.0,0.0,2,494,0,0,1,1
