videoID,day,likes
qMqGkSrZAJ4,2019-04-13,2
qMqGkSrZAJ4,2019-04-14,0
qMqGkSrZAJ4,2019-04-15,1453
qMqGkSrZAJ4,2019-04-16,1015
qMqGkSrZAJ4,2019-04-17,460
qMqGkSrZAJ4,2019-04-18,188
qMqGkSrZAJ4,2019-04-19,143
qMqGkSrZAJ4,2019-04-20,106
qMqGkSrZAJ4,2019-04-21,71
qMqGkSrZAJ4,2019-04-22,52
qMqGkSrZAJ4,2019-04-23,34
qMqGkSrZAJ4,2019-04-24,26
qMqGkSrZAJ4,2019-04-25,24
qMqGkSrZAJ4,2019-04-26,17
qMqGkSrZAJ4,2019-04-27,31
qMqGkSrZAJ4,2019-04-28,32
qMqGkSrZAJ4,2019-04-29,29
qMqGkSrZAJ4,2019-04-30,31
qMqGkSrZAJ4,2019-05-01,42
qMqGkSrZAJ4,2019-05-02,36
qMqGkSrZAJ4,2019-05-03,45
qMqGkSrZAJ4,2019-05-04,34
qMqGkSrZAJ4,2019-05-05,36
qMqGkSrZAJ4,2019-05-06,39
qMqGkSrZAJ4,2019-05-07,37
qMqGkSrZAJ4,2019-05-08,34
qMqGkSrZAJ4,2019-05-09,16
qMqGkSrZAJ4,2019-05-10,15
qMqGkSrZAJ4,2019-05-11,14
qMqGkSrZAJ4,2019-05-12,9
qMqGkSrZAJ4,2019-05-13,5
qMqGkSrZAJ4,2019-05-14,4
qMqGkSrZAJ4,2019-05-15,3
qMqGkSrZAJ4,2019-05-16,9
qMqGkSrZAJ4,2019-05-17,5
qMqGkSrZAJ4,2019-05-18,4
qMqGkSrZAJ4,2019-05-19,5
qMqGkSrZAJ4,2019-05-20,9
qMqGkSrZAJ4,2019-05-21,2
qMqGkSrZAJ4,2019-05-22,8
qMqGkSrZAJ4,2019-05-23,4
qMqGkSrZAJ4,2019-05-24,2
qMqGkSrZAJ4,2019-05-25,4
qMqGkSrZAJ4,2019-05-26,7
qMqGkSrZAJ4,2019-05-27,9
qMqGkSrZAJ4,2019-05-28,5
qMqGkSrZAJ4,2019-05-29,4
qMqGkSrZAJ4,2019-05-30,2
qMqGkSrZAJ4,2019-05-31,3
qMqGkSrZAJ4,2019-06-01,3
qMqGkSrZAJ4,2019-06-02,2
qMqGkSrZAJ4,2019-06-03,4
qMqGkSrZAJ4,2019-06-04,1
qMqGkSrZAJ4,2019-06-05,11
qMqGkSrZAJ4,2019-06-06,9
qMqGkSrZAJ4,2019-06-07,4
qMqGkSrZAJ4,2019-06-08,9
qMqGkSrZAJ4,2019-06-09,11
qMqGkSrZAJ4,2019-06-10,4
qMqGkSrZAJ4,2019-06-11,9
qMqGkSrZAJ4,2019-06-12,7
qMqGkSrZAJ4,2019-06-13,7
qMqGkSrZAJ4,2019-06-14,9
qMqGkSrZAJ4,2019-06-15,8
qMqGkSrZAJ4,2019-06-16,6
qMqGkSrZAJ4,2019-06-17,6
qMqGkSrZAJ4,2019-06-18,10
qMqGkSrZAJ4,2019-06-19,6
qMqGkSrZAJ4,2019-06-20,8
qMqGkSrZAJ4,2019-06-21,6
qMqGkSrZAJ4,2019-06-22,12
qMqGkSrZAJ4,2019-06-23,8
qMqGkSrZAJ4,2019-06-24,9
qMqGkSrZAJ4,2019-06-25,11
qMqGkSrZAJ4,2019-06-26,6
qMqGkSrZAJ4,2019-06-27,9
qMqGkSrZAJ4,2019-06-28,38
qMqGkSrZAJ4,2019-06-29,71
qMqGkSrZAJ4,2019-06-30,69
qMqGkSrZAJ4,2019-07-01,56
qMqGkSrZAJ4,2019-07-02,51
qMqGkSrZAJ4,2019-07-03,34
qMqGkSrZAJ4,2019-07-04,11
qMqGkSrZAJ4,2019-07-05,11
qMqGkSrZAJ4,2019-07-06,13
qMqGkSrZAJ4,2019-07-07,10
qMqGkSrZAJ4,2019-07-08,10
qMqGkSrZAJ4,2019-07-09,5
qMqGkSrZAJ4,2019-07-10,6
qMqGkSrZAJ4,2019-07-11,7
qMqGkSrZAJ4,2019-07-12,2
qMqGkSrZAJ4,2019-07-13,2
qMqGkSrZAJ4,2019-07-14,4
qMqGkSrZAJ4,2019-07-15,3
qMqGkSrZAJ4,2019-07-16,5
qMqGkSrZAJ4,2019-07-17,9
qMqGkSrZAJ4,2019-07-18,1
qMqGkSrZAJ4,2019-07-19,8
qMqGkSrZAJ4,2019-07-20,13
qMqGkSrZAJ4,2019-07-21,10
qMqGkSrZAJ4,2019-07-22,8
qMqGkSrZAJ4,2019-07-23,9
qMqGkSrZAJ4,2019-07-24,10
qMqGkSrZAJ4,2019-07-25,8
qMqGkSrZAJ4,2019-07-26,5
qMqGkSrZAJ4,2019-07-27,5
qMqGkSrZAJ4,2019-07-28,12
qMqGkSrZAJ4,2019-07-29,7
qMqGkSrZAJ4,2019-07-30,7
qMqGkSrZAJ4,2019-07-31,14
qMqGkSrZAJ4,2019-08-01,6
qMqGkSrZAJ4,2019-08-02,8
qMqGkSrZAJ4,2019-08-03,1
qMqGkSrZAJ4,2019-08-04,13
qMqGkSrZAJ4,2019-08-05,11
qMqGkSrZAJ4,2019-08-06,4
qMqGkSrZAJ4,2019-08-07,11
qMqGkSrZAJ4,2019-08-08,11
qMqGkSrZAJ4,2019-08-09,12
qMqGkSrZAJ4,2019-08-10,8
qMqGkSrZAJ4,2019-08-11,9
qMqGkSrZAJ4,2019-08-12,10
qMqGkSrZAJ4,2019-08-13,7
qMqGkSrZAJ4,2019-08-14,11
qMqGkSrZAJ4,2019-08-15,8
qMqGkSrZAJ4,2019-08-16,6
qMqGkSrZAJ4,2019-08-17,21
qMqGkSrZAJ4,2019-08-18,22
qMqGkSrZAJ4,2019-08-19,30
qMqGkSrZAJ4,2019-08-20,22
qMqGkSrZAJ4,2019-08-21,21
qMqGkSrZAJ4,2019-08-22,16
qMqGkSrZAJ4,2019-08-23,9
qMqGkSrZAJ4,2019-08-24,10
qMqGkSrZAJ4,2019-08-25,17
qMqGkSrZAJ4,2019-08-26,8
qMqGkSrZAJ4,2019-08-27,13
qMqGkSrZAJ4,2019-08-28,6
qMqGkSrZAJ4,2019-08-29,7
qMqGkSrZAJ4,2019-08-30,8
qMqGkSrZAJ4,2019-08-31,9
qMqGkSrZAJ4,2019-09-01,12
qMqGkSrZAJ4,2019-09-02,11
qMqGkSrZAJ4,2019-09-03,8
qMqGkSrZAJ4,2019-09-04,8
qMqGkSrZAJ4,2019-09-05,4
qMqGkSrZAJ4,2019-09-06,5
qMqGkSrZAJ4,2019-09-07,7
qMqGkSrZAJ4,2019-09-08,3
qMqGkSrZAJ4,2019-09-09,2
qMqGkSrZAJ4,2019-09-10,3
