day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-03-09,46047,2704,269,2157,55,1339,323,81,139463,8706,181,72.98,0,0,0,0,0,0,0,0.4286,0.0068000000000000005,7,1035,3,7,113,11
2019-03-10,48870,2665,187,1277,55,950,336,82,139640,8121,171,68.85,0,0,0,0,0,0,0,1.0,0.0012,1,841,1,1,234,10
2019-03-11,15093,886,55,378,15,328,211,26,42677,2743,169,68.14,0,0,0,0,0,0,0,0.0,0.0,0,40,0,0,55,6
2019-03-12,6421,358,18,134,6,150,126,13,18605,1108,173,69.82,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,33,1
2019-03-13,3320,204,6,78,3,73,85,5,9705,593,175,70.44,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,25,0
2019-03-14,2258,127,15,58,3,46,54,4,6405,391,170,68.35,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,13,0
2019-03-15,1477,79,3,63,0,34,48,4,4014,242,163,65.49,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,8,0
2019-03-16,929,45,3,37,0,12,36,0,2673,139,172,69.35,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,0
2019-03-17,705,31,1,27,0,9,23,1,2086,78,177,71.3,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,0
2019-03-18,523,41,1,18,0,6,26,0,1584,132,181,73.01,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,2
2019-03-19,411,28,0,16,0,8,20,0,1216,83,177,71.31,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-03-20,497,31,0,33,0,7,15,2,1527,111,184,74.04,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-03-21,580,32,1,25,0,13,13,0,1725,108,178,71.68,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-03-22,525,24,1,19,0,14,14,1,1400,77,160,64.28,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-03-23,481,30,0,25,0,5,16,0,1451,113,181,72.7,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2019-03-24,406,22,0,21,0,12,14,0,1256,68,185,74.56,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-03-25,356,17,0,18,0,4,5,0,1128,58,190,76.41,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,3
2019-03-26,237,18,0,2,0,3,13,0,728,58,184,74.09,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1
2019-03-27,241,18,0,13,1,2,11,0,688,63,171,68.89,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-03-28,174,11,2,6,0,6,9,0,512,27,176,70.91,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-03-29,182,10,0,10,0,3,3,1,549,39,181,72.72,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-03-30,172,9,0,7,0,4,10,0,520,32,181,72.89,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-03-31,173,8,1,6,0,0,8,0,547,27,190,76.31,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-04-01,162,11,0,12,0,1,10,0,513,31,190,76.44,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1
2019-04-02,138,5,0,7,0,4,7,0,389,12,169,67.96,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-04-03,127,15,1,3,0,2,3,1,401,48,189,76.27,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-04-04,127,13,1,3,1,1,6,0,365,44,172,69.32,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-04-05,104,7,0,8,0,2,4,1,314,19,181,72.96,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-04-06,112,7,1,2,0,3,9,0,349,26,187,75.16,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-04-07,124,8,0,2,0,2,8,0,353,20,171,68.77,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1
2019-04-08,87,2,0,10,0,0,7,0,287,3,198,79.54,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1
2019-04-09,64,3,0,-2,0,0,6,0,174,12,163,65.55,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-04-10,57,4,0,3,0,3,3,0,191,15,201,81.07,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-04-11,68,0,0,3,0,1,2,0,225,0,199,80.07,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-04-12,55,3,0,2,0,3,4,0,182,12,199,80.12,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-04-13,54,5,0,2,0,1,7,0,191,20,212,85.42,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-04-14,63,6,0,2,0,0,2,0,220,23,209,84.24,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-04-15,85,6,1,3,0,2,4,0,287,21,202,81.41,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-04-16,88,3,0,2,0,0,2,0,260,4,177,71.42,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-04-17,82,4,0,1,0,0,3,1,273,14,200,80.33,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-04-18,75,8,1,3,0,0,3,0,233,25,186,74.86,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0
2019-04-19,70,7,0,3,0,1,3,1,210,27,180,72.43,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-04-20,62,5,0,-1,0,1,1,1,203,20,196,79.01,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
2019-04-21,72,9,0,2,0,1,1,1,213,19,178,71.51,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,1,0
2019-04-22,59,1,1,2,0,0,5,0,206,4,210,84.36,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-04-23,61,4,0,2,0,2,5,0,172,16,169,68.04,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-04-24,46,3,0,3,0,0,2,0,142,6,186,74.77,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-04-25,43,4,0,3,0,0,4,0,142,12,199,80.01,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0
2019-04-26,69,8,0,2,0,1,4,0,219,22,190,76.58,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-04-27,73,4,0,4,0,2,2,1,241,13,198,79.66,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-04-28,80,5,0,1,0,1,4,0,271,17,203,81.65,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0
2019-04-29,71,6,0,2,0,2,5,0,229,24,194,78.03,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0
