day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-05-11,16605,1174,131,1485,23,848,209,84,52070,3798,188,69.68,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14
2019-05-12,7883,524,44,463,21,244,137,22,23441,1678,178,66.08,0,0,0,0,0,0,0,0,0,0,0,0,0,26,10
2019-05-13,3625,196,15,198,9,93,72,16,10134,626,167,62.13000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2
2019-05-14,2216,119,12,109,5,68,54,6,5947,331,161,59.64,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2
2019-05-15,1842,93,4,94,5,47,27,9,4949,278,161,59.709999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2
2019-05-16,1250,62,4,49,3,41,25,5,3598,189,172,63.97999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2019-05-17,1378,55,4,60,3,28,25,5,3851,167,167,62.11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2019-05-18,1045,44,5,43,2,30,14,4,2875,141,165,61.14000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-05-19,987,63,1,36,0,16,16,3,2802,197,170,63.1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2019-05-20,752,36,2,41,0,14,17,0,2154,96,171,63.65,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2019-05-21,637,36,1,29,0,19,9,1,1754,111,165,61.199999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2019-05-22,639,44,1,26,0,18,15,2,1810,123,169,62.96000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-23,420,22,4,19,0,12,14,0,1135,60,162,60.06,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-05-24,281,19,0,15,0,8,9,1,800,58,170,63.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-25,252,15,0,11,1,6,10,2,763,38,181,67.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
