videoID,day,likes
qU0bcxJO368,2019-05-11,1485
qU0bcxJO368,2019-05-12,463
qU0bcxJO368,2019-05-13,198
qU0bcxJO368,2019-05-14,109
qU0bcxJO368,2019-05-15,94
qU0bcxJO368,2019-05-16,49
qU0bcxJO368,2019-05-17,60
qU0bcxJO368,2019-05-18,43
qU0bcxJO368,2019-05-19,36
qU0bcxJO368,2019-05-20,41
qU0bcxJO368,2019-05-21,29
qU0bcxJO368,2019-05-22,26
qU0bcxJO368,2019-05-23,19
qU0bcxJO368,2019-05-24,15
qU0bcxJO368,2019-05-25,11
qU0bcxJO368,2019-05-26,14
qU0bcxJO368,2019-05-27,16
qU0bcxJO368,2019-05-28,12
qU0bcxJO368,2019-05-29,9
qU0bcxJO368,2019-05-30,6
qU0bcxJO368,2019-05-31,7
qU0bcxJO368,2019-06-01,15
qU0bcxJO368,2019-06-02,7
qU0bcxJO368,2019-06-03,5
qU0bcxJO368,2019-06-04,4
qU0bcxJO368,2019-06-05,9
qU0bcxJO368,2019-06-06,5
qU0bcxJO368,2019-06-07,6
qU0bcxJO368,2019-06-08,10
qU0bcxJO368,2019-06-09,9
qU0bcxJO368,2019-06-10,5
qU0bcxJO368,2019-06-11,6
qU0bcxJO368,2019-06-12,3
qU0bcxJO368,2019-06-13,3
qU0bcxJO368,2019-06-14,1
qU0bcxJO368,2019-06-15,5
qU0bcxJO368,2019-06-16,3
qU0bcxJO368,2019-06-17,3
qU0bcxJO368,2019-06-18,3
qU0bcxJO368,2019-06-19,1
qU0bcxJO368,2019-06-20,1
qU0bcxJO368,2019-06-21,3
qU0bcxJO368,2019-06-22,3
qU0bcxJO368,2019-06-23,3
qU0bcxJO368,2019-06-24,3
qU0bcxJO368,2019-06-25,1
qU0bcxJO368,2019-06-26,2
qU0bcxJO368,2019-06-27,1
qU0bcxJO368,2019-06-28,4
qU0bcxJO368,2019-06-29,3
qU0bcxJO368,2019-06-30,3
qU0bcxJO368,2019-07-01,0
qU0bcxJO368,2019-07-02,4
qU0bcxJO368,2019-07-03,4
qU0bcxJO368,2019-07-04,3
qU0bcxJO368,2019-07-05,3
qU0bcxJO368,2019-07-06,2
qU0bcxJO368,2019-07-07,3
qU0bcxJO368,2019-07-08,2
qU0bcxJO368,2019-07-09,1
qU0bcxJO368,2019-07-10,4
qU0bcxJO368,2019-07-11,0
qU0bcxJO368,2019-07-12,1
qU0bcxJO368,2019-07-13,4
qU0bcxJO368,2019-07-14,3
qU0bcxJO368,2019-07-15,3
qU0bcxJO368,2019-07-16,2
qU0bcxJO368,2019-07-17,7
qU0bcxJO368,2019-07-18,2
qU0bcxJO368,2019-07-19,8
qU0bcxJO368,2019-07-20,5
qU0bcxJO368,2019-07-21,1
qU0bcxJO368,2019-07-22,5
qU0bcxJO368,2019-07-23,4
qU0bcxJO368,2019-07-24,3
qU0bcxJO368,2019-07-25,5
qU0bcxJO368,2019-07-26,3
qU0bcxJO368,2019-07-27,0
qU0bcxJO368,2019-07-28,2
qU0bcxJO368,2019-07-29,4
qU0bcxJO368,2019-07-30,5
qU0bcxJO368,2019-07-31,4
qU0bcxJO368,2019-08-01,10
qU0bcxJO368,2019-08-02,5
qU0bcxJO368,2019-08-03,5
qU0bcxJO368,2019-08-04,9
qU0bcxJO368,2019-08-05,1
qU0bcxJO368,2019-08-06,6
qU0bcxJO368,2019-08-07,3
qU0bcxJO368,2019-08-08,5
qU0bcxJO368,2019-08-09,6
qU0bcxJO368,2019-08-10,5
qU0bcxJO368,2019-08-11,5
qU0bcxJO368,2019-08-12,4
qU0bcxJO368,2019-08-13,3
qU0bcxJO368,2019-08-14,4
qU0bcxJO368,2019-08-15,4
qU0bcxJO368,2019-08-16,3
qU0bcxJO368,2019-08-17,4
qU0bcxJO368,2019-08-18,4
qU0bcxJO368,2019-08-19,2
qU0bcxJO368,2019-08-20,2
qU0bcxJO368,2019-08-21,3
qU0bcxJO368,2019-08-22,1
qU0bcxJO368,2019-08-23,1
qU0bcxJO368,2019-08-24,3
qU0bcxJO368,2019-08-25,2
qU0bcxJO368,2019-08-26,4
qU0bcxJO368,2019-08-27,0
qU0bcxJO368,2019-08-28,6
qU0bcxJO368,2019-08-29,5
qU0bcxJO368,2019-08-30,2
qU0bcxJO368,2019-08-31,6
qU0bcxJO368,2019-09-01,2
qU0bcxJO368,2019-09-02,1
qU0bcxJO368,2019-09-03,0
qU0bcxJO368,2019-09-04,3
qU0bcxJO368,2019-09-05,2
qU0bcxJO368,2019-09-06,1
qU0bcxJO368,2019-09-07,3
qU0bcxJO368,2019-09-08,3
qU0bcxJO368,2019-09-09,1
qU0bcxJO368,2019-09-10,4
qU0bcxJO368,2019-09-11,2
qU0bcxJO368,2019-09-12,4
qU0bcxJO368,2019-09-13,1
qU0bcxJO368,2019-09-14,5
qU0bcxJO368,2019-09-15,3
qU0bcxJO368,2019-09-16,3
qU0bcxJO368,2019-09-17,1
qU0bcxJO368,2019-09-18,2
qU0bcxJO368,2019-09-19,2
qU0bcxJO368,2019-09-20,2
qU0bcxJO368,2019-09-21,1
qU0bcxJO368,2019-09-22,2
qU0bcxJO368,2019-09-23,0
qU0bcxJO368,2019-09-24,2
qU0bcxJO368,2019-09-25,7
qU0bcxJO368,2019-09-26,4
qU0bcxJO368,2019-09-27,3
qU0bcxJO368,2019-09-28,2
qU0bcxJO368,2019-09-29,3
qU0bcxJO368,2019-09-30,4
qU0bcxJO368,2019-10-01,5
qU0bcxJO368,2019-10-02,8
qU0bcxJO368,2019-10-03,1
qU0bcxJO368,2019-10-04,3
qU0bcxJO368,2019-10-05,1
qU0bcxJO368,2019-10-06,7
qU0bcxJO368,2019-10-07,4
qU0bcxJO368,2019-10-08,2
qU0bcxJO368,2019-10-09,2
qU0bcxJO368,2019-10-10,6
qU0bcxJO368,2019-10-11,2
qU0bcxJO368,2019-10-12,2
qU0bcxJO368,2019-10-13,1
qU0bcxJO368,2019-10-14,1
qU0bcxJO368,2019-10-15,0
qU0bcxJO368,2019-10-16,1
qU0bcxJO368,2019-10-17,1
qU0bcxJO368,2019-10-18,1
qU0bcxJO368,2019-10-19,3
qU0bcxJO368,2019-10-20,5
qU0bcxJO368,2019-10-21,1
qU0bcxJO368,2019-10-22,1
qU0bcxJO368,2019-10-23,1
qU0bcxJO368,2019-10-24,2
qU0bcxJO368,2019-10-25,3
qU0bcxJO368,2019-10-26,0
qU0bcxJO368,2019-10-27,0
qU0bcxJO368,2019-10-28,4
qU0bcxJO368,2019-10-29,0
qU0bcxJO368,2019-10-30,2
qU0bcxJO368,2019-10-31,1
qU0bcxJO368,2019-11-01,2
qU0bcxJO368,2019-11-02,0
qU0bcxJO368,2019-11-03,2
qU0bcxJO368,2019-11-04,2
qU0bcxJO368,2019-11-05,3
qU0bcxJO368,2019-11-06,2
qU0bcxJO368,2019-11-07,1
qU0bcxJO368,2019-11-08,3
qU0bcxJO368,2019-11-09,0
qU0bcxJO368,2019-11-10,3
qU0bcxJO368,2019-11-11,2
qU0bcxJO368,2019-11-12,-1
