day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-12-22,34227,5946,67,2292,32,2905,474,101,238698,45729,418,53.239999999999995,0,0,0,0,0,0,0,0.1826,0.0062,230,13487,42,84,33,24
2021-12-23,37493,6490,61,2109,26,1437,512,73,272473,51373,436,55.48,0,0,0,0,0,0,0,0.2087,0.005600000000000001,254,16023,53,89,35,14
2021-12-24,25465,4126,35,1271,-7,930,280,68,175437,31587,413,52.59,0,0,0,0,0,0,0,0.1753,0.0075,194,9728,34,73,47,6
2021-12-25,32417,5408,34,1547,23,1273,296,54,213592,38378,395,50.3,0,0,0,0,0,0,0,0.1868,0.005600000000000001,182,11700,34,65,76,10
2021-12-26,50131,8459,55,2117,25,1625,338,101,344207,62774,411,52.410000000000004,0,0,0,0,0,0,0,0.1963,0.0039000000000000003,214,18660,42,72,181,13
2021-12-27,39122,6018,37,1539,26,1169,336,67,260873,44361,400,50.9,0,0,0,0,0,0,0,0.1386,0.0046,166,13129,23,60,127,9
2021-12-28,48513,7378,42,1551,34,1458,338,65,307985,51239,380,48.46,0,0,0,0,0,0,0,0.2086,0.004,187,16903,39,67,184,10
2021-12-29,30573,4269,31,1044,23,924,300,52,178645,29580,350,44.61,0,0,0,0,0,0,0,0.2091,0.0037,110,9573,23,35,118,7
2021-12-30,21046,2823,18,693,16,576,228,26,128062,19176,365,46.45,0,0,0,0,0,0,0,0.1744,0.005,86,6351,15,32,98,5
2021-12-31,13669,1595,16,398,7,367,154,21,78359,10851,343,43.76,0,0,0,0,0,0,0,0.16670000000000001,0.0034999999999999996,36,3742,6,13,47,5
