videoID,day,likes
q_QXafM3Sk0,2021-12-22,2292
q_QXafM3Sk0,2021-12-23,2109
q_QXafM3Sk0,2021-12-24,1271
q_QXafM3Sk0,2021-12-25,1547
q_QXafM3Sk0,2021-12-26,2117
q_QXafM3Sk0,2021-12-27,1539
q_QXafM3Sk0,2021-12-28,1551
q_QXafM3Sk0,2021-12-29,1044
q_QXafM3Sk0,2021-12-30,693
q_QXafM3Sk0,2021-12-31,398
q_QXafM3Sk0,2022-01-01,392
q_QXafM3Sk0,2022-01-02,356
q_QXafM3Sk0,2022-01-03,243
q_QXafM3Sk0,2022-01-04,193
q_QXafM3Sk0,2022-01-05,123
q_QXafM3Sk0,2022-01-06,116
q_QXafM3Sk0,2022-01-07,81
q_QXafM3Sk0,2022-01-08,55
q_QXafM3Sk0,2022-01-09,39
q_QXafM3Sk0,2022-01-10,52
q_QXafM3Sk0,2022-01-11,43
q_QXafM3Sk0,2022-01-12,44
q_QXafM3Sk0,2022-01-13,31
q_QXafM3Sk0,2022-01-14,26
q_QXafM3Sk0,2022-01-15,36
q_QXafM3Sk0,2022-01-16,37
q_QXafM3Sk0,2022-01-17,39
q_QXafM3Sk0,2022-01-18,34
q_QXafM3Sk0,2022-01-19,36
q_QXafM3Sk0,2022-01-20,32
q_QXafM3Sk0,2022-01-21,20
q_QXafM3Sk0,2022-01-22,63
q_QXafM3Sk0,2022-01-23,53
q_QXafM3Sk0,2022-01-24,71
q_QXafM3Sk0,2022-01-25,73
q_QXafM3Sk0,2022-01-26,47
q_QXafM3Sk0,2022-01-27,78
q_QXafM3Sk0,2022-01-28,60
q_QXafM3Sk0,2022-01-29,69
q_QXafM3Sk0,2022-01-30,65
q_QXafM3Sk0,2022-01-31,27
q_QXafM3Sk0,2022-02-01,19
q_QXafM3Sk0,2022-02-02,17
q_QXafM3Sk0,2022-02-03,26
q_QXafM3Sk0,2022-02-04,11
q_QXafM3Sk0,2022-02-05,19
q_QXafM3Sk0,2022-02-06,20
q_QXafM3Sk0,2022-02-07,13
q_QXafM3Sk0,2022-02-08,21
q_QXafM3Sk0,2022-02-09,17
q_QXafM3Sk0,2022-02-10,17
q_QXafM3Sk0,2022-02-11,20
q_QXafM3Sk0,2022-02-12,18
q_QXafM3Sk0,2022-02-13,22
q_QXafM3Sk0,2022-02-14,21
q_QXafM3Sk0,2022-02-15,22
q_QXafM3Sk0,2022-02-16,17
q_QXafM3Sk0,2022-02-17,10
q_QXafM3Sk0,2022-02-18,16
q_QXafM3Sk0,2022-02-19,9
q_QXafM3Sk0,2022-02-20,15
q_QXafM3Sk0,2022-02-21,25
q_QXafM3Sk0,2022-02-22,46
q_QXafM3Sk0,2022-02-23,33
q_QXafM3Sk0,2022-02-24,24
q_QXafM3Sk0,2022-02-25,31
q_QXafM3Sk0,2022-02-26,41
q_QXafM3Sk0,2022-02-27,39
q_QXafM3Sk0,2022-02-28,33
q_QXafM3Sk0,2022-03-01,10
q_QXafM3Sk0,2022-03-02,24
q_QXafM3Sk0,2022-03-03,22
q_QXafM3Sk0,2022-03-04,23
q_QXafM3Sk0,2022-03-05,17
q_QXafM3Sk0,2022-03-06,12
q_QXafM3Sk0,2022-03-07,22
q_QXafM3Sk0,2022-03-08,17
q_QXafM3Sk0,2022-03-09,31
q_QXafM3Sk0,2022-03-10,32
q_QXafM3Sk0,2022-03-11,18
q_QXafM3Sk0,2022-03-12,44
q_QXafM3Sk0,2022-03-13,35
q_QXafM3Sk0,2022-03-14,32
