day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-01-29,110463,12848,288,5123,64,4766,566,295,774726,101267,420,56.03,0,0,0,0,0,0,0,0.3503,0.045700000000000005,1530,23070,536,1054,491,24
2021-01-30,249543,24293,394,6209,159,7027,1284,514,1467045,166208,352,46.97,0,0,0,0,0,0,0,0.3372,0.0364,1794,35213,605,1283,1625,31
2021-01-31,197300,20004,314,4257,128,5623,1091,432,1086532,127982,330,44.0,0,0,0,0,0,0,0,0.3169,0.0346,1300,26883,412,930,1535,27
2021-02-01,142935,14963,229,3132,94,4516,1016,305,806058,96735,338,45.05,0,0,0,0,0,0,0,0.3344,0.0311,957,21144,320,657,1266,19
2021-02-02,104362,11163,159,2474,75,3786,857,208,586422,69343,337,44.89,0,0,0,0,0,0,0,0.3104,0.0356,828,16276,257,580,1078,17
2021-02-03,65804,7043,87,1568,45,2471,680,159,377141,45269,343,45.79,0,0,0,0,0,0,0,0.2955,0.0308,440,10534,130,324,687,12
2021-02-04,48357,5012,68,1151,30,1750,545,135,281449,31826,349,46.5,0,0,0,0,0,0,0,0.3161,0.0336,367,7779,116,261,463,6
2021-02-05,20037,1913,39,456,23,757,363,81,114392,11685,342,45.61,0,0,0,0,0,0,0,0.3312,0.036000000000000004,154,3137,51,113,181,3
2021-02-06,13206,1221,21,323,11,495,296,42,75646,7809,343,45.76,0,0,0,0,0,0,0,0.31170000000000003,0.027999999999999997,77,2036,24,57,101,2
2021-02-07,10245,974,16,229,5,374,318,38,60282,6774,353,47.01,0,0,0,0,0,0,0,0.34409999999999996,0.039900000000000005,93,1679,32,67,95,5
2021-02-08,6258,634,12,150,2,237,238,31,37662,4302,361,48.08,0,0,0,0,0,0,0,0.2667,0.0297,45,1077,12,32,54,2
2021-02-09,4599,465,6,112,3,154,175,14,27917,3044,364,48.5,0,0,0,0,0,0,0,0.3333,0.0388,45,747,15,29,38,2
2021-02-10,3903,438,5,106,2,122,175,17,25184,3045,387,51.55,0,0,0,0,0,0,0,0.36210000000000003,0.050199999999999995,58,757,21,38,39,2
2021-02-11,2755,306,2,75,0,85,141,12,16990,2152,370,49.27,0,0,0,0,0,0,0,0.4,0.0452,25,442,10,20,23,2
2021-02-12,2144,246,6,62,1,97,129,8,13393,1525,374,49.91,0,0,0,0,0,0,0,0.3,0.0318,20,409,6,13,27,4
2021-02-13,2364,285,3,61,1,60,106,10,14758,1903,374,49.88,0,0,0,0,0,0,0,0.23079999999999998,0.0496,26,403,6,20,21,5
2021-02-14,2529,306,5,65,0,71,110,2,16072,2131,381,50.78,0,0,0,0,0,0,0,0.4,0.0384,25,469,10,18,18,3
2021-02-15,2532,280,5,63,3,90,122,3,16076,1998,380,50.73,0,0,0,0,0,0,0,0.3077,0.0587,39,494,12,29,25,3
2021-02-16,2447,308,3,76,1,82,85,8,15731,2160,385,51.35999999999999,0,0,0,0,0,0,0,0.3542,0.0626,48,511,17,32,24,0
2021-02-17,2970,410,5,53,1,90,95,14,18571,2675,375,49.96,0,0,0,0,0,0,0,0.3333,0.047,39,575,13,27,19,1
2021-02-18,3012,343,2,57,1,97,92,9,17691,2155,352,46.93,0,0,0,0,0,0,0,0.39130000000000004,0.0269,23,520,9,14,21,1
2021-02-19,4060,532,6,100,4,148,96,19,23682,3394,349,46.6,0,0,0,0,0,0,0,0.39390000000000003,0.029300000000000003,33,717,13,21,46,0
2021-02-20,3898,483,6,81,2,138,92,8,23258,3155,358,47.67,0,0,0,0,0,0,0,0.3043,0.0265,23,642,7,17,34,0
2021-02-21,4904,631,14,94,5,152,101,11,27887,4003,341,45.43,0,0,0,0,0,0,0,0.3265,0.0416,49,793,16,33,38,0
2021-02-22,4135,527,2,65,4,136,83,13,24231,3170,351,46.82,0,0,0,0,0,0,0,0.3871,0.0316,31,729,12,23,29,1
2021-02-23,5519,695,6,108,2,178,88,13,32053,4226,348,46.4,0,0,0,0,0,0,0,0.5115999999999999,0.0322,43,995,22,32,34,2
2021-02-24,6876,823,14,127,1,226,73,12,37178,4808,324,43.2,0,0,0,0,0,0,0,0.5507,0.042199999999999994,69,1137,38,48,62,0
2021-02-25,8099,890,11,123,4,258,115,19,42556,5095,315,41.98,0,0,0,0,0,0,0,0.5128,0.0388,78,1313,40,51,59,1
2021-02-26,7295,893,9,98,5,234,84,5,37089,5064,305,40.62,0,0,0,0,0,0,0,0.62,0.0344,50,1106,31,38,47,2
2021-02-27,8153,968,14,112,6,219,74,10,40550,5134,298,39.74,0,0,0,0,0,0,0,0.5357,0.032799999999999996,56,1221,30,40,63,1
2021-02-28,8617,996,21,119,3,259,92,10,41855,5436,291,38.81,0,0,0,0,0,0,0,0.5645,0.0339,62,1239,35,42,65,2
2021-03-01,8838,1036,9,146,2,291,112,1,42032,5358,285,38.0,0,0,0,0,0,0,0,0.5385,0.0294,52,1327,28,39,59,0
2021-03-02,7359,832,4,124,2,223,95,8,35290,4482,287,38.31,0,0,0,0,0,0,0,0.5893,0.0401,56,1097,33,44,55,2
2021-03-03,5625,667,8,79,3,196,79,3,26765,3499,285,38.02,0,0,0,0,0,0,0,0.5455,0.0329,44,851,24,28,61,1
2021-03-04,5973,724,10,105,3,221,87,3,29603,4135,297,39.6,0,0,0,0,0,0,0,0.6,0.0334,45,957,27,32,48,0
2021-03-05,3927,452,4,59,8,150,84,7,19574,2394,299,39.82,0,0,0,0,0,0,0,0.561,0.045899999999999996,41,632,23,29,33,1
2021-03-06,4089,441,9,63,4,108,55,3,19981,2378,293,39.04,0,0,0,0,0,0,0,0.5161,0.0311,31,611,16,19,31,0
2021-03-07,3560,425,11,61,1,97,90,6,18345,2355,309,41.17,0,0,0,0,0,0,0,0.5333,0.0385,30,597,16,23,30,0
2021-03-08,3408,374,2,53,2,99,65,5,17112,2006,301,40.12,0,0,0,0,0,0,0,0.6215999999999999,0.0512,37,547,23,28,34,3
2021-03-09,2481,303,1,46,3,87,58,3,12900,1686,311,41.54,0,0,0,0,0,0,0,0.6087,0.0412,23,413,14,17,24,0
2021-03-10,1740,212,2,28,0,74,55,1,10039,1316,346,46.1,0,0,0,0,0,0,0,0.4286,0.0482,21,332,9,16,14,0
2021-03-11,1581,185,3,45,0,49,71,6,9679,1034,367,48.92,0,0,0,0,0,0,0,0.6087,0.0625,23,336,14,21,15,0
2021-03-12,1253,125,3,30,0,45,52,5,7492,753,358,47.77,0,0,0,0,0,0,0,0.5,0.0359,12,223,6,8,13,0
2021-03-13,1240,155,2,30,0,41,66,2,7736,1111,374,49.85,0,0,0,0,0,0,0,0.6315999999999999,0.0739,19,230,12,17,9,0
2021-03-14,1190,121,2,28,0,32,43,2,7431,899,374,49.89,0,0,0,0,0,0,0,0.6,0.013999999999999999,5,215,3,3,12,1
2021-03-15,1095,128,1,22,1,30,47,3,6818,837,373,49.75,0,0,0,0,0,0,0,0.6429,0.049800000000000004,14,221,9,11,9,1
2021-03-16,1012,127,2,22,0,35,39,8,6382,836,378,50.39,0,0,0,0,0,0,0,0.7273000000000001,0.0583,11,206,8,12,14,0
2021-03-17,963,86,0,22,2,37,50,7,6135,577,382,50.9,0,0,0,0,0,0,0,0.6,0.0326,10,215,6,7,4,0
2021-03-18,897,100,1,19,1,26,42,9,5287,607,353,47.1,0,0,0,0,0,0,0,0.6,0.0189,5,159,3,3,9,0
2021-03-19,912,80,1,21,0,19,38,3,5296,530,348,46.4,0,0,0,0,0,0,0,0.6,0.0183,5,164,3,3,10,0
2021-03-20,968,91,1,21,0,31,48,2,6002,556,372,49.54,0,0,0,0,0,0,0,0.6667000000000001,0.0432,12,185,8,8,11,0
2021-03-21,847,84,0,17,1,20,44,3,5382,625,381,50.77,0,0,0,0,0,0,0,0.5714,0.0556,14,180,8,10,7,0
2021-03-22,596,69,1,8,0,20,39,0,3913,502,394,52.459999999999994,0,0,0,0,0,0,0,0.6667000000000001,0.053,9,132,6,7,3,1
2021-03-23,683,65,0,16,1,13,46,7,4175,445,366,48.85,0,0,0,0,0,0,0,0.6087,0.11359999999999999,23,132,14,15,12,0
2021-03-24,666,84,1,19,0,24,34,2,4309,594,388,51.690000000000005,0,0,0,0,0,0,0,0.375,0.031,8,129,3,4,5,0
2021-03-25,685,65,1,20,1,17,26,0,4475,497,391,52.2,0,0,0,0,0,0,0,0.6,0.020499999999999997,5,146,3,3,4,0
2021-03-26,574,68,0,12,0,10,21,3,3828,422,400,53.28000000000001,0,0,0,0,0,0,0,0.4,0.0397,5,126,2,5,3,0
2021-03-27,684,78,0,11,0,19,39,1,4655,570,408,54.37,0,0,0,0,0,0,0,0.5832999999999999,0.0733,12,150,7,11,4,0
2021-03-28,673,68,0,8,0,16,33,3,4577,475,408,54.339999999999996,0,0,0,0,0,0,0,0.5385,0.0791,13,139,7,11,1,0
2021-03-29,569,68,0,12,3,20,32,1,3830,470,403,53.78000000000001,0,0,0,0,0,0,0,0.5,0.0859,16,128,8,11,3,0
2021-03-30,423,41,0,13,0,14,38,2,2780,295,394,52.51,0,0,0,0,0,0,0,0.4,0.0323,5,93,2,3,3,0
2021-03-31,429,56,6,5,1,13,23,1,2985,437,417,55.61000000000001,0,0,0,0,0,0,0,0.4667,0.0928,15,97,7,9,3,0
2021-04-01,434,48,0,12,1,12,28,3,2769,320,382,50.99,0,0,0,0,0,0,0,0.4286,0.0625,7,80,3,5,2,0
2021-04-02,356,37,0,13,0,9,29,2,2387,340,402,53.59,0,0,0,0,0,0,0,0.6667000000000001,0.0735,6,68,4,5,5,0
2021-04-03,383,38,0,9,0,10,25,4,2693,264,421,56.19,0,0,0,0,0,0,0,0.44439999999999996,0.08789999999999999,9,91,4,8,1,0
2021-04-04,312,45,0,8,0,11,31,0,2210,402,425,56.60000000000001,0,0,0,0,0,0,0,0.4,0.0323,5,62,2,2,5,0
2021-04-05,312,27,0,5,0,11,35,1,2388,211,459,61.17,0,0,0,0,0,0,0,0.8,0.0405,5,74,4,3,0,0
2021-04-06,307,27,1,10,0,7,33,0,2247,171,439,58.489999999999995,0,0,0,0,0,0,0,0.625,0.075,8,80,5,6,4,0
2021-04-07,283,29,1,8,0,4,29,1,1993,194,422,56.269999999999996,0,0,0,0,0,0,0,0.44439999999999996,0.0806,9,62,4,5,1,0
2021-04-08,265,33,0,8,0,11,17,2,2025,285,458,61.06,0,0,0,0,0,0,0,0.5,0.059699999999999996,6,67,3,4,3,0
2021-04-09,235,32,0,4,0,6,20,4,1764,249,450,59.99,0,0,0,0,0,0,0,0.5714,0.09230000000000001,7,65,4,6,5,0
2021-04-10,478,66,1,10,0,14,30,1,3250,505,408,54.33,0,0,0,0,0,0,0,0.5556,0.0455,9,110,5,5,3,0
2021-04-11,565,55,0,18,0,12,24,4,4026,497,427,56.940000000000005,0,0,0,0,0,0,0,0.5385,0.0593,13,135,7,8,7,0
2021-04-12,509,59,0,10,0,18,40,0,3746,451,441,58.81000000000001,0,0,0,0,0,0,0,0.75,0.035699999999999996,4,112,3,4,3,0
2021-04-13,522,62,0,12,0,23,27,1,3621,483,416,55.43,0,0,0,0,0,0,0,0.4286,0.0354,7,113,3,4,7,0
2021-04-14,464,51,0,15,0,10,24,0,3205,416,414,55.2,0,0,0,0,0,0,0,0.3333,0.0707,9,99,3,7,7,0
2021-04-15,550,64,1,29,0,32,23,1,3977,521,433,57.78,0,0,0,0,0,0,0,0.5832999999999999,0.0672,12,119,7,8,3,0
2021-04-16,453,68,2,11,0,19,25,2,3184,521,421,56.169999999999995,0,0,0,0,0,0,0,0.44439999999999996,0.0707,9,99,4,7,3,0
