videoID,day,likes
qa9_21TNt2g,2021-01-29,5123
qa9_21TNt2g,2021-01-30,6209
qa9_21TNt2g,2021-01-31,4257
qa9_21TNt2g,2021-02-01,3132
qa9_21TNt2g,2021-02-02,2474
qa9_21TNt2g,2021-02-03,1568
qa9_21TNt2g,2021-02-04,1151
qa9_21TNt2g,2021-02-05,456
qa9_21TNt2g,2021-02-06,323
qa9_21TNt2g,2021-02-07,229
qa9_21TNt2g,2021-02-08,150
qa9_21TNt2g,2021-02-09,112
qa9_21TNt2g,2021-02-10,106
qa9_21TNt2g,2021-02-11,75
qa9_21TNt2g,2021-02-12,62
qa9_21TNt2g,2021-02-13,61
qa9_21TNt2g,2021-02-14,65
qa9_21TNt2g,2021-02-15,63
qa9_21TNt2g,2021-02-16,76
qa9_21TNt2g,2021-02-17,53
qa9_21TNt2g,2021-02-18,57
qa9_21TNt2g,2021-02-19,100
qa9_21TNt2g,2021-02-20,81
qa9_21TNt2g,2021-02-21,94
qa9_21TNt2g,2021-02-22,65
qa9_21TNt2g,2021-02-23,108
qa9_21TNt2g,2021-02-24,127
qa9_21TNt2g,2021-02-25,123
qa9_21TNt2g,2021-02-26,98
qa9_21TNt2g,2021-02-27,112
qa9_21TNt2g,2021-02-28,119
qa9_21TNt2g,2021-03-01,146
qa9_21TNt2g,2021-03-02,124
qa9_21TNt2g,2021-03-03,79
qa9_21TNt2g,2021-03-04,105
qa9_21TNt2g,2021-03-05,59
qa9_21TNt2g,2021-03-06,63
qa9_21TNt2g,2021-03-07,61
qa9_21TNt2g,2021-03-08,53
qa9_21TNt2g,2021-03-09,46
qa9_21TNt2g,2021-03-10,28
qa9_21TNt2g,2021-03-11,45
qa9_21TNt2g,2021-03-12,30
qa9_21TNt2g,2021-03-13,30
qa9_21TNt2g,2021-03-14,28
qa9_21TNt2g,2021-03-15,22
qa9_21TNt2g,2021-03-16,22
qa9_21TNt2g,2021-03-17,22
qa9_21TNt2g,2021-03-18,19
qa9_21TNt2g,2021-03-19,21
qa9_21TNt2g,2021-03-20,21
qa9_21TNt2g,2021-03-21,17
qa9_21TNt2g,2021-03-22,8
qa9_21TNt2g,2021-03-23,16
qa9_21TNt2g,2021-03-24,19
qa9_21TNt2g,2021-03-25,20
qa9_21TNt2g,2021-03-26,12
qa9_21TNt2g,2021-03-27,11
qa9_21TNt2g,2021-03-28,8
qa9_21TNt2g,2021-03-29,12
qa9_21TNt2g,2021-03-30,13
qa9_21TNt2g,2021-03-31,5
qa9_21TNt2g,2021-04-01,12
qa9_21TNt2g,2021-04-02,13
qa9_21TNt2g,2021-04-03,9
qa9_21TNt2g,2021-04-04,8
qa9_21TNt2g,2021-04-05,5
qa9_21TNt2g,2021-04-06,10
qa9_21TNt2g,2021-04-07,8
qa9_21TNt2g,2021-04-08,8
qa9_21TNt2g,2021-04-09,4
qa9_21TNt2g,2021-04-10,10
qa9_21TNt2g,2021-04-11,18
qa9_21TNt2g,2021-04-12,10
qa9_21TNt2g,2021-04-13,12
qa9_21TNt2g,2021-04-14,15
qa9_21TNt2g,2021-04-15,29
qa9_21TNt2g,2021-04-16,11
qa9_21TNt2g,2021-04-17,16
qa9_21TNt2g,2021-04-18,17
qa9_21TNt2g,2021-04-19,7
qa9_21TNt2g,2021-04-20,16
qa9_21TNt2g,2021-04-21,17
qa9_21TNt2g,2021-04-22,26
qa9_21TNt2g,2021-04-23,20
qa9_21TNt2g,2021-04-24,26
qa9_21TNt2g,2021-04-25,13
qa9_21TNt2g,2021-04-26,17
qa9_21TNt2g,2021-04-27,9
qa9_21TNt2g,2021-04-28,21
qa9_21TNt2g,2021-04-29,32
qa9_21TNt2g,2021-04-30,19
qa9_21TNt2g,2021-05-01,14
qa9_21TNt2g,2021-05-02,14
qa9_21TNt2g,2021-05-03,18
qa9_21TNt2g,2021-05-04,32
qa9_21TNt2g,2021-05-05,13
qa9_21TNt2g,2021-05-06,9
qa9_21TNt2g,2021-05-07,22
qa9_21TNt2g,2021-05-08,15
qa9_21TNt2g,2021-05-09,14
qa9_21TNt2g,2021-05-10,15
qa9_21TNt2g,2021-05-11,16
qa9_21TNt2g,2021-05-12,22
qa9_21TNt2g,2021-05-13,21
qa9_21TNt2g,2021-05-14,16
qa9_21TNt2g,2021-05-15,16
qa9_21TNt2g,2021-05-16,24
qa9_21TNt2g,2021-05-17,32
qa9_21TNt2g,2021-05-18,26
qa9_21TNt2g,2021-05-19,21
qa9_21TNt2g,2021-05-20,39
qa9_21TNt2g,2021-05-21,12
qa9_21TNt2g,2021-05-22,24
qa9_21TNt2g,2021-05-23,13
qa9_21TNt2g,2021-05-24,14
qa9_21TNt2g,2021-05-25,29
qa9_21TNt2g,2021-05-26,30
qa9_21TNt2g,2021-05-27,20
qa9_21TNt2g,2021-05-28,27
qa9_21TNt2g,2021-05-29,21
qa9_21TNt2g,2021-05-30,31
qa9_21TNt2g,2021-05-31,29
qa9_21TNt2g,2021-06-01,22
qa9_21TNt2g,2021-06-02,33
qa9_21TNt2g,2021-06-03,25
qa9_21TNt2g,2021-06-04,23
qa9_21TNt2g,2021-06-05,19
qa9_21TNt2g,2021-06-06,15
qa9_21TNt2g,2021-06-07,11
qa9_21TNt2g,2021-06-08,14
qa9_21TNt2g,2021-06-09,20
qa9_21TNt2g,2021-06-10,18
qa9_21TNt2g,2021-06-11,12
qa9_21TNt2g,2021-06-12,7
qa9_21TNt2g,2021-06-13,8
qa9_21TNt2g,2021-06-14,18
qa9_21TNt2g,2021-06-15,16
qa9_21TNt2g,2021-06-16,15
qa9_21TNt2g,2021-06-17,15
qa9_21TNt2g,2021-06-18,11
qa9_21TNt2g,2021-06-19,12
qa9_21TNt2g,2021-06-20,13
qa9_21TNt2g,2021-06-21,19
qa9_21TNt2g,2021-06-22,16
qa9_21TNt2g,2021-06-23,17
qa9_21TNt2g,2021-06-24,18
qa9_21TNt2g,2021-06-25,19
qa9_21TNt2g,2021-06-26,8
qa9_21TNt2g,2021-06-27,16
qa9_21TNt2g,2021-06-28,20
qa9_21TNt2g,2021-06-29,12
qa9_21TNt2g,2021-06-30,13
qa9_21TNt2g,2021-07-01,13
qa9_21TNt2g,2021-07-02,15
qa9_21TNt2g,2021-07-03,34
qa9_21TNt2g,2021-07-04,23
qa9_21TNt2g,2021-07-05,22
qa9_21TNt2g,2021-07-06,19
qa9_21TNt2g,2021-07-07,18
qa9_21TNt2g,2021-07-08,17
qa9_21TNt2g,2021-07-09,24
qa9_21TNt2g,2021-07-10,6
qa9_21TNt2g,2021-07-11,21
qa9_21TNt2g,2021-07-12,43
qa9_21TNt2g,2021-07-13,23
qa9_21TNt2g,2021-07-14,33
qa9_21TNt2g,2021-07-15,36
qa9_21TNt2g,2021-07-16,40
qa9_21TNt2g,2021-07-17,58
qa9_21TNt2g,2021-07-18,65
qa9_21TNt2g,2021-07-19,60
qa9_21TNt2g,2021-07-20,66
qa9_21TNt2g,2021-07-21,67
qa9_21TNt2g,2021-07-22,74
qa9_21TNt2g,2021-07-23,60
qa9_21TNt2g,2021-07-24,55
qa9_21TNt2g,2021-07-25,57
qa9_21TNt2g,2021-07-26,51
qa9_21TNt2g,2021-07-27,83
qa9_21TNt2g,2021-07-28,83
qa9_21TNt2g,2021-07-29,104
qa9_21TNt2g,2021-07-30,68
qa9_21TNt2g,2021-07-31,43
qa9_21TNt2g,2021-08-01,63
qa9_21TNt2g,2021-08-02,62
qa9_21TNt2g,2021-08-03,43
qa9_21TNt2g,2021-08-04,39
qa9_21TNt2g,2021-08-05,34
qa9_21TNt2g,2021-08-06,23
qa9_21TNt2g,2021-08-07,25
qa9_21TNt2g,2021-08-08,26
qa9_21TNt2g,2021-08-09,28
qa9_21TNt2g,2021-08-10,22
qa9_21TNt2g,2021-08-11,16
qa9_21TNt2g,2021-08-12,13
qa9_21TNt2g,2021-08-13,13
qa9_21TNt2g,2021-08-14,5
qa9_21TNt2g,2021-08-15,7
qa9_21TNt2g,2021-08-16,12
qa9_21TNt2g,2021-08-17,9
qa9_21TNt2g,2021-08-18,11
qa9_21TNt2g,2021-08-19,5
qa9_21TNt2g,2021-08-20,4
qa9_21TNt2g,2021-08-21,6
qa9_21TNt2g,2021-08-22,6
qa9_21TNt2g,2021-08-23,7
qa9_21TNt2g,2021-08-24,5
qa9_21TNt2g,2021-08-25,4
qa9_21TNt2g,2021-08-26,7
qa9_21TNt2g,2021-08-27,10
qa9_21TNt2g,2021-08-28,6
qa9_21TNt2g,2021-08-29,12
qa9_21TNt2g,2021-08-30,15
qa9_21TNt2g,2021-08-31,9
qa9_21TNt2g,2021-09-01,13
qa9_21TNt2g,2021-09-02,17
qa9_21TNt2g,2021-09-03,22
qa9_21TNt2g,2021-09-04,23
qa9_21TNt2g,2021-09-05,15
qa9_21TNt2g,2021-09-06,17
qa9_21TNt2g,2021-09-07,19
qa9_21TNt2g,2021-09-08,15
qa9_21TNt2g,2021-09-09,17
qa9_21TNt2g,2021-09-10,25
qa9_21TNt2g,2021-09-11,29
qa9_21TNt2g,2021-09-12,40
qa9_21TNt2g,2021-09-13,25
qa9_21TNt2g,2021-09-14,13
qa9_21TNt2g,2021-09-15,20
qa9_21TNt2g,2021-09-16,7
qa9_21TNt2g,2021-09-17,8
qa9_21TNt2g,2021-09-18,16
qa9_21TNt2g,2021-09-19,18
qa9_21TNt2g,2021-09-20,13
qa9_21TNt2g,2021-09-21,6
qa9_21TNt2g,2021-09-22,4
qa9_21TNt2g,2021-09-23,6
qa9_21TNt2g,2021-09-24,7
qa9_21TNt2g,2021-09-25,3
qa9_21TNt2g,2021-09-26,3
qa9_21TNt2g,2021-09-27,8
qa9_21TNt2g,2021-09-28,7
qa9_21TNt2g,2021-09-29,12
