day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-03-15,6,0,0,0,0,2,0,0,77,0,777,94.61,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2019-03-16,25127,1634,112,1544,12,954,170,114,214155,14832,511,62.21,0,0,0,0,0,0,0,0.1686,0.018600000000000002,172,7565,29,141,84,10
2019-03-17,26115,1473,54,921,13,626,188,79,209917,12800,482,58.67,0,0,0,0,0,0,0,0.2059,0.0137,102,6505,21,89,175,7
2019-03-18,15787,906,28,479,11,358,146,36,127802,7732,485,59.089999999999996,0,0,0,0,0,0,0,0.1765,0.0109,51,4045,9,44,131,4
2019-03-19,12362,684,26,334,11,278,93,52,99399,6006,482,58.69,0,0,0,0,0,0,0,0.15380000000000002,0.0091,39,2959,6,27,82,2
2019-03-20,11109,612,24,244,5,235,91,24,86069,5027,464,56.55,0,0,0,0,0,0,0,0.2564,0.0134,39,2460,10,33,66,1
2019-03-21,12128,655,13,209,9,195,82,24,96493,5438,477,58.08,0,0,0,0,0,0,0,0.20829999999999999,0.008,24,2258,5,18,47,3
2019-03-22,9568,431,8,163,3,147,65,11,72618,3391,455,55.39999999999999,0,0,0,0,0,0,0,0.2,0.0083,15,1571,3,13,50,1
2019-03-23,6405,265,6,117,6,97,53,13,47438,2100,444,54.059999999999995,0,0,0,0,0,0,0,0.29410000000000003,0.011899999999999999,17,1172,5,14,34,0
2019-03-24,3527,176,4,76,2,58,46,8,25854,1319,439,53.510000000000005,0,0,0,0,0,0,0,0.4,0.0169,15,769,6,13,25,0
2019-03-25,1625,82,4,39,0,30,38,8,11610,544,428,52.15,0,0,0,0,0,0,0,0.2,0.011000000000000001,5,364,1,4,18,0
2019-03-26,1239,61,1,39,0,28,25,1,9101,488,440,53.620000000000005,0,0,0,0,0,0,0,0.75,0.0098,4,305,3,3,6,0
2019-03-27,732,38,1,18,3,9,23,4,5533,353,453,55.17999999999999,0,0,0,0,0,0,0,0.0,0.0095,3,211,0,2,2,0
2019-03-28,654,25,0,17,2,13,18,3,4720,231,433,52.68999999999999,0,0,0,0,0,0,0,1.0,0.005600000000000001,1,179,1,1,6,0
2019-03-29,380,21,3,11,1,7,8,4,2735,207,431,52.54,0,0,0,0,0,0,0,0.3333,0.0337,3,89,1,3,4,0
2019-03-30,438,18,2,16,1,10,17,5,3623,159,496,60.39,0,0,0,0,0,0,0,0.0,0.0154,2,130,0,2,5,0
2019-03-31,396,30,0,14,0,7,20,1,3488,289,528,64.3,0,0,0,0,0,0,0,0.3333,0.016399999999999998,3,122,1,2,3,0
2019-04-01,283,11,1,7,0,6,14,1,2295,117,486,59.209999999999994,0,0,0,0,0,0,0,0.5,0.025,2,80,1,2,1,0
2019-04-02,318,12,0,8,0,6,11,1,2530,109,477,58.08,0,0,0,0,0,0,0,0.0,0.0225,2,89,0,2,3,0
2019-04-03,321,14,0,6,0,10,14,0,2422,106,452,55.08,0,0,0,0,0,0,0,1.0,0.0102,1,98,1,1,1,0
2019-04-04,282,15,0,12,0,5,8,1,2076,144,441,53.75,0,0,0,0,0,0,0,0.0,0.012199999999999999,1,82,0,1,0,1
2019-04-05,235,10,0,9,0,4,7,2,1592,77,406,49.45,0,0,0,0,0,0,0,0.0,0.0172,2,58,0,1,2,0
2019-04-06,218,13,2,6,0,3,5,2,1717,124,472,57.49999999999999,0,0,0,0,0,0,0,1.0,0.0154,1,65,1,1,2,0
2019-04-07,240,13,1,10,1,5,10,0,1820,122,455,55.38000000000001,0,0,0,0,0,0,0,0.0,0.0149,1,67,0,1,4,0
2019-04-08,243,3,0,9,0,3,9,0,1772,27,437,53.23,0,0,0,0,0,0,0,0.0,0.0,0,67,0,0,0,0
2019-04-09,207,16,0,3,0,2,6,0,1449,155,420,51.11,0,0,0,0,0,0,0,0.5,0.0167,2,60,1,1,2,0
2019-04-10,168,10,0,6,0,7,7,0,1349,85,482,58.650000000000006,0,0,0,0,0,0,0,0.0,0.0,0,46,0,0,2,0
2019-04-11,134,8,0,4,0,2,4,0,1097,64,491,59.79,0,0,0,0,0,0,0,0.0,0.0,0,43,0,0,0,0
2019-04-12,130,4,0,6,1,2,5,0,1236,38,570,69.44,0,0,0,0,0,0,0,0.5,0.0435,2,46,1,2,3,0
2019-04-13,133,8,0,3,0,2,10,0,1000,84,451,54.90999999999999,0,0,0,0,0,0,0,0.0,0.069,2,29,0,2,3,0
2019-04-14,160,11,0,6,0,2,4,1,1235,95,463,56.35,0,0,0,0,0,0,0,0.0,0.04650000000000001,2,43,0,2,1,0
2019-04-15,152,7,1,4,0,2,3,0,1288,76,508,61.870000000000005,0,0,0,0,0,0,0,0.0,0.0,0,45,0,0,2,0
2019-04-16,156,9,1,2,0,0,3,2,1272,97,489,59.53000000000001,0,0,0,0,0,0,0,0.0,0.048799999999999996,3,41,0,2,0,0
2019-04-17,144,12,0,3,0,2,3,1,1284,95,535,65.1,0,0,0,0,0,0,0,0.0,0.0,0,40,0,0,1,0
2019-04-18,111,8,0,1,0,3,3,0,976,80,527,64.2,0,0,0,0,0,0,0,0.0,0.027000000000000003,1,37,0,1,0,0
