videoID,day,likes
qtwEsg4Qelo,2019-03-15,0
qtwEsg4Qelo,2019-03-16,1544
qtwEsg4Qelo,2019-03-17,921
qtwEsg4Qelo,2019-03-18,479
qtwEsg4Qelo,2019-03-19,334
qtwEsg4Qelo,2019-03-20,244
qtwEsg4Qelo,2019-03-21,209
qtwEsg4Qelo,2019-03-22,163
qtwEsg4Qelo,2019-03-23,117
qtwEsg4Qelo,2019-03-24,76
qtwEsg4Qelo,2019-03-25,39
qtwEsg4Qelo,2019-03-26,39
qtwEsg4Qelo,2019-03-27,18
qtwEsg4Qelo,2019-03-28,17
qtwEsg4Qelo,2019-03-29,11
qtwEsg4Qelo,2019-03-30,16
qtwEsg4Qelo,2019-03-31,14
qtwEsg4Qelo,2019-04-01,7
qtwEsg4Qelo,2019-04-02,8
qtwEsg4Qelo,2019-04-03,6
qtwEsg4Qelo,2019-04-04,12
qtwEsg4Qelo,2019-04-05,9
qtwEsg4Qelo,2019-04-06,6
qtwEsg4Qelo,2019-04-07,10
qtwEsg4Qelo,2019-04-08,9
qtwEsg4Qelo,2019-04-09,3
qtwEsg4Qelo,2019-04-10,6
qtwEsg4Qelo,2019-04-11,4
qtwEsg4Qelo,2019-04-12,6
qtwEsg4Qelo,2019-04-13,3
qtwEsg4Qelo,2019-04-14,6
qtwEsg4Qelo,2019-04-15,4
qtwEsg4Qelo,2019-04-16,2
qtwEsg4Qelo,2019-04-17,3
qtwEsg4Qelo,2019-04-18,1
qtwEsg4Qelo,2019-04-19,1
qtwEsg4Qelo,2019-04-20,2
qtwEsg4Qelo,2019-04-21,2
qtwEsg4Qelo,2019-04-22,2
qtwEsg4Qelo,2019-04-23,1
qtwEsg4Qelo,2019-04-24,4
qtwEsg4Qelo,2019-04-25,1
qtwEsg4Qelo,2019-04-26,2
qtwEsg4Qelo,2019-04-27,5
qtwEsg4Qelo,2019-04-28,2
qtwEsg4Qelo,2019-04-29,7
qtwEsg4Qelo,2019-04-30,3
qtwEsg4Qelo,2019-05-01,8
qtwEsg4Qelo,2019-05-02,13
qtwEsg4Qelo,2019-05-03,6
qtwEsg4Qelo,2019-05-04,10
