day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,1,0,0,0,0,0,0,0,3,0,211,90.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-02,3,0,0,0,0,0,0,0,4,0,85,36.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-03,5,1,0,1,0,0,0,0,10,2,127,54.29999999999999,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0
2019-01-04,3,2,0,0,0,0,0,0,7,4,155,66.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-05,3,0,0,0,0,0,0,0,6,0,122,52.300000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-06,1,0,0,0,0,0,0,0,0,0,6,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-07,2,0,0,0,0,1,0,0,5,0,162,69.3,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0
2019-01-08,2,0,0,0,0,0,0,0,7,0,231,98.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-09,3,0,0,0,0,0,0,0,1,0,26,11.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-10,4,0,0,0,0,0,0,0,8,0,125,53.42,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0
2019-01-11,7,1,0,0,0,0,0,0,13,1,112,48.26,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0
2019-01-12,4,0,0,0,0,1,1,0,11,0,172,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-13,7,0,0,0,0,0,0,0,21,0,181,77.42,0,0,9,9,9,0,0,0,0,0,0,0,0,0,0
2019-01-14,3,0,0,0,0,0,0,0,8,0,170,72.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-15,10,0,0,0,0,0,0,0,26,0,158,67.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-16,3,0,0,0,0,1,0,0,9,0,180,77.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-17,3,0,0,0,0,0,0,0,2,0,49,20.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-18,2,0,0,0,0,0,0,0,3,0,114,48.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-20,3,0,0,0,0,0,0,0,5,0,118,50.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-21,4,0,0,0,0,0,0,0,14,0,221,94.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-22,5,1,0,0,0,0,0,1,7,1,95,40.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-23,3,0,0,0,0,0,0,0,7,0,145,62.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-24,4,0,0,0,0,0,0,0,9,0,143,61.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-25,4,0,0,1,0,1,0,0,5,0,88,37.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-26,1,0,0,0,0,0,0,0,3,0,233,99.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-27,5,0,0,0,0,1,0,0,10,0,122,52.34000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-28,3,2,0,0,0,0,0,0,5,3,103,44.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-29,4,0,0,0,0,0,0,0,7,0,109,46.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-30,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-31,1,0,0,0,0,0,0,0,3,0,225,96.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-01,1,0,0,0,0,0,0,0,3,0,233,99.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-02,10,2,0,0,0,0,0,0,16,7,96,41.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-03,2,0,0,0,0,0,0,0,4,0,123,52.68000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-04,4,0,0,0,0,0,0,0,6,0,92,39.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-05,4,0,0,0,0,1,1,0,3,0,51,21.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-06,4,0,0,0,0,0,0,0,3,0,47,20.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-07,4,0,0,0,0,0,0,0,8,0,126,53.900000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-09,5,0,0,0,0,1,0,0,10,0,128,55.00000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-10,6,2,0,0,0,0,0,0,9,4,97,41.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-11,3,0,0,1,0,0,0,0,7,0,157,67.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-12,1,0,0,0,0,0,0,0,3,0,234,100.11000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-13,2,1,0,0,0,0,0,0,0,0,17,7.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-14,2,0,0,0,0,0,0,0,2,0,89,38.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-15,8,1,0,0,0,1,0,0,17,3,131,56.00000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-16,9,0,0,1,0,0,0,0,23,0,155,66.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-17,9,0,0,0,0,0,0,0,20,0,138,59.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-18,10,1,0,0,0,0,0,0,16,0,99,42.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-19,9,1,0,0,0,0,0,0,16,3,111,47.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-20,8,1,0,0,0,1,0,0,22,1,165,70.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-21,4,0,0,0,0,0,0,0,8,0,134,57.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-22,3,0,0,0,0,0,0,0,4,0,98,42.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-23,3,0,0,0,0,0,0,0,7,0,157,67.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-24,5,0,0,0,0,0,0,0,11,0,141,60.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-25,6,0,0,0,0,0,0,0,9,0,97,41.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-26,2,0,0,0,0,0,0,0,4,0,128,54.99000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,3,0,0,0,0,0,0,0,2,0,51,21.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-02,1,1,0,0,0,2,2,0,0,0,7,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-03,2,0,0,0,0,0,0,0,5,0,177,75.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-04,8,0,0,0,0,0,0,0,10,0,82,35.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-05,7,0,0,0,0,0,0,0,15,0,135,57.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-06,4,0,0,0,0,0,0,0,9,0,141,60.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-07,2,0,0,0,0,0,0,0,0,0,15,6.480000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-08,3,0,0,0,0,0,0,0,7,0,151,64.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-09,2,0,0,0,0,0,0,0,1,0,51,21.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
