day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2022-01-06,18308,3386,53,1497,44,1067,373,52,16153,3215,52,88.23,0,0,0,0,0,0,0,0.6386,0.0667,249,3299,159,220,7,6
2022-01-07,7364,1290,9,514,12,234,161,21,6584,1292,53,89.42,0,0,0,0,0,0,0,0.6629999999999999,0.0655,92,1283,61,84,2,0
2022-01-08,8187,1385,9,494,7,127,103,27,7341,1308,53,89.67,0,0,0,0,0,0,0,0.6970000000000001,0.0747,66,790,46,59,11,1
2022-01-09,19412,2785,19,1180,33,109,59,33,16062,2249,49,82.74,0,0,0,0,0,0,0,0.6622,0.076,74,868,49,66,86,1
2022-01-10,11736,1710,5,634,7,78,45,21,9806,1374,50,83.56,0,0,0,0,0,0,0,0.5634,0.0909,71,638,40,58,72,3
2022-01-11,8292,1241,5,436,10,65,48,27,7339,1127,53,88.52,0,0,0,0,0,0,0,0.5952000000000001,0.0583,42,600,25,35,42,8
2022-01-12,6022,851,1,306,6,66,33,13,5076,698,50,84.3,0,0,0,0,0,0,0,0.6522,0.09369999999999999,46,459,30,43,27,0
2022-01-13,3371,549,1,156,2,43,28,4,2778,445,49,82.43,0,0,0,0,0,0,0,0.6,0.0725,35,400,21,29,10,0
2022-01-14,2215,344,1,102,1,34,20,3,2004,305,54,90.52,0,0,0,0,0,0,0,0.6970000000000001,0.0974,33,308,23,30,8,0
2022-01-15,1755,279,0,88,1,24,21,5,1608,300,54,91.67,0,0,0,0,0,0,0,0.5882000000000001,0.061900000000000004,17,210,10,13,4,0
2022-01-16,1888,322,2,118,1,28,19,6,1714,271,54,90.81,0,0,0,0,0,0,0,0.6087,0.0706,23,255,14,18,2,1
2022-01-17,2396,420,2,139,5,31,23,8,2112,449,52,88.19,0,0,0,0,0,0,0,0.6512,0.08779999999999999,43,433,28,38,7,1
2022-01-18,2207,348,1,142,1,15,12,5,1872,304,50,84.83,0,0,0,0,0,0,0,0.8571,0.0599,21,334,18,20,7,0
2022-01-19,1871,304,1,118,2,18,14,3,1713,336,54,91.56,0,0,0,0,0,0,0,0.7692,0.051399999999999994,13,253,10,13,5,0
2022-01-20,1954,338,2,102,1,17,11,7,1671,292,51,85.53,0,0,0,0,0,0,0,0.64,0.0925,25,227,16,21,5,0
2022-01-21,2022,337,1,100,0,31,13,6,1634,286,48,80.85,0,0,0,0,0,0,0,0.5,0.0842,16,202,8,17,6,0
2022-01-22,2463,389,2,139,2,13,13,5,2109,335,51,85.65,0,0,0,0,0,0,0,0.7,0.069,20,261,14,18,7,0
2022-01-23,2920,490,3,165,3,27,15,8,2352,410,48,80.57,0,0,0,0,0,0,0,0.6537999999999999,0.075,26,320,17,24,8,0
2022-01-24,2960,482,1,163,2,25,11,8,2519,414,51,85.13,0,0,0,0,0,0,0,0.8667,0.049400000000000006,15,344,13,17,12,0
2022-01-25,3620,615,2,162,7,21,10,9,3236,639,53,89.4,0,0,0,0,0,0,0,0.5909,0.0556,22,342,13,19,24,0
2022-01-26,2999,460,1,166,0,17,13,9,2419,379,48,80.66,0,0,0,0,0,0,0,0.7222,0.08039999999999999,18,224,13,18,17,1
2022-01-27,3000,446,0,143,9,19,5,4,2678,360,53,89.27,0,0,0,0,0,0,0,0.5556,0.037200000000000004,9,188,5,7,16,0
2022-01-28,2464,347,2,140,1,15,10,11,2051,294,49,83.27,0,0,0,0,0,0,0,0.5832999999999999,0.0571,12,175,7,10,12,0
2022-01-29,2980,430,1,154,5,7,5,8,2585,337,52,86.76,0,0,0,0,0,0,0,0.5832999999999999,0.08779999999999999,12,148,7,13,14,0
2022-01-30,3035,413,2,171,3,14,7,6,2507,341,49,82.63,0,0,0,0,0,0,0,0.5333,0.08460000000000001,15,130,8,11,14,0
2022-01-31,2767,366,0,150,7,14,10,6,2283,316,49,82.54,0,0,0,0,0,0,0,0.5455,0.0533,11,150,6,8,8,0
2022-02-01,3148,459,3,176,4,19,11,8,2641,396,50,83.9,0,0,0,0,0,0,0,0.5,0.0802,18,187,9,15,14,1
2022-02-02,3041,428,0,144,4,10,10,7,2421,355,47,79.61,0,0,0,0,0,0,0,0.5,0.0382,6,131,3,5,17,0
2022-02-03,3006,396,2,164,2,7,10,6,2451,317,48,81.55,0,0,0,0,0,0,0,0.75,0.0909,8,77,6,7,15,0
2022-02-04,2890,353,0,125,3,9,6,7,2515,360,52,87.03,0,0,0,0,0,0,0,0.8,0.0538,5,93,4,5,12,0
2022-02-05,2792,391,0,140,0,9,5,7,2410,357,51,86.33,0,0,0,0,0,0,0,0.5556,0.1159,9,69,5,8,18,1
2022-02-06,2316,298,1,112,3,6,8,5,1873,298,48,80.88,0,0,0,0,0,0,0,0.6667000000000001,0.0526,6,95,4,5,5,0
2022-02-07,1635,217,2,76,3,8,4,9,1359,183,49,83.13,0,0,0,0,0,0,0,0.3333,0.0333,3,60,1,2,10,0
2022-02-08,1701,211,0,103,5,4,5,9,1349,169,47,79.35,0,0,0,0,0,0,0,0.8571,0.12,7,50,6,6,20,0
2022-02-09,1444,195,0,72,2,6,5,5,1243,265,51,86.09,0,0,0,0,0,0,0,0.0,0.0,0,42,0,0,8,0
2022-02-10,1089,159,1,77,0,1,4,4,905,123,49,83.15,0,0,0,0,0,0,0,1.0,0.04650000000000001,2,43,2,2,13,0
2022-02-11,1073,159,0,60,1,3,6,3,882,127,49,82.28,0,0,0,0,0,0,0,0.4,0.06,5,50,2,3,6,0
2022-02-12,1034,153,1,53,0,6,4,5,786,128,45,76.07,0,0,0,0,0,0,0,0.8,0.0889,5,45,4,4,3,0
2022-02-13,1092,158,1,61,1,7,4,2,884,136,48,81.0,0,0,0,0,0,0,0,0.0,0.0,1,53,0,0,4,0
