videoID,day,likes
r5wUrY4lWDc,2022-01-06,1497
r5wUrY4lWDc,2022-01-07,514
r5wUrY4lWDc,2022-01-08,494
r5wUrY4lWDc,2022-01-09,1180
r5wUrY4lWDc,2022-01-10,634
r5wUrY4lWDc,2022-01-11,436
r5wUrY4lWDc,2022-01-12,306
r5wUrY4lWDc,2022-01-13,156
r5wUrY4lWDc,2022-01-14,102
r5wUrY4lWDc,2022-01-15,88
r5wUrY4lWDc,2022-01-16,118
r5wUrY4lWDc,2022-01-17,139
r5wUrY4lWDc,2022-01-18,142
r5wUrY4lWDc,2022-01-19,118
r5wUrY4lWDc,2022-01-20,102
r5wUrY4lWDc,2022-01-21,100
r5wUrY4lWDc,2022-01-22,139
r5wUrY4lWDc,2022-01-23,165
r5wUrY4lWDc,2022-01-24,163
r5wUrY4lWDc,2022-01-25,162
r5wUrY4lWDc,2022-01-26,166
r5wUrY4lWDc,2022-01-27,143
r5wUrY4lWDc,2022-01-28,140
r5wUrY4lWDc,2022-01-29,154
r5wUrY4lWDc,2022-01-30,171
r5wUrY4lWDc,2022-01-31,150
r5wUrY4lWDc,2022-02-01,176
r5wUrY4lWDc,2022-02-02,144
r5wUrY4lWDc,2022-02-03,164
r5wUrY4lWDc,2022-02-04,125
r5wUrY4lWDc,2022-02-05,140
r5wUrY4lWDc,2022-02-06,112
r5wUrY4lWDc,2022-02-07,76
r5wUrY4lWDc,2022-02-08,103
r5wUrY4lWDc,2022-02-09,72
r5wUrY4lWDc,2022-02-10,77
r5wUrY4lWDc,2022-02-11,60
r5wUrY4lWDc,2022-02-12,53
r5wUrY4lWDc,2022-02-13,61
r5wUrY4lWDc,2022-02-14,72
r5wUrY4lWDc,2022-02-15,79
r5wUrY4lWDc,2022-02-16,76
r5wUrY4lWDc,2022-02-17,89
r5wUrY4lWDc,2022-02-18,44
r5wUrY4lWDc,2022-02-19,40
r5wUrY4lWDc,2022-02-20,29
r5wUrY4lWDc,2022-02-21,25
r5wUrY4lWDc,2022-02-22,23
r5wUrY4lWDc,2022-02-23,25
r5wUrY4lWDc,2022-02-24,19
r5wUrY4lWDc,2022-02-25,15
r5wUrY4lWDc,2022-02-26,17
r5wUrY4lWDc,2022-02-27,25
r5wUrY4lWDc,2022-02-28,8
r5wUrY4lWDc,2022-03-01,8
r5wUrY4lWDc,2022-03-02,9
r5wUrY4lWDc,2022-03-03,6
r5wUrY4lWDc,2022-03-04,8
r5wUrY4lWDc,2022-03-05,11
r5wUrY4lWDc,2022-03-06,10
r5wUrY4lWDc,2022-03-07,13
r5wUrY4lWDc,2022-03-08,5
r5wUrY4lWDc,2022-03-09,11
r5wUrY4lWDc,2022-03-10,2
r5wUrY4lWDc,2022-03-11,6
r5wUrY4lWDc,2022-03-12,8
r5wUrY4lWDc,2022-03-13,7
r5wUrY4lWDc,2022-03-14,4
