day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-10-17,28733,3597,167,3222,16,2153,453,115,201698,27357,421,67.07,0,0,0,0,0,0,0,0,0,0,0,0,0,85,11
2020-10-18,12806,1494,33,1165,4,561,293,55,86995,11570,407,64.9,0,0,0,0,0,0,0,0,0,0,0,0,0,66,13
2020-10-19,7415,818,13,487,4,250,188,26,44966,5705,363,57.940000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,49,5
2020-10-20,5859,637,11,315,2,189,128,16,35685,4579,365,58.19,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3
2020-10-21,4593,462,7,224,2,140,99,22,27247,3365,355,56.68,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1
2020-10-22,3555,341,9,176,2,101,86,12,21322,2318,359,57.3,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1
2020-10-23,2718,263,2,132,2,72,65,7,16927,1789,373,59.5,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2
2020-10-24,2048,210,6,85,3,60,56,5,12654,1382,370,59.040000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2020-10-25,1775,205,4,90,3,64,46,6,11928,1476,403,64.2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2020-10-26,1526,151,1,61,1,50,41,1,10173,994,399,63.690000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2
2020-10-27,1108,124,1,60,0,37,33,0,7372,820,399,63.57000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2020-10-28,869,82,2,36,0,16,22,0,5656,515,390,62.19,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2020-10-29,884,97,1,48,0,15,27,5,5802,608,393,62.72,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2020-10-30,785,89,2,29,1,19,21,1,5354,607,409,65.17,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2020-10-31,545,69,0,20,1,12,22,1,3524,419,388,61.79,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-11-01,652,73,0,24,0,12,19,3,4306,487,396,63.11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2020-11-02,932,112,1,49,1,25,18,1,6233,766,401,63.9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2
