videoID,day,likes
rX_NCCpw5Uo,2020-10-17,3222
rX_NCCpw5Uo,2020-10-18,1165
rX_NCCpw5Uo,2020-10-19,487
rX_NCCpw5Uo,2020-10-20,315
rX_NCCpw5Uo,2020-10-21,224
rX_NCCpw5Uo,2020-10-22,176
rX_NCCpw5Uo,2020-10-23,132
rX_NCCpw5Uo,2020-10-24,85
rX_NCCpw5Uo,2020-10-25,90
rX_NCCpw5Uo,2020-10-26,61
rX_NCCpw5Uo,2020-10-27,60
rX_NCCpw5Uo,2020-10-28,36
rX_NCCpw5Uo,2020-10-29,48
rX_NCCpw5Uo,2020-10-30,29
rX_NCCpw5Uo,2020-10-31,20
rX_NCCpw5Uo,2020-11-01,24
rX_NCCpw5Uo,2020-11-02,49
rX_NCCpw5Uo,2020-11-03,29
rX_NCCpw5Uo,2020-11-04,25
rX_NCCpw5Uo,2020-11-05,30
rX_NCCpw5Uo,2020-11-06,24
rX_NCCpw5Uo,2020-11-07,27
rX_NCCpw5Uo,2020-11-08,35
rX_NCCpw5Uo,2020-11-09,21
rX_NCCpw5Uo,2020-11-10,11
rX_NCCpw5Uo,2020-11-11,16
rX_NCCpw5Uo,2020-11-12,14
rX_NCCpw5Uo,2020-11-13,11
rX_NCCpw5Uo,2020-11-14,23
rX_NCCpw5Uo,2020-11-15,17
rX_NCCpw5Uo,2020-11-16,31
rX_NCCpw5Uo,2020-11-17,21
rX_NCCpw5Uo,2020-11-18,19
rX_NCCpw5Uo,2020-11-19,19
rX_NCCpw5Uo,2020-11-20,24
rX_NCCpw5Uo,2020-11-21,21
rX_NCCpw5Uo,2020-11-22,19
rX_NCCpw5Uo,2020-11-23,19
rX_NCCpw5Uo,2020-11-24,25
rX_NCCpw5Uo,2020-11-25,22
rX_NCCpw5Uo,2020-11-26,27
rX_NCCpw5Uo,2020-11-27,31
rX_NCCpw5Uo,2020-11-28,40
rX_NCCpw5Uo,2020-11-29,47
rX_NCCpw5Uo,2020-11-30,31
rX_NCCpw5Uo,2020-12-01,37
rX_NCCpw5Uo,2020-12-02,34
rX_NCCpw5Uo,2020-12-03,39
rX_NCCpw5Uo,2020-12-04,19
rX_NCCpw5Uo,2020-12-05,24
rX_NCCpw5Uo,2020-12-06,21
rX_NCCpw5Uo,2020-12-07,16
rX_NCCpw5Uo,2020-12-08,16
rX_NCCpw5Uo,2020-12-09,13
rX_NCCpw5Uo,2020-12-10,21
rX_NCCpw5Uo,2020-12-11,13
rX_NCCpw5Uo,2020-12-12,16
rX_NCCpw5Uo,2020-12-13,17
rX_NCCpw5Uo,2020-12-14,17
rX_NCCpw5Uo,2020-12-15,15
rX_NCCpw5Uo,2020-12-16,18
rX_NCCpw5Uo,2020-12-17,20
rX_NCCpw5Uo,2020-12-18,19
rX_NCCpw5Uo,2020-12-19,24
rX_NCCpw5Uo,2020-12-20,10
rX_NCCpw5Uo,2020-12-21,21
rX_NCCpw5Uo,2020-12-22,11
rX_NCCpw5Uo,2020-12-23,16
rX_NCCpw5Uo,2020-12-24,18
rX_NCCpw5Uo,2020-12-25,26
rX_NCCpw5Uo,2020-12-26,31
rX_NCCpw5Uo,2020-12-27,69
rX_NCCpw5Uo,2020-12-28,84
rX_NCCpw5Uo,2020-12-29,52
rX_NCCpw5Uo,2020-12-30,60
rX_NCCpw5Uo,2020-12-31,30
rX_NCCpw5Uo,2021-01-01,25
rX_NCCpw5Uo,2021-01-02,32
rX_NCCpw5Uo,2021-01-03,22
rX_NCCpw5Uo,2021-01-04,21
rX_NCCpw5Uo,2021-01-05,52
rX_NCCpw5Uo,2021-01-06,33
rX_NCCpw5Uo,2021-01-07,32
rX_NCCpw5Uo,2021-01-08,20
rX_NCCpw5Uo,2021-01-09,23
rX_NCCpw5Uo,2021-01-10,34
rX_NCCpw5Uo,2021-01-11,31
rX_NCCpw5Uo,2021-01-12,24
rX_NCCpw5Uo,2021-01-13,26
rX_NCCpw5Uo,2021-01-14,19
rX_NCCpw5Uo,2021-01-15,8
rX_NCCpw5Uo,2021-01-16,18
rX_NCCpw5Uo,2021-01-17,22
rX_NCCpw5Uo,2021-01-18,20
rX_NCCpw5Uo,2021-01-19,13
rX_NCCpw5Uo,2021-01-20,21
rX_NCCpw5Uo,2021-01-21,12
rX_NCCpw5Uo,2021-01-22,12
rX_NCCpw5Uo,2021-01-23,13
rX_NCCpw5Uo,2021-01-24,11
rX_NCCpw5Uo,2021-01-25,17
rX_NCCpw5Uo,2021-01-26,12
rX_NCCpw5Uo,2021-01-27,10
rX_NCCpw5Uo,2021-01-28,11
rX_NCCpw5Uo,2021-01-29,8
rX_NCCpw5Uo,2021-01-30,13
rX_NCCpw5Uo,2021-01-31,25
rX_NCCpw5Uo,2021-02-01,22
rX_NCCpw5Uo,2021-02-02,13
rX_NCCpw5Uo,2021-02-03,20
rX_NCCpw5Uo,2021-02-04,12
rX_NCCpw5Uo,2021-02-05,12
rX_NCCpw5Uo,2021-02-06,21
rX_NCCpw5Uo,2021-02-07,14
rX_NCCpw5Uo,2021-02-08,18
rX_NCCpw5Uo,2021-02-09,13
rX_NCCpw5Uo,2021-02-10,7
