day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-08-15,34957,3953,160,3299,21,2218,577,163,139266,16206,239,75.41,0,0,0,0,0,0,0,0.19440000000000002,0.0187,360,14805,70,277,76,20
2020-08-16,14809,1501,36,1015,18,563,355,68,58431,5954,236,74.68,0,0,0,0,0,0,0,0.1776,0.0154,107,5577,19,86,41,5
2020-08-17,8413,841,26,477,5,267,205,29,33199,3360,236,74.69,0,0,0,0,0,0,0,0.1757,0.0191,74,3043,13,58,28,5
2020-08-18,5506,552,17,309,5,220,154,28,20574,2117,224,70.73,0,0,0,0,0,0,0,0.1282,0.0161,39,1988,5,32,30,1
2020-08-19,6213,622,11,264,8,137,112,23,24150,2464,233,73.57,0,0,0,0,0,0,0,0.2059,0.013000000000000001,34,1999,7,26,37,3
2020-08-20,4311,423,7,191,6,118,72,10,16257,1657,226,71.38,0,0,0,0,0,0,0,0.1351,0.0199,37,1407,5,28,16,0
2020-08-21,5591,533,10,248,4,210,70,21,20568,2028,220,69.63,0,0,0,0,0,0,0,0.2051,0.0144,39,1940,8,28,17,1
2020-08-22,5845,531,11,249,4,171,85,13,21472,2037,220,69.53,0,0,0,0,0,0,0,0.1429,0.015300000000000001,42,1959,6,30,21,2
2020-08-23,5088,498,9,175,4,136,65,15,18594,1871,219,69.17,0,0,0,0,0,0,0,0.1364,0.0104,22,1733,3,18,23,3
2020-08-24,4262,428,11,126,4,107,61,9,15586,1687,219,69.22,0,0,0,0,0,0,0,0.17859999999999998,0.0152,28,1446,5,22,18,1
2020-08-25,3044,322,7,114,5,82,52,8,11006,1221,216,68.44,0,0,0,0,0,0,0,0.24,0.0176,25,1025,6,18,14,2
2020-08-26,2522,247,2,85,2,62,35,6,9113,955,216,68.4,0,0,0,0,0,0,0,0.07139999999999999,0.0134,14,894,1,12,7,1
2020-08-27,1974,197,0,68,2,40,34,7,7088,732,215,67.97,0,0,0,0,0,0,0,0.125,0.0161,16,682,2,11,12,0
2020-08-28,1622,164,4,76,2,48,41,5,5827,606,215,68.0,0,0,0,0,0,0,0,0.25,0.0113,8,533,2,6,7,1
2020-08-29,1491,149,5,79,0,43,43,4,5605,559,225,71.16,0,0,0,0,0,0,0,0.2,0.0038,5,523,1,2,8,0
2020-08-30,1546,152,2,58,1,52,33,6,5709,574,221,69.9,0,0,0,0,0,0,0,0.23079999999999998,0.0203,13,541,3,11,5,1
2020-08-31,979,93,1,36,1,33,19,2,3570,343,218,69.02,0,0,0,0,0,0,0,0.3636,0.019799999999999998,11,353,4,7,3,1
2020-09-01,924,86,2,35,1,31,20,2,3476,332,225,71.22,0,0,0,0,0,0,0,0.2143,0.0349,14,344,3,12,3,0
2020-09-02,765,88,2,38,0,26,28,6,2731,318,214,67.58,0,0,0,0,0,0,0,0.0,0.0151,6,265,0,4,2,1
2020-09-03,689,89,1,27,0,21,16,2,2520,349,219,69.25,0,0,0,0,0,0,0,0.1429,0.0268,7,224,1,6,3,0
2020-09-04,634,73,2,35,0,13,18,5,2230,273,211,66.58,0,0,0,0,0,0,0,0.0,0.0049,1,206,0,1,4,1
2020-09-05,602,61,2,27,0,17,16,4,2262,249,225,71.12,0,0,0,0,0,0,0,0.25,0.0087,4,229,1,2,4,0
2020-09-06,716,87,2,31,1,12,19,0,2660,321,222,70.34,0,0,0,0,0,0,0,0.3333,0.0075,3,267,1,2,3,0
2020-09-07,715,75,2,26,1,17,9,5,2635,312,221,69.77,0,0,0,0,0,0,0,0.0,0.0,0,254,0,0,5,0
2020-09-08,682,56,0,26,0,7,8,3,2568,232,225,71.28,0,0,0,0,0,0,0,0.2,0.0241,10,249,2,6,1,0
2020-09-09,648,77,1,28,1,11,18,2,2506,329,232,73.22,0,0,0,0,0,0,0,0.0,0.0079,2,253,0,2,4,0
2020-09-10,627,80,4,22,0,10,10,1,2369,296,226,71.54,0,0,0,0,0,0,0,0.3333,0.0172,6,233,2,4,2,1
2020-09-11,704,83,0,33,0,7,10,4,2546,332,217,68.46,0,0,0,0,0,0,0,0.2,0.03,10,267,2,8,6,0
2020-09-12,545,66,0,23,0,7,11,3,1954,253,215,67.87,0,0,0,0,0,0,0,0.0,0.0,1,179,0,0,1,0
2020-09-13,602,67,0,36,0,14,12,6,2227,298,222,70.04,0,0,0,0,0,0,0,0.0,0.0045000000000000005,3,221,0,1,5,0
2020-09-14,542,49,1,18,0,10,13,0,1978,210,218,69.08,0,0,0,0,0,0,0,0.0,0.0152,4,198,0,3,1,0
2020-09-15,382,34,0,8,0,9,3,1,1407,124,221,69.73,0,0,0,0,0,0,0,0.0,0.0069,2,144,0,1,6,0
2020-09-16,332,30,1,9,0,8,11,2,1164,130,210,66.37,0,0,0,0,0,0,0,0.0,0.0167,2,120,0,2,0,0
2020-09-17,362,39,1,14,1,8,12,5,1321,153,219,69.09,0,0,0,0,0,0,0,0.3333,0.0233,6,129,2,3,4,0
