videoID,day,likes
rgkdcYznXHA,2020-08-15,3299
rgkdcYznXHA,2020-08-16,1015
rgkdcYznXHA,2020-08-17,477
rgkdcYznXHA,2020-08-18,309
rgkdcYznXHA,2020-08-19,264
rgkdcYznXHA,2020-08-20,191
rgkdcYznXHA,2020-08-21,248
rgkdcYznXHA,2020-08-22,249
rgkdcYznXHA,2020-08-23,175
rgkdcYznXHA,2020-08-24,126
rgkdcYznXHA,2020-08-25,114
rgkdcYznXHA,2020-08-26,85
rgkdcYznXHA,2020-08-27,68
rgkdcYznXHA,2020-08-28,76
rgkdcYznXHA,2020-08-29,79
rgkdcYznXHA,2020-08-30,58
rgkdcYznXHA,2020-08-31,36
rgkdcYznXHA,2020-09-01,35
rgkdcYznXHA,2020-09-02,38
rgkdcYznXHA,2020-09-03,27
rgkdcYznXHA,2020-09-04,35
rgkdcYznXHA,2020-09-05,27
rgkdcYznXHA,2020-09-06,31
rgkdcYznXHA,2020-09-07,26
rgkdcYznXHA,2020-09-08,26
rgkdcYznXHA,2020-09-09,28
rgkdcYznXHA,2020-09-10,22
rgkdcYznXHA,2020-09-11,33
rgkdcYznXHA,2020-09-12,23
rgkdcYznXHA,2020-09-13,36
rgkdcYznXHA,2020-09-14,18
rgkdcYznXHA,2020-09-15,8
rgkdcYznXHA,2020-09-16,9
rgkdcYznXHA,2020-09-17,14
rgkdcYznXHA,2020-09-18,9
rgkdcYznXHA,2020-09-19,3
rgkdcYznXHA,2020-09-20,6
rgkdcYznXHA,2020-09-21,7
rgkdcYznXHA,2020-09-22,6
rgkdcYznXHA,2020-09-23,9
rgkdcYznXHA,2020-09-24,8
rgkdcYznXHA,2020-09-25,6
rgkdcYznXHA,2020-09-26,11
rgkdcYznXHA,2020-09-27,4
rgkdcYznXHA,2020-09-28,6
rgkdcYznXHA,2020-09-29,6
rgkdcYznXHA,2020-09-30,4
rgkdcYznXHA,2020-10-01,6
rgkdcYznXHA,2020-10-02,5
rgkdcYznXHA,2020-10-03,4
rgkdcYznXHA,2020-10-04,8
rgkdcYznXHA,2020-10-05,5
rgkdcYznXHA,2020-10-06,4
rgkdcYznXHA,2020-10-07,5
rgkdcYznXHA,2020-10-08,2
rgkdcYznXHA,2020-10-09,4
rgkdcYznXHA,2020-10-10,5
rgkdcYznXHA,2020-10-11,8
rgkdcYznXHA,2020-10-12,7
rgkdcYznXHA,2020-10-13,10
rgkdcYznXHA,2020-10-14,5
rgkdcYznXHA,2020-10-15,1
rgkdcYznXHA,2020-10-16,7
rgkdcYznXHA,2020-10-17,9
rgkdcYznXHA,2020-10-18,7
rgkdcYznXHA,2020-10-19,4
rgkdcYznXHA,2020-10-20,7
rgkdcYznXHA,2020-10-21,4
rgkdcYznXHA,2020-10-22,4
rgkdcYznXHA,2020-10-23,2
rgkdcYznXHA,2020-10-24,4
rgkdcYznXHA,2020-10-25,5
rgkdcYznXHA,2020-10-26,3
rgkdcYznXHA,2020-10-27,4
rgkdcYznXHA,2020-10-28,5
rgkdcYznXHA,2020-10-29,1
rgkdcYznXHA,2020-10-30,2
rgkdcYznXHA,2020-10-31,1
rgkdcYznXHA,2020-11-01,4
rgkdcYznXHA,2020-11-02,2
rgkdcYznXHA,2020-11-03,7
rgkdcYznXHA,2020-11-04,6
rgkdcYznXHA,2020-11-05,5
rgkdcYznXHA,2020-11-06,1
rgkdcYznXHA,2020-11-07,4
rgkdcYznXHA,2020-11-08,5
rgkdcYznXHA,2020-11-09,6
rgkdcYznXHA,2020-11-10,2
rgkdcYznXHA,2020-11-11,3
rgkdcYznXHA,2020-11-12,5
rgkdcYznXHA,2020-11-13,3
rgkdcYznXHA,2020-11-14,4
rgkdcYznXHA,2020-11-15,1
rgkdcYznXHA,2020-11-16,3
rgkdcYznXHA,2020-11-17,1
rgkdcYznXHA,2020-11-18,5
rgkdcYznXHA,2020-11-19,2
rgkdcYznXHA,2020-11-20,4
rgkdcYznXHA,2020-11-21,1
rgkdcYznXHA,2020-11-22,2
rgkdcYznXHA,2020-11-23,4
rgkdcYznXHA,2020-11-24,0
rgkdcYznXHA,2020-11-25,3
rgkdcYznXHA,2020-11-26,2
rgkdcYznXHA,2020-11-27,5
rgkdcYznXHA,2020-11-28,1
rgkdcYznXHA,2020-11-29,-1
rgkdcYznXHA,2020-11-30,3
rgkdcYznXHA,2020-12-01,6
rgkdcYznXHA,2020-12-02,0
rgkdcYznXHA,2020-12-03,5
rgkdcYznXHA,2020-12-04,1
rgkdcYznXHA,2020-12-05,1
rgkdcYznXHA,2020-12-06,3
rgkdcYznXHA,2020-12-07,3
rgkdcYznXHA,2020-12-08,2
rgkdcYznXHA,2020-12-09,2
rgkdcYznXHA,2020-12-10,2
rgkdcYznXHA,2020-12-11,3
rgkdcYznXHA,2020-12-12,4
rgkdcYznXHA,2020-12-13,4
rgkdcYznXHA,2020-12-14,3
rgkdcYznXHA,2020-12-15,4
rgkdcYznXHA,2020-12-16,6
rgkdcYznXHA,2020-12-17,2
rgkdcYznXHA,2020-12-18,3
rgkdcYznXHA,2020-12-19,2
rgkdcYznXHA,2020-12-20,4
rgkdcYznXHA,2020-12-21,3
rgkdcYznXHA,2020-12-22,4
rgkdcYznXHA,2020-12-23,0
rgkdcYznXHA,2020-12-24,4
rgkdcYznXHA,2020-12-25,3
rgkdcYznXHA,2020-12-26,3
rgkdcYznXHA,2020-12-27,6
rgkdcYznXHA,2020-12-28,3
rgkdcYznXHA,2020-12-29,8
rgkdcYznXHA,2020-12-30,3
rgkdcYznXHA,2020-12-31,7
rgkdcYznXHA,2021-01-01,3
rgkdcYznXHA,2021-01-02,6
rgkdcYznXHA,2021-01-03,5
rgkdcYznXHA,2021-01-04,4
rgkdcYznXHA,2021-01-05,6
rgkdcYznXHA,2021-01-06,7
rgkdcYznXHA,2021-01-07,5
rgkdcYznXHA,2021-01-08,7
rgkdcYznXHA,2021-01-09,4
rgkdcYznXHA,2021-01-10,7
rgkdcYznXHA,2021-01-11,7
rgkdcYznXHA,2021-01-12,11
rgkdcYznXHA,2021-01-13,7
rgkdcYznXHA,2021-01-14,17
rgkdcYznXHA,2021-01-15,8
rgkdcYznXHA,2021-01-16,14
rgkdcYznXHA,2021-01-17,21
rgkdcYznXHA,2021-01-18,9
rgkdcYznXHA,2021-01-19,19
rgkdcYznXHA,2021-01-20,12
rgkdcYznXHA,2021-01-21,15
rgkdcYznXHA,2021-01-22,7
rgkdcYznXHA,2021-01-23,10
rgkdcYznXHA,2021-01-24,6
rgkdcYznXHA,2021-01-25,11
rgkdcYznXHA,2021-01-26,6
rgkdcYznXHA,2021-01-27,7
rgkdcYznXHA,2021-01-28,4
rgkdcYznXHA,2021-01-29,13
rgkdcYznXHA,2021-01-30,19
rgkdcYznXHA,2021-01-31,22
rgkdcYznXHA,2021-02-01,21
rgkdcYznXHA,2021-02-02,11
rgkdcYznXHA,2021-02-03,12
rgkdcYznXHA,2021-02-04,6
rgkdcYznXHA,2021-02-05,6
rgkdcYznXHA,2021-02-06,10
rgkdcYznXHA,2021-02-07,10
rgkdcYznXHA,2021-02-08,8
rgkdcYznXHA,2021-02-09,7
rgkdcYznXHA,2021-02-10,1
rgkdcYznXHA,2021-02-11,4
rgkdcYznXHA,2021-02-12,3
rgkdcYznXHA,2021-02-13,6
rgkdcYznXHA,2021-02-14,6
rgkdcYznXHA,2021-02-15,6
rgkdcYznXHA,2021-02-16,3
rgkdcYznXHA,2021-02-17,16
rgkdcYznXHA,2021-02-18,15
rgkdcYznXHA,2021-02-19,15
rgkdcYznXHA,2021-02-20,21
rgkdcYznXHA,2021-02-21,5
rgkdcYznXHA,2021-02-22,8
rgkdcYznXHA,2021-02-23,4
rgkdcYznXHA,2021-02-24,5
rgkdcYznXHA,2021-02-25,3
rgkdcYznXHA,2021-02-26,1
rgkdcYznXHA,2021-02-27,3
rgkdcYznXHA,2021-02-28,1
rgkdcYznXHA,2021-03-01,4
rgkdcYznXHA,2021-03-02,1
rgkdcYznXHA,2021-03-03,2
rgkdcYznXHA,2021-03-04,3
rgkdcYznXHA,2021-03-05,2
rgkdcYznXHA,2021-03-06,3
rgkdcYznXHA,2021-03-07,3
rgkdcYznXHA,2021-03-08,4
rgkdcYznXHA,2021-03-09,1
rgkdcYznXHA,2021-03-10,3
rgkdcYznXHA,2021-03-11,1
rgkdcYznXHA,2021-03-12,3
rgkdcYznXHA,2021-03-13,3
rgkdcYznXHA,2021-03-14,4
rgkdcYznXHA,2021-03-15,2
rgkdcYznXHA,2021-03-16,2
rgkdcYznXHA,2021-03-17,0
rgkdcYznXHA,2021-03-18,4
rgkdcYznXHA,2021-03-19,2
rgkdcYznXHA,2021-03-20,1
rgkdcYznXHA,2021-03-21,1
rgkdcYznXHA,2021-03-22,1
rgkdcYznXHA,2021-03-23,0
rgkdcYznXHA,2021-03-24,3
rgkdcYznXHA,2021-03-25,3
rgkdcYznXHA,2021-03-26,2
rgkdcYznXHA,2021-03-27,3
rgkdcYznXHA,2021-03-28,2
rgkdcYznXHA,2021-03-29,2
rgkdcYznXHA,2021-03-30,0
