day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2022-02-11,48655,9059,256,4333,47,3832,524,173,343787,72506,423,58.31000000000001,0,0,0,0,0,0,0,0.1875,0.003,80,12190,15,36,135,30
2022-02-12,34519,6119,131,2694,44,1481,647,113,234775,48117,408,56.13,0,0,0,0,0,0,0,0.2963,0.0054,81,7813,24,42,113,15
2022-02-13,23354,4238,56,1657,24,875,423,76,159313,33050,409,56.3,0,0,0,0,0,0,0,0.3056,0.0029,36,4843,11,14,128,17
2022-02-14,18612,3542,53,1116,25,768,293,92,123199,26982,397,54.63,0,0,0,0,0,0,0,0.2439,0.0046,41,4113,10,19,124,12
2022-02-15,19519,3513,51,1081,23,670,267,50,121855,26355,374,51.519999999999996,0,0,0,0,0,0,0,0.2826,0.0059,46,3903,13,23,138,3
2022-02-16,8335,1522,19,521,10,300,206,30,55456,11591,399,54.90999999999999,0,0,0,0,0,0,0,0.0,0.0012,4,1605,0,2,54,5
2022-02-17,4618,838,20,260,3,157,125,15,30740,6355,399,54.94,0,0,0,0,0,0,0,0.21050000000000002,0.0106,19,853,4,9,33,6
2022-02-18,4294,749,14,230,5,229,122,18,26188,5373,365,50.33,0,0,0,0,0,0,0,0.2857,0.0039000000000000003,7,778,2,3,18,6
2022-02-19,4660,757,13,292,5,324,98,23,29393,5537,378,52.06000000000001,0,0,0,0,0,0,0,0.5,0.0012,2,855,1,1,25,9
2022-02-20,4462,768,10,280,1,323,125,24,28954,5828,389,53.56000000000001,0,0,0,0,0,0,0,0.5,0.0013,2,763,1,1,12,6
2022-02-21,2614,491,10,174,3,142,111,8,17823,3573,409,56.279999999999994,0,0,0,0,0,0,0,0.3333,0.0018,3,557,1,1,19,3
2022-02-22,2239,413,6,132,1,88,66,9,14984,3181,401,55.230000000000004,0,0,0,0,0,0,0,0.3333,0.0022,3,450,1,1,6,1
2022-02-23,1989,335,4,96,2,53,62,9,12500,2317,377,51.86999999999999,0,0,0,0,0,0,0,0.2,0.0079,5,378,1,3,7,0
2022-02-24,1353,224,3,77,1,62,49,10,8118,1604,360,49.52,0,0,0,0,0,0,0,0.5,0.0039000000000000003,2,256,1,1,3,1
2022-02-25,1020,186,2,57,2,47,42,3,6410,1326,377,51.86999999999999,0,0,0,0,0,0,0,0.0,0.0048,2,207,0,1,1,1
