videoID,day,likes
rsa92VNVY7A,2022-02-11,4333
rsa92VNVY7A,2022-02-12,2694
rsa92VNVY7A,2022-02-13,1657
rsa92VNVY7A,2022-02-14,1116
rsa92VNVY7A,2022-02-15,1081
rsa92VNVY7A,2022-02-16,521
rsa92VNVY7A,2022-02-17,260
rsa92VNVY7A,2022-02-18,230
rsa92VNVY7A,2022-02-19,292
rsa92VNVY7A,2022-02-20,280
rsa92VNVY7A,2022-02-21,174
rsa92VNVY7A,2022-02-22,132
rsa92VNVY7A,2022-02-23,96
rsa92VNVY7A,2022-02-24,77
rsa92VNVY7A,2022-02-25,57
rsa92VNVY7A,2022-02-26,47
rsa92VNVY7A,2022-02-27,49
rsa92VNVY7A,2022-02-28,72
rsa92VNVY7A,2022-03-01,40
rsa92VNVY7A,2022-03-02,122
rsa92VNVY7A,2022-03-03,102
rsa92VNVY7A,2022-03-04,94
rsa92VNVY7A,2022-03-05,84
rsa92VNVY7A,2022-03-06,100
rsa92VNVY7A,2022-03-07,107
rsa92VNVY7A,2022-03-08,98
rsa92VNVY7A,2022-03-09,104
rsa92VNVY7A,2022-03-10,129
rsa92VNVY7A,2022-03-11,66
rsa92VNVY7A,2022-03-12,93
rsa92VNVY7A,2022-03-13,73
rsa92VNVY7A,2022-03-14,75
