day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-08-28,30325,3542,144,2764,36,2420,409,200,179817,22334,355,65.52,0,0,0,0,0,0,0,0.4818,0.055999999999999994,988,10502,476,588,83,17
2020-08-29,26236,2939,70,1619,25,1119,371,153,149597,18304,342,63.01,0,0,0,0,0,0,0,0.475,0.049,581,6953,276,341,149,8
2020-08-30,28418,2760,48,1254,22,1015,343,133,155902,16826,329,60.62,0,0,0,0,0,0,0,0.4738,0.0401,458,6242,217,250,209,5
2020-08-31,25135,2622,57,971,22,921,264,130,136173,15061,325,59.86,0,0,0,0,0,0,0,0.4852,0.039900000000000005,439,5983,213,239,217,8
2020-09-01,28331,2804,50,924,22,955,264,138,149734,16161,317,58.4,0,0,0,0,0,0,0,0.4928,0.057999999999999996,690,6824,340,396,277,4
2020-09-02,23474,2178,30,665,14,672,246,72,125509,13189,320,59.08,0,0,0,0,0,0,0,0.5398,0.0504,465,5081,251,256,186,4
2020-09-03,16775,1686,18,474,13,527,162,72,91127,10032,325,60.03000000000001,0,0,0,0,0,0,0,0.5489,0.056600000000000004,399,3638,219,206,157,8
2020-09-04,14863,1440,29,427,8,450,175,44,80907,8476,326,60.150000000000006,0,0,0,0,0,0,0,0.5268999999999999,0.0444,279,3179,147,141,126,7
2020-09-05,15093,1563,21,475,14,376,144,38,85209,9308,338,62.38,0,0,0,0,0,0,0,0.5732,0.0437,321,3526,184,154,130,4
2020-09-06,18049,1748,27,433,8,385,150,55,103176,10387,342,63.17,0,0,0,0,0,0,0,0.5648,0.0425,324,3833,183,163,143,6
2020-09-07,19740,1974,17,505,15,478,172,63,112246,11799,341,62.83,0,0,0,0,0,0,0,0.5403,0.0438,335,4132,181,181,175,5
2020-09-08,18601,1718,18,481,12,444,142,73,101963,9881,328,60.57,0,0,0,0,0,0,0,0.5556,0.042800000000000005,360,4321,200,185,161,2
2020-09-09,14588,1363,21,426,9,382,132,36,79368,8049,326,60.12,0,0,0,0,0,0,0,0.5186999999999999,0.0441,268,3449,139,152,119,3
2020-09-10,9684,922,13,271,5,242,110,32,52338,5350,324,59.72,0,0,0,0,0,0,0,0.5473,0.0463,201,2224,110,103,93,4
2020-09-11,8165,752,5,191,6,207,100,30,45075,4401,331,61.0,0,0,0,0,0,0,0,0.525,0.0426,160,1901,84,81,77,4
2020-09-12,7780,787,13,156,4,178,96,20,44510,4663,343,63.22,0,0,0,0,0,0,0,0.5594,0.0437,143,1832,80,80,62,2
