videoID,day,likes
rx7UpLBR4vo,2020-08-28,2764
rx7UpLBR4vo,2020-08-29,1619
rx7UpLBR4vo,2020-08-30,1254
rx7UpLBR4vo,2020-08-31,971
rx7UpLBR4vo,2020-09-01,924
rx7UpLBR4vo,2020-09-02,665
rx7UpLBR4vo,2020-09-03,474
rx7UpLBR4vo,2020-09-04,427
rx7UpLBR4vo,2020-09-05,475
rx7UpLBR4vo,2020-09-06,433
rx7UpLBR4vo,2020-09-07,505
rx7UpLBR4vo,2020-09-08,481
rx7UpLBR4vo,2020-09-09,426
rx7UpLBR4vo,2020-09-10,271
rx7UpLBR4vo,2020-09-11,191
rx7UpLBR4vo,2020-09-12,156
rx7UpLBR4vo,2020-09-13,189
rx7UpLBR4vo,2020-09-14,96
rx7UpLBR4vo,2020-09-15,71
rx7UpLBR4vo,2020-09-16,74
rx7UpLBR4vo,2020-09-17,91
rx7UpLBR4vo,2020-09-18,88
rx7UpLBR4vo,2020-09-19,75
rx7UpLBR4vo,2020-09-20,64
rx7UpLBR4vo,2020-09-21,50
rx7UpLBR4vo,2020-09-22,50
rx7UpLBR4vo,2020-09-23,32
rx7UpLBR4vo,2020-09-24,30
rx7UpLBR4vo,2020-09-25,40
rx7UpLBR4vo,2020-09-26,64
rx7UpLBR4vo,2020-09-27,122
rx7UpLBR4vo,2020-09-28,192
rx7UpLBR4vo,2020-09-29,163
rx7UpLBR4vo,2020-09-30,147
rx7UpLBR4vo,2020-10-01,110
rx7UpLBR4vo,2020-10-02,97
rx7UpLBR4vo,2020-10-03,72
rx7UpLBR4vo,2020-10-04,55
rx7UpLBR4vo,2020-10-05,51
rx7UpLBR4vo,2020-10-06,33
rx7UpLBR4vo,2020-10-07,26
rx7UpLBR4vo,2020-10-08,20
rx7UpLBR4vo,2020-10-09,15
rx7UpLBR4vo,2020-10-10,25
rx7UpLBR4vo,2020-10-11,18
rx7UpLBR4vo,2020-10-12,15
rx7UpLBR4vo,2020-10-13,15
