day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-05-20,11907,889,48,980,12,844,178,49,51188,3913,257,68.78,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16
2019-05-21,9365,583,16,533,8,338,158,23,37879,2528,242,64.72,0,0,0,0,0,0,0,0,0,0,0,0,0,39,6
2019-05-22,6084,376,8,233,5,256,101,18,22632,1605,223,59.52,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0
2019-05-23,2206,149,6,87,1,78,44,1,7932,630,215,57.54,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2019-05-24,1431,75,2,47,4,60,40,6,5472,324,229,61.18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2019-05-25,1190,62,1,42,0,45,34,4,4467,258,225,60.06,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2019-05-26,1088,70,1,35,2,38,25,4,4109,300,226,60.43999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3
2019-05-27,772,52,0,33,0,22,21,1,2943,198,228,61.01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-05-28,459,30,0,14,0,9,16,0,1777,120,232,61.970000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2019-05-29,347,29,0,9,0,7,22,0,1371,122,237,63.24000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-05-30,261,23,0,8,0,4,13,4,1060,105,243,65.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-31,202,9,0,3,0,8,11,0,802,43,238,63.580000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-01,269,11,0,9,0,6,11,1,1030,47,229,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-06-02,270,20,1,11,1,5,8,1,1151,86,255,68.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-03,229,19,0,9,0,7,9,1,971,69,254,67.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-04,202,18,0,9,0,2,6,2,843,99,250,66.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-05,158,13,1,5,0,5,7,0,630,46,239,63.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-06,169,14,1,5,0,5,7,1,627,62,222,59.43999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-07,154,6,0,5,0,2,5,0,600,31,234,62.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2019-06-08,140,12,0,6,0,4,6,0,597,59,256,68.31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-09,175,13,0,3,0,4,8,0,634,62,217,58.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-10,149,9,0,7,1,0,2,3,530,40,213,57.00999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-06-11,148,8,0,5,0,3,3,0,557,44,226,60.309999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-12,133,16,0,4,0,0,6,0,500,62,225,60.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-13,126,11,0,9,1,0,2,1,490,40,233,62.28,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-06-14,141,9,0,8,0,4,3,1,567,44,241,64.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-15,99,10,0,6,0,2,1,0,373,36,226,60.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-16,100,7,0,3,0,4,4,0,396,31,237,63.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-17,84,6,0,1,0,0,4,0,346,31,247,66.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-18,87,10,0,2,0,2,2,0,402,43,277,74.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-19,71,7,0,2,0,0,3,1,267,41,226,60.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-20,56,5,0,-1,0,2,5,0,238,17,255,68.11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-21,66,5,0,2,0,0,3,0,258,20,235,62.74999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-06-22,55,7,0,0,0,0,4,0,216,26,236,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-23,78,4,0,1,0,0,5,0,316,5,243,64.94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-24,80,8,0,0,0,3,3,0,339,35,254,67.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-25,58,4,0,0,0,2,6,0,239,24,247,66.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-26,47,3,0,1,0,5,4,0,200,12,256,68.29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-27,57,1,0,3,0,3,14,1,220,2,232,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-28,56,3,0,2,0,1,2,0,225,16,241,64.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-29,75,3,0,5,0,1,3,0,361,11,289,77.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-30,79,8,0,2,0,2,5,0,339,24,257,68.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-01,85,5,0,4,0,0,2,0,385,24,272,72.62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-07-02,66,5,0,2,0,1,0,1,268,23,243,65.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-03,68,2,0,1,0,0,3,0,294,12,259,69.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-04,47,2,0,2,0,0,0,1,214,10,274,73.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-05,35,2,0,2,0,0,2,0,157,8,269,71.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-06,84,6,0,2,0,5,2,0,365,34,261,69.61,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-07-07,81,7,0,1,0,0,3,1,365,23,270,72.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-08,67,5,0,3,0,1,1,0,288,28,257,68.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-09,72,5,0,2,0,1,2,0,351,29,293,78.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-10,56,2,0,2,0,3,4,0,255,5,273,72.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-11,60,4,0,0,0,1,1,0,247,24,247,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-12,55,3,0,3,0,4,1,0,220,0,240,64.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-13,63,7,0,6,0,0,1,0,288,36,274,73.15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2019-07-14,68,5,0,2,0,0,2,0,252,29,222,59.31999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-15,87,5,0,3,0,0,1,0,415,18,286,76.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
