day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-02-23,20400,2707,118,1974,37,1021,371,226,16929,2315,49,82.99,0,0,0,0,0,0,0,0.521,0.0446,666,10300,347,459,19,7
2021-02-24,3157,367,7,204,5,71,111,28,2532,298,48,80.22,0,0,0,0,0,0,0,0.4359,0.026699999999999998,39,1124,17,30,7,0
2021-02-25,15559,1746,16,535,28,18,47,50,10574,1136,40,67.96,0,0,0,0,0,0,0,0.2857,0.0254,14,433,4,11,107,1
2021-02-26,15184,1558,19,483,23,15,20,41,9193,935,36,60.53999999999999,0,0,0,0,0,0,0,0.4118,0.0352,17,284,7,10,105,4
2021-02-27,5664,577,5,204,4,10,22,15,3804,447,40,67.16,0,0,0,0,0,0,0,0.5,0.0102,2,197,1,2,43,1
2021-02-28,3074,337,2,110,2,6,23,11,1939,208,37,63.1,0,0,0,0,0,0,0,0.0,0.0052,2,192,0,1,17,1
2021-03-01,1571,155,1,71,2,12,18,5,1063,101,40,67.68,0,0,0,0,0,0,0,0.2857,0.0362,7,138,2,5,17,0
2021-03-02,835,93,0,43,0,2,11,6,580,62,41,69.54,0,0,0,0,0,0,0,1.0,0.0323,2,93,2,3,8,0
2021-03-03,715,66,0,29,1,3,6,1,446,46,37,62.44,0,0,0,0,0,0,0,0.3333,0.0333,3,60,1,2,5,0
2021-03-04,723,67,0,17,1,1,4,4,416,39,34,57.59000000000001,0,0,0,0,0,0,0,0.0,0.02,1,50,0,1,4,0
2021-03-05,544,46,0,22,0,5,7,2,330,32,36,60.73,0,0,0,0,0,0,0,0.5,0.0588,4,51,2,3,3,0
2021-03-06,572,59,0,20,2,1,4,1,406,34,42,70.98,0,0,0,0,0,0,0,0.0,0.0,0,34,0,0,2,0
2021-03-07,575,59,0,27,0,1,8,7,362,41,37,63.1,0,0,0,0,0,0,0,0.0,0.0408,2,49,0,2,6,0
2021-03-08,479,45,0,19,0,3,6,2,359,76,44,74.96,0,0,0,0,0,0,0,0.3333,0.075,3,40,1,3,2,0
