videoID,day,likes
s46RCokXvWw,2021-02-23,1974
s46RCokXvWw,2021-02-24,204
s46RCokXvWw,2021-02-25,535
s46RCokXvWw,2021-02-26,483
s46RCokXvWw,2021-02-27,204
s46RCokXvWw,2021-02-28,110
s46RCokXvWw,2021-03-01,71
s46RCokXvWw,2021-03-02,43
s46RCokXvWw,2021-03-03,29
s46RCokXvWw,2021-03-04,17
s46RCokXvWw,2021-03-05,22
s46RCokXvWw,2021-03-06,20
s46RCokXvWw,2021-03-07,27
s46RCokXvWw,2021-03-08,19
s46RCokXvWw,2021-03-09,10
s46RCokXvWw,2021-03-10,13
s46RCokXvWw,2021-03-11,13
s46RCokXvWw,2021-03-12,20
s46RCokXvWw,2021-03-13,47
s46RCokXvWw,2021-03-14,41
s46RCokXvWw,2021-03-15,33
s46RCokXvWw,2021-03-16,35
s46RCokXvWw,2021-03-17,13
s46RCokXvWw,2021-03-18,15
s46RCokXvWw,2021-03-19,21
s46RCokXvWw,2021-03-20,14
s46RCokXvWw,2021-03-21,12
s46RCokXvWw,2021-03-22,22
s46RCokXvWw,2021-03-23,20
s46RCokXvWw,2021-03-24,22
s46RCokXvWw,2021-03-25,19
s46RCokXvWw,2021-03-26,20
s46RCokXvWw,2021-03-27,13
s46RCokXvWw,2021-03-28,15
s46RCokXvWw,2021-03-29,13
s46RCokXvWw,2021-03-30,8
s46RCokXvWw,2021-03-31,18
s46RCokXvWw,2021-04-01,29
s46RCokXvWw,2021-04-02,18
s46RCokXvWw,2021-04-03,10
s46RCokXvWw,2021-04-04,14
s46RCokXvWw,2021-04-05,12
s46RCokXvWw,2021-04-06,14
s46RCokXvWw,2021-04-07,5
s46RCokXvWw,2021-04-08,14
s46RCokXvWw,2021-04-09,14
s46RCokXvWw,2021-04-10,10
s46RCokXvWw,2021-04-11,5
s46RCokXvWw,2021-04-12,10
s46RCokXvWw,2021-04-13,9
s46RCokXvWw,2021-04-14,14
s46RCokXvWw,2021-04-15,16
s46RCokXvWw,2021-04-16,12
s46RCokXvWw,2021-04-17,14
s46RCokXvWw,2021-04-18,15
s46RCokXvWw,2021-04-19,17
s46RCokXvWw,2021-04-20,14
s46RCokXvWw,2021-04-21,18
s46RCokXvWw,2021-04-22,16
s46RCokXvWw,2021-04-23,18
s46RCokXvWw,2021-04-24,22
s46RCokXvWw,2021-04-25,26
s46RCokXvWw,2021-04-26,18
s46RCokXvWw,2021-04-27,22
s46RCokXvWw,2021-04-28,20
s46RCokXvWw,2021-04-29,13
s46RCokXvWw,2021-04-30,15
s46RCokXvWw,2021-05-01,11
s46RCokXvWw,2021-05-02,13
s46RCokXvWw,2021-05-03,10
s46RCokXvWw,2021-05-04,17
s46RCokXvWw,2021-05-05,13
s46RCokXvWw,2021-05-06,4
s46RCokXvWw,2021-05-07,5
s46RCokXvWw,2021-05-08,3
s46RCokXvWw,2021-05-09,9
s46RCokXvWw,2021-05-10,4
s46RCokXvWw,2021-05-11,3
s46RCokXvWw,2021-05-12,13
s46RCokXvWw,2021-05-13,15
s46RCokXvWw,2021-05-14,10
s46RCokXvWw,2021-05-15,10
s46RCokXvWw,2021-05-16,12
s46RCokXvWw,2021-05-17,18
s46RCokXvWw,2021-05-18,4
s46RCokXvWw,2021-05-19,6
s46RCokXvWw,2021-05-20,10
s46RCokXvWw,2021-05-21,8
s46RCokXvWw,2021-05-22,2
s46RCokXvWw,2021-05-23,5
s46RCokXvWw,2021-05-24,9
s46RCokXvWw,2021-05-25,7
s46RCokXvWw,2021-05-26,4
s46RCokXvWw,2021-05-27,2
s46RCokXvWw,2021-05-28,9
s46RCokXvWw,2021-05-29,6
s46RCokXvWw,2021-05-30,4
s46RCokXvWw,2021-05-31,2
s46RCokXvWw,2021-06-01,4
s46RCokXvWw,2021-06-02,3
s46RCokXvWw,2021-06-03,8
s46RCokXvWw,2021-06-04,5
s46RCokXvWw,2021-06-05,2
s46RCokXvWw,2021-06-06,7
s46RCokXvWw,2021-06-07,3
s46RCokXvWw,2021-06-08,4
s46RCokXvWw,2021-06-09,3
s46RCokXvWw,2021-06-10,2
s46RCokXvWw,2021-06-11,3
s46RCokXvWw,2021-06-12,4
s46RCokXvWw,2021-06-13,3
s46RCokXvWw,2021-06-14,1
s46RCokXvWw,2021-06-15,2
s46RCokXvWw,2021-06-16,3
s46RCokXvWw,2021-06-17,1
s46RCokXvWw,2021-06-18,5
s46RCokXvWw,2021-06-19,3
s46RCokXvWw,2021-06-20,6
s46RCokXvWw,2021-06-21,3
s46RCokXvWw,2021-06-22,7
s46RCokXvWw,2021-06-23,10
s46RCokXvWw,2021-06-24,11
s46RCokXvWw,2021-06-25,3
s46RCokXvWw,2021-06-26,7
s46RCokXvWw,2021-06-27,5
s46RCokXvWw,2021-06-28,6
s46RCokXvWw,2021-06-29,4
s46RCokXvWw,2021-06-30,2
s46RCokXvWw,2021-07-01,7
s46RCokXvWw,2021-07-02,6
s46RCokXvWw,2021-07-03,4
s46RCokXvWw,2021-07-04,6
s46RCokXvWw,2021-07-05,6
s46RCokXvWw,2021-07-06,6
s46RCokXvWw,2021-07-07,5
s46RCokXvWw,2021-07-08,2
s46RCokXvWw,2021-07-09,5
s46RCokXvWw,2021-07-10,7
s46RCokXvWw,2021-07-11,2
s46RCokXvWw,2021-07-12,2
s46RCokXvWw,2021-07-13,2
s46RCokXvWw,2021-07-14,5
s46RCokXvWw,2021-07-15,6
s46RCokXvWw,2021-07-16,9
s46RCokXvWw,2021-07-17,7
s46RCokXvWw,2021-07-18,7
s46RCokXvWw,2021-07-19,9
s46RCokXvWw,2021-07-20,3
s46RCokXvWw,2021-07-21,5
s46RCokXvWw,2021-07-22,6
s46RCokXvWw,2021-07-23,3
s46RCokXvWw,2021-07-24,2
s46RCokXvWw,2021-07-25,4
s46RCokXvWw,2021-07-26,0
s46RCokXvWw,2021-07-27,3
s46RCokXvWw,2021-07-28,7
s46RCokXvWw,2021-07-29,1
s46RCokXvWw,2021-07-30,5
s46RCokXvWw,2021-07-31,6
s46RCokXvWw,2021-08-01,6
s46RCokXvWw,2021-08-02,5
s46RCokXvWw,2021-08-03,7
s46RCokXvWw,2021-08-04,2
s46RCokXvWw,2021-08-05,6
s46RCokXvWw,2021-08-06,2
s46RCokXvWw,2021-08-07,4
s46RCokXvWw,2021-08-08,1
s46RCokXvWw,2021-08-09,3
s46RCokXvWw,2021-08-10,3
s46RCokXvWw,2021-08-11,4
s46RCokXvWw,2021-08-12,5
s46RCokXvWw,2021-08-13,3
s46RCokXvWw,2021-08-14,0
s46RCokXvWw,2021-08-15,1
s46RCokXvWw,2021-08-16,0
s46RCokXvWw,2021-08-17,3
s46RCokXvWw,2021-08-18,1
s46RCokXvWw,2021-08-19,1
s46RCokXvWw,2021-08-20,1
s46RCokXvWw,2021-08-21,2
s46RCokXvWw,2021-08-22,4
s46RCokXvWw,2021-08-23,2
s46RCokXvWw,2021-08-24,3
s46RCokXvWw,2021-08-25,3
s46RCokXvWw,2021-08-26,2
s46RCokXvWw,2021-08-27,5
s46RCokXvWw,2021-08-28,4
s46RCokXvWw,2021-08-29,2
s46RCokXvWw,2021-08-30,2
s46RCokXvWw,2021-08-31,4
s46RCokXvWw,2021-09-01,2
s46RCokXvWw,2021-09-02,3
s46RCokXvWw,2021-09-03,0
s46RCokXvWw,2021-09-04,2
s46RCokXvWw,2021-09-05,1
s46RCokXvWw,2021-09-06,2
s46RCokXvWw,2021-09-07,3
s46RCokXvWw,2021-09-08,2
s46RCokXvWw,2021-09-09,3
s46RCokXvWw,2021-09-10,2
s46RCokXvWw,2021-09-11,5
s46RCokXvWw,2021-09-12,2
s46RCokXvWw,2021-09-13,3
s46RCokXvWw,2021-09-14,0
s46RCokXvWw,2021-09-15,2
s46RCokXvWw,2021-09-16,0
s46RCokXvWw,2021-09-17,1
