day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2022-01-22,381617,41958,530,14065,183,8232,1287,2494,2021361,274204,317,52.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1514,82
2022-01-23,259028,22379,255,6292,131,3968,1071,1744,1126064,130962,260,42.69,0,0,0,0,0,0,0,0,0,0,0,0,0,1114,43
2022-01-24,285365,31254,212,6483,107,4499,875,1750,1329405,187072,279,45.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1240,40
2022-01-25,360487,41011,264,7697,141,5929,1030,2071,1646409,238809,274,44.85,0,0,0,0,0,0,0,0,0,0,0,0,0,1677,55
2022-01-26,296671,29522,190,5567,86,5172,890,1703,1248289,161895,252,41.32,0,0,0,0,0,0,0,0,0,0,0,0,0,1284,40
2022-01-27,332423,30873,193,5476,84,5356,861,1630,1295315,162285,233,38.26,0,0,0,0,0,0,0,0,0,0,0,0,0,1267,39
2022-01-28,319638,28311,162,4914,63,4728,871,1448,1208683,144231,226,37.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,43
2022-01-29,218646,19721,98,3814,56,3196,755,975,823359,99506,225,36.98,0,0,0,0,0,0,0,0,0,0,0,0,0,958,28
2022-01-30,157657,15023,77,2593,53,2512,739,706,595421,76320,226,37.09,0,0,0,0,0,0,0,0,0,0,0,0,0,658,24
2022-01-31,105712,9235,51,1713,36,1500,544,561,393444,46640,223,36.55,0,0,0,0,0,0,0,0,0,0,0,0,0,369,13
2022-02-01,94251,8202,41,1605,31,1471,500,486,343505,40134,218,35.79,0,0,0,0,0,0,0,0,0,0,0,0,0,359,5
2022-02-02,67350,5736,32,1164,31,971,394,370,247824,28336,220,36.13,0,0,0,0,0,0,0,0,0,0,0,0,0,297,13
2022-02-03,48904,4104,18,880,20,722,328,279,181496,20469,222,36.44,0,0,0,0,0,0,0,0,0,0,0,0,0,258,12
2022-02-04,38669,3540,12,641,16,571,264,227,148986,17433,231,37.83,0,0,0,0,0,0,0,0,0,0,0,0,0,146,7
2022-02-05,40236,3813,15,644,18,520,248,175,153940,18305,229,37.57,0,0,0,0,0,0,0,0,0,0,0,0,0,131,2
2022-02-06,50354,5013,24,823,20,668,276,208,189063,24389,225,36.87,0,0,0,0,0,0,0,0,0,0,0,0,0,170,8
2022-02-07,24069,2414,9,468,8,383,246,158,93725,12177,233,38.24,0,0,0,0,0,0,0,0,0,0,0,0,0,89,3
2022-02-08,19143,1910,10,356,8,313,215,118,74466,9577,233,38.2,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1
2022-02-09,16788,1805,7,305,6,285,168,129,63526,8624,227,37.16,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1
2022-02-10,14465,1551,9,253,4,255,166,82,56252,7797,233,38.19,0,0,0,0,0,0,0,0,0,0,0,0,0,49,3
2022-02-11,15396,1515,10,313,5,268,142,87,58457,7449,227,37.29,0,0,0,0,0,0,0,0,0,0,0,0,0,61,3
2022-02-12,14427,1474,9,266,5,221,139,57,55611,7097,231,37.85,0,0,0,0,0,0,0,0,0,0,0,0,0,52,2
2022-02-13,14375,1498,10,285,8,221,168,61,54020,7391,225,36.9,0,0,0,0,0,0,0,0,0,0,0,0,0,59,2
2022-02-14,13683,1395,9,277,4,233,138,56,52940,7100,232,37.99,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2
2022-02-15,19723,2171,15,369,10,318,167,82,76227,11435,231,37.95,0,0,0,0,0,0,0,0,0,0,0,0,0,73,2
2022-02-16,19195,2104,12,368,11,328,159,72,74201,10722,231,37.96,0,0,0,0,0,0,0,0,0,0,0,0,0,80,2
2022-02-17,14335,1451,10,283,10,230,130,72,53267,7085,222,36.49,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
2022-02-18,13196,1267,6,246,11,219,138,64,46745,5792,212,34.79,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0
2022-02-19,10301,1008,12,173,10,139,123,44,36484,4816,212,34.78,0,0,0,0,0,0,0,0,0,0,0,0,0,38,4
2022-02-20,9559,1106,12,159,6,155,111,48,36904,5466,231,37.91,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
2022-02-21,10241,961,12,175,6,104,114,44,37793,4721,221,36.24,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
2022-02-22,8475,672,10,146,4,113,124,64,31807,3115,225,36.86,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3
2022-02-23,5590,465,4,102,4,69,84,59,20937,2178,224,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1
2022-02-24,7323,406,2,71,3,59,89,33,24620,1662,201,33.02,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
2022-02-25,3399,289,1,60,2,26,70,25,12094,1180,213,34.94,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2022-02-26,2679,218,2,46,0,66,84,16,9592,1036,214,35.16,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
