videoID,day,likes
sZZVVwqZ0rs,2022-01-22,14065
sZZVVwqZ0rs,2022-01-23,6292
sZZVVwqZ0rs,2022-01-24,6483
sZZVVwqZ0rs,2022-01-25,7697
sZZVVwqZ0rs,2022-01-26,5567
sZZVVwqZ0rs,2022-01-27,5476
sZZVVwqZ0rs,2022-01-28,4914
sZZVVwqZ0rs,2022-01-29,3814
sZZVVwqZ0rs,2022-01-30,2593
sZZVVwqZ0rs,2022-01-31,1713
sZZVVwqZ0rs,2022-02-01,1605
sZZVVwqZ0rs,2022-02-02,1164
sZZVVwqZ0rs,2022-02-03,880
sZZVVwqZ0rs,2022-02-04,641
sZZVVwqZ0rs,2022-02-05,644
sZZVVwqZ0rs,2022-02-06,823
sZZVVwqZ0rs,2022-02-07,468
sZZVVwqZ0rs,2022-02-08,356
sZZVVwqZ0rs,2022-02-09,305
sZZVVwqZ0rs,2022-02-10,253
sZZVVwqZ0rs,2022-02-11,313
sZZVVwqZ0rs,2022-02-12,266
sZZVVwqZ0rs,2022-02-13,285
sZZVVwqZ0rs,2022-02-14,277
sZZVVwqZ0rs,2022-02-15,369
sZZVVwqZ0rs,2022-02-16,368
sZZVVwqZ0rs,2022-02-17,283
sZZVVwqZ0rs,2022-02-18,246
sZZVVwqZ0rs,2022-02-19,173
sZZVVwqZ0rs,2022-02-20,159
sZZVVwqZ0rs,2022-02-21,175
sZZVVwqZ0rs,2022-02-22,146
sZZVVwqZ0rs,2022-02-23,102
sZZVVwqZ0rs,2022-02-24,71
sZZVVwqZ0rs,2022-02-25,60
sZZVVwqZ0rs,2022-02-26,46
sZZVVwqZ0rs,2022-02-27,35
sZZVVwqZ0rs,2022-02-28,23
sZZVVwqZ0rs,2022-03-01,25
sZZVVwqZ0rs,2022-03-02,29
sZZVVwqZ0rs,2022-03-03,29
sZZVVwqZ0rs,2022-03-04,21
sZZVVwqZ0rs,2022-03-05,21
sZZVVwqZ0rs,2022-03-06,22
sZZVVwqZ0rs,2022-03-07,22
sZZVVwqZ0rs,2022-03-08,18
sZZVVwqZ0rs,2022-03-09,23
sZZVVwqZ0rs,2022-03-10,25
sZZVVwqZ0rs,2022-03-11,22
sZZVVwqZ0rs,2022-03-12,28
sZZVVwqZ0rs,2022-03-13,27
sZZVVwqZ0rs,2022-03-14,20
