videoID,day,likes
tCmC0XOKO5Q,2021-01-05,2750
tCmC0XOKO5Q,2021-01-06,759
tCmC0XOKO5Q,2021-01-07,319
tCmC0XOKO5Q,2021-01-08,224
tCmC0XOKO5Q,2021-01-09,475
tCmC0XOKO5Q,2021-01-10,865
tCmC0XOKO5Q,2021-01-11,562
tCmC0XOKO5Q,2021-01-12,358
tCmC0XOKO5Q,2021-01-13,195
tCmC0XOKO5Q,2021-01-14,127
tCmC0XOKO5Q,2021-01-15,119
tCmC0XOKO5Q,2021-01-16,101
tCmC0XOKO5Q,2021-01-17,78
tCmC0XOKO5Q,2021-01-18,103
tCmC0XOKO5Q,2021-01-19,86
tCmC0XOKO5Q,2021-01-20,81
tCmC0XOKO5Q,2021-01-21,73
tCmC0XOKO5Q,2021-01-22,70
tCmC0XOKO5Q,2021-01-23,56
tCmC0XOKO5Q,2021-01-24,73
tCmC0XOKO5Q,2021-01-25,74
tCmC0XOKO5Q,2021-01-26,61
tCmC0XOKO5Q,2021-01-27,63
tCmC0XOKO5Q,2021-01-28,35
tCmC0XOKO5Q,2021-01-29,55
tCmC0XOKO5Q,2021-01-30,62
tCmC0XOKO5Q,2021-01-31,62
tCmC0XOKO5Q,2021-02-01,44
tCmC0XOKO5Q,2021-02-02,43
tCmC0XOKO5Q,2021-02-03,36
tCmC0XOKO5Q,2021-02-04,30
tCmC0XOKO5Q,2021-02-05,28
tCmC0XOKO5Q,2021-02-06,26
tCmC0XOKO5Q,2021-02-07,19
tCmC0XOKO5Q,2021-02-08,17
tCmC0XOKO5Q,2021-02-09,23
tCmC0XOKO5Q,2021-02-10,13
tCmC0XOKO5Q,2021-02-11,15
tCmC0XOKO5Q,2021-02-12,15
tCmC0XOKO5Q,2021-02-13,10
tCmC0XOKO5Q,2021-02-14,15
tCmC0XOKO5Q,2021-02-15,17
tCmC0XOKO5Q,2021-02-16,19
tCmC0XOKO5Q,2021-02-17,18
tCmC0XOKO5Q,2021-02-18,16
tCmC0XOKO5Q,2021-02-19,16
tCmC0XOKO5Q,2021-02-20,17
tCmC0XOKO5Q,2021-02-21,27
tCmC0XOKO5Q,2021-02-22,18
tCmC0XOKO5Q,2021-02-23,18
tCmC0XOKO5Q,2021-02-24,10
tCmC0XOKO5Q,2021-02-25,17
tCmC0XOKO5Q,2021-02-26,16
tCmC0XOKO5Q,2021-02-27,12
tCmC0XOKO5Q,2021-02-28,8
tCmC0XOKO5Q,2021-03-01,23
tCmC0XOKO5Q,2021-03-02,8
tCmC0XOKO5Q,2021-03-03,12
tCmC0XOKO5Q,2021-03-04,18
tCmC0XOKO5Q,2021-03-05,16
tCmC0XOKO5Q,2021-03-06,7
tCmC0XOKO5Q,2021-03-07,13
tCmC0XOKO5Q,2021-03-08,13
tCmC0XOKO5Q,2021-03-09,12
tCmC0XOKO5Q,2021-03-10,12
tCmC0XOKO5Q,2021-03-11,11
tCmC0XOKO5Q,2021-03-12,12
tCmC0XOKO5Q,2021-03-13,16
tCmC0XOKO5Q,2021-03-14,14
tCmC0XOKO5Q,2021-03-15,11
tCmC0XOKO5Q,2021-03-16,6
tCmC0XOKO5Q,2021-03-17,9
tCmC0XOKO5Q,2021-03-18,4
tCmC0XOKO5Q,2021-03-19,8
tCmC0XOKO5Q,2021-03-20,15
tCmC0XOKO5Q,2021-03-21,9
tCmC0XOKO5Q,2021-03-22,11
tCmC0XOKO5Q,2021-03-23,6
tCmC0XOKO5Q,2021-03-24,11
tCmC0XOKO5Q,2021-03-25,16
tCmC0XOKO5Q,2021-03-26,17
tCmC0XOKO5Q,2021-03-27,19
tCmC0XOKO5Q,2021-03-28,26
tCmC0XOKO5Q,2021-03-29,23
tCmC0XOKO5Q,2021-03-30,14
tCmC0XOKO5Q,2021-03-31,18
tCmC0XOKO5Q,2021-04-01,19
tCmC0XOKO5Q,2021-04-02,11
tCmC0XOKO5Q,2021-04-03,14
tCmC0XOKO5Q,2021-04-04,19
tCmC0XOKO5Q,2021-04-05,11
tCmC0XOKO5Q,2021-04-06,12
tCmC0XOKO5Q,2021-04-07,4
tCmC0XOKO5Q,2021-04-08,16
tCmC0XOKO5Q,2021-04-09,13
tCmC0XOKO5Q,2021-04-10,11
tCmC0XOKO5Q,2021-04-11,9
tCmC0XOKO5Q,2021-04-12,12
tCmC0XOKO5Q,2021-04-13,16
tCmC0XOKO5Q,2021-04-14,21
tCmC0XOKO5Q,2021-04-15,20
tCmC0XOKO5Q,2021-04-16,18
tCmC0XOKO5Q,2021-04-17,22
tCmC0XOKO5Q,2021-04-18,21
tCmC0XOKO5Q,2021-04-19,14
tCmC0XOKO5Q,2021-04-20,35
tCmC0XOKO5Q,2021-04-21,61
tCmC0XOKO5Q,2021-04-22,55
tCmC0XOKO5Q,2021-04-23,66
tCmC0XOKO5Q,2021-04-24,48
tCmC0XOKO5Q,2021-04-25,63
tCmC0XOKO5Q,2021-04-26,58
tCmC0XOKO5Q,2021-04-27,51
tCmC0XOKO5Q,2021-04-28,57
tCmC0XOKO5Q,2021-04-29,65
tCmC0XOKO5Q,2021-04-30,85
tCmC0XOKO5Q,2021-05-01,95
tCmC0XOKO5Q,2021-05-02,90
tCmC0XOKO5Q,2021-05-03,115
tCmC0XOKO5Q,2021-05-04,113
tCmC0XOKO5Q,2021-05-05,137
tCmC0XOKO5Q,2021-05-06,173
tCmC0XOKO5Q,2021-05-07,175
tCmC0XOKO5Q,2021-05-08,216
tCmC0XOKO5Q,2021-05-09,281
tCmC0XOKO5Q,2021-05-10,267
tCmC0XOKO5Q,2021-05-11,192
tCmC0XOKO5Q,2021-05-12,228
tCmC0XOKO5Q,2021-05-13,169
tCmC0XOKO5Q,2021-05-14,179
tCmC0XOKO5Q,2021-05-15,197
tCmC0XOKO5Q,2021-05-16,189
tCmC0XOKO5Q,2021-05-17,186
tCmC0XOKO5Q,2021-05-18,210
tCmC0XOKO5Q,2021-05-19,257
tCmC0XOKO5Q,2021-05-20,246
tCmC0XOKO5Q,2021-05-21,313
tCmC0XOKO5Q,2021-05-22,382
tCmC0XOKO5Q,2021-05-23,473
tCmC0XOKO5Q,2021-05-24,431
tCmC0XOKO5Q,2021-05-25,306
tCmC0XOKO5Q,2021-05-26,295
tCmC0XOKO5Q,2021-05-27,202
tCmC0XOKO5Q,2021-05-28,147
tCmC0XOKO5Q,2021-05-29,188
tCmC0XOKO5Q,2021-05-30,214
tCmC0XOKO5Q,2021-05-31,175
tCmC0XOKO5Q,2021-06-01,127
tCmC0XOKO5Q,2021-06-02,158
tCmC0XOKO5Q,2021-06-03,127
tCmC0XOKO5Q,2021-06-04,149
tCmC0XOKO5Q,2021-06-05,138
tCmC0XOKO5Q,2021-06-06,165
tCmC0XOKO5Q,2021-06-07,131
tCmC0XOKO5Q,2021-06-08,170
tCmC0XOKO5Q,2021-06-09,144
tCmC0XOKO5Q,2021-06-10,163
tCmC0XOKO5Q,2021-06-11,144
tCmC0XOKO5Q,2021-06-12,121
tCmC0XOKO5Q,2021-06-13,173
tCmC0XOKO5Q,2021-06-14,96
tCmC0XOKO5Q,2021-06-15,86
tCmC0XOKO5Q,2021-06-16,84
tCmC0XOKO5Q,2021-06-17,74
tCmC0XOKO5Q,2021-06-18,53
tCmC0XOKO5Q,2021-06-19,53
tCmC0XOKO5Q,2021-06-20,57
tCmC0XOKO5Q,2021-06-21,52
tCmC0XOKO5Q,2021-06-22,64
tCmC0XOKO5Q,2021-06-23,57
tCmC0XOKO5Q,2021-06-24,54
tCmC0XOKO5Q,2021-06-25,63
tCmC0XOKO5Q,2021-06-26,48
tCmC0XOKO5Q,2021-06-27,47
tCmC0XOKO5Q,2021-06-28,47
tCmC0XOKO5Q,2021-06-29,52
tCmC0XOKO5Q,2021-06-30,38
tCmC0XOKO5Q,2021-07-01,55
tCmC0XOKO5Q,2021-07-02,51
tCmC0XOKO5Q,2021-07-03,46
