day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-07-17,30070,2990,375,2691,39,2578,401,185,307436,32200,613,61.47,0,0,0,0,0,0,0,0.0767,0.011899999999999999,1316,39487,101,469,63,24
2020-07-18,27504,2670,215,1506,35,1382,361,78,264638,27871,577,57.85,0,0,0,0,0,0,0,0.0708,0.0103,848,28549,60,295,130,6
2020-07-19,19433,1761,105,916,23,821,323,64,180079,17586,556,55.71,0,0,0,0,0,0,0,0.0663,0.009899999999999999,513,19460,34,192,115,4
2020-07-20,8376,704,50,410,13,354,219,32,74821,7017,535,53.7,0,0,0,0,0,0,0,0.0833,0.0096,228,8573,19,82,50,6
2020-07-21,26640,2347,105,1005,24,1045,255,91,230607,22448,519,52.04,0,0,0,0,0,0,0,0.06269999999999999,0.009399999999999999,861,28173,54,265,190,4
2020-07-22,30188,2186,112,1013,39,1071,244,99,241500,19958,479,48.1,0,0,0,0,0,0,0,0.07429999999999999,0.009000000000000001,1130,33198,84,300,224,5
2020-07-23,22643,1452,79,673,15,606,207,65,166970,12322,442,44.33,0,0,0,0,0,0,0,0.058600000000000006,0.009899999999999999,888,22850,52,227,227,10
2020-07-24,23893,1307,74,557,19,606,193,74,161139,10888,404,40.55,0,0,0,0,0,0,0,0.0496,0.0104,807,22476,40,234,188,6
2020-07-25,26336,1668,63,597,21,622,177,73,172112,13392,392,39.29,0,0,0,0,0,0,0,0.0449,0.0105,957,24266,43,256,211,4
2020-07-26,27850,1839,70,590,28,679,197,70,187926,14842,404,40.57,0,0,0,0,0,0,0,0.0434,0.0096,945,26588,41,255,230,2
2020-07-27,22389,1424,47,472,19,553,182,27,142879,11184,382,38.37,0,0,0,0,0,0,0,0.0407,0.009399999999999999,761,21072,31,198,177,2
2020-07-28,14323,934,33,307,15,360,133,30,88803,6953,372,37.27,0,0,0,0,0,0,0,0.04650000000000001,0.0106,516,13149,24,139,93,1
2020-07-29,11941,705,21,268,13,338,126,24,75653,5368,380,38.09,0,0,0,0,0,0,0,0.0432,0.0103,417,11019,18,113,90,1
2020-07-30,10798,627,24,197,8,266,108,19,66551,4413,369,37.05,0,0,0,0,0,0,0,0.0554,0.0111,415,9670,23,107,59,0
2020-07-31,5202,341,13,129,6,133,94,10,33612,2636,387,38.85,0,0,0,0,0,0,0,0.0239,0.0121,209,4879,5,59,51,4
2020-08-01,3842,254,5,90,2,78,70,5,24308,1966,379,38.04,0,0,0,0,0,0,0,0.0876,0.0095,137,3563,12,34,28,1
2020-08-02,3397,215,6,76,3,78,68,5,23943,1740,422,42.38,0,0,0,0,0,0,0,0.0684,0.008,117,3483,8,28,28,1
2020-08-03,1777,114,6,38,2,39,54,3,13599,1243,459,46.01,0,0,0,0,0,0,0,0.04,0.009300000000000001,50,1940,2,18,17,0
2020-08-04,1703,141,2,39,2,53,43,8,12775,1072,450,45.1,0,0,0,0,0,0,0,0.11539999999999999,0.0097,78,1957,9,19,4,0
2020-08-05,1522,111,2,35,4,34,45,3,11650,1000,459,46.02,0,0,0,0,0,0,0,0.0864,0.0128,81,1638,7,21,7,0
2020-08-06,1342,104,6,41,2,27,37,4,10487,996,468,46.98,0,0,0,0,0,0,0,0.069,0.013999999999999999,58,1570,4,22,15,0
2020-08-07,1207,98,2,37,0,26,35,8,9755,928,484,48.59,0,0,0,0,0,0,0,0.0794,0.009300000000000001,63,1399,5,13,7,1
2020-08-08,1417,136,6,39,2,26,46,3,10698,1047,453,45.39,0,0,0,0,0,0,0,0.0286,0.0154,70,1425,2,22,6,2
2020-08-09,1203,101,12,37,0,26,28,4,9484,835,473,47.4,0,0,0,0,0,0,0,0.1184,0.0192,76,1250,9,24,6,0
2020-08-10,1131,91,2,36,0,24,38,2,9509,838,504,50.55,0,0,0,0,0,0,0,0.0833,0.013999999999999999,60,1289,5,18,9,0
2020-08-11,1217,99,3,27,3,20,39,3,9784,887,482,48.34,0,0,0,0,0,0,0,0.0,0.0031,20,1309,0,4,10,1
2020-08-12,1411,125,3,29,1,26,34,2,11126,1115,473,47.41,0,0,0,0,0,0,0,0.0408,0.008199999999999999,49,1472,2,12,7,0
2020-08-13,1724,135,3,48,1,37,36,8,13082,1012,455,45.62,0,0,0,0,0,0,0,0.1,0.013999999999999999,70,1854,7,26,12,0
2020-08-14,1709,131,1,33,4,27,29,5,13013,1257,456,45.78,0,0,0,0,0,0,0,0.0137,0.009899999999999999,73,1816,1,18,10,0
2020-08-15,2122,184,10,31,4,37,35,3,17265,1699,488,48.92,0,0,0,0,0,0,0,0.0385,0.008199999999999999,78,2183,3,18,16,1
2020-08-16,2241,180,6,49,5,42,32,2,18013,1569,482,48.33,0,0,0,0,0,0,0,0.087,0.0048,46,2274,4,11,11,0
2020-08-17,1595,133,2,34,0,27,25,4,13720,1327,516,51.72,0,0,0,0,0,0,0,0.037000000000000005,0.0097,54,1749,2,17,5,0
2020-08-18,1230,91,1,27,2,28,36,1,10244,956,499,50.07,0,0,0,0,0,0,0,0.0877,0.009899999999999999,57,1418,5,14,10,0
2020-08-19,1229,71,2,25,3,15,19,2,9380,602,457,45.89,0,0,0,0,0,0,0,0.07690000000000001,0.0052,26,1348,2,7,10,0
2020-08-20,1093,75,1,20,2,17,22,6,8595,539,471,47.28,0,0,0,0,0,0,0,0.051699999999999996,0.0127,58,1100,3,14,8,0
2020-08-21,1042,64,7,16,0,22,20,4,7720,664,444,44.55,0,0,0,0,0,0,0,0.08470000000000001,0.0105,59,1052,5,11,3,1
2020-08-22,1060,63,1,26,0,17,21,2,8165,529,462,46.31,0,0,0,0,0,0,0,0.024399999999999998,0.011000000000000001,41,1181,1,13,7,1
2020-08-23,1100,86,3,19,0,18,23,0,8848,720,482,48.36,0,0,0,0,0,0,0,0.0222,0.0096,45,1142,1,11,5,0
2020-08-24,1329,83,2,24,2,23,18,2,10042,707,453,45.43,0,0,0,0,0,0,0,0.0746,0.0096,67,1460,5,14,13,0
2020-08-25,1304,77,5,27,1,26,18,2,10631,697,489,49.02,0,0,0,0,0,0,0,0.102,0.008100000000000001,49,1365,5,11,14,1
2020-08-26,1271,67,1,20,2,28,17,3,9141,589,431,43.24,0,0,0,0,0,0,0,0.11320000000000001,0.006500000000000001,53,1224,6,8,10,0
2020-08-27,1170,62,2,19,1,22,21,2,9006,562,461,46.28,0,0,0,0,0,0,0,0.12,0.0085,50,1289,6,11,5,1
2020-08-28,1078,65,4,34,1,15,13,2,8557,607,476,47.73,0,0,0,0,0,0,0,0.037000000000000005,0.011899999999999999,54,1257,2,15,12,1
2020-08-29,1162,79,3,35,0,26,28,4,9106,686,470,47.12,0,0,0,0,0,0,0,0.0857,0.0069,35,1295,3,9,11,0
2020-08-30,1378,100,4,23,0,35,18,2,11121,1050,484,48.52,0,0,0,0,0,0,0,0.11289999999999999,0.0089,62,1576,7,14,10,1
