day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2020-06-16,38748,3601,171,3464,43,2231,456,238,270904,26036,419,67.33,0,0,0,0,0,0,0,0.1638,0.019799999999999998,403,16740,66,332,83,13
2020-06-17,19538,1615,37,1153,13,592,325,94,132273,11421,406,65.2,0,0,0,0,0,0,0,0.1752,0.0143,137,7551,24,108,80,5
2020-06-18,13087,1100,32,656,7,401,176,61,85565,7373,392,62.970000000000006,0,0,0,0,0,0,0,0.1978,0.013600000000000001,91,4784,18,65,66,6
2020-06-19,13916,1134,23,650,12,433,148,48,90822,7767,391,62.86000000000001,0,0,0,0,0,0,0,0.1495,0.0148,107,5352,16,79,65,4
2020-06-20,12038,1061,18,493,13,297,126,32,79294,7354,395,63.44,0,0,0,0,0,0,0,0.20309999999999997,0.0103,64,4367,13,45,71,3
2020-06-21,15042,1326,17,623,13,422,122,39,98364,9147,392,62.97999999999999,0,0,0,0,0,0,0,0.2375,0.0116,80,5520,19,64,82,3
2020-06-22,15323,1314,28,569,15,373,100,54,99077,8782,387,62.27,0,0,0,0,0,0,0,0.1928,0.0125,83,5509,16,69,93,3
2020-06-23,11723,1074,18,472,18,264,124,37,73696,7016,377,60.53999999999999,0,0,0,0,0,0,0,0.16899999999999998,0.013000000000000001,71,4225,12,55,62,1
2020-06-24,9965,746,8,265,5,183,81,22,59490,4743,358,57.49999999999999,0,0,0,0,0,0,0,0.2,0.01,40,3210,8,32,60,0
2020-06-25,6297,571,13,233,3,137,62,24,38946,3733,371,59.57,0,0,0,0,0,0,0,0.24489999999999998,0.0155,49,2199,12,34,38,1
2020-06-26,6778,542,5,222,6,134,54,14,41745,3354,369,59.31999999999999,0,0,0,0,0,0,0,0.15,0.013300000000000001,40,2487,6,33,37,2
2020-06-27,5472,463,8,176,3,121,56,16,34170,2934,374,60.14000000000001,0,0,0,0,0,0,0,0.1429,0.0143,28,1886,4,27,42,3
2020-06-28,6448,602,9,188,8,146,51,11,40692,3925,378,60.78,0,0,0,0,0,0,0,0.2353,0.009899999999999999,34,2313,8,23,38,0
2020-06-29,5330,508,7,200,4,120,54,17,32895,3259,370,59.43999999999999,0,0,0,0,0,0,0,0.1613,0.014199999999999999,31,1900,5,27,38,0
2020-06-30,6359,575,6,182,7,134,49,15,39246,3659,370,59.43999999999999,0,0,0,0,0,0,0,0.2121,0.0095,33,2220,7,21,56,2
