videoID,day,likes
tyMbktsAScE,2020-06-16,3464
tyMbktsAScE,2020-06-17,1153
tyMbktsAScE,2020-06-18,656
tyMbktsAScE,2020-06-19,650
tyMbktsAScE,2020-06-20,493
tyMbktsAScE,2020-06-21,623
tyMbktsAScE,2020-06-22,569
tyMbktsAScE,2020-06-23,472
tyMbktsAScE,2020-06-24,265
tyMbktsAScE,2020-06-25,233
tyMbktsAScE,2020-06-26,222
tyMbktsAScE,2020-06-27,176
tyMbktsAScE,2020-06-28,188
tyMbktsAScE,2020-06-29,200
tyMbktsAScE,2020-06-30,182
tyMbktsAScE,2020-07-01,370
tyMbktsAScE,2020-07-02,534
tyMbktsAScE,2020-07-03,502
tyMbktsAScE,2020-07-04,442
tyMbktsAScE,2020-07-05,394
tyMbktsAScE,2020-07-06,226
tyMbktsAScE,2020-07-07,201
tyMbktsAScE,2020-07-08,144
tyMbktsAScE,2020-07-09,194
tyMbktsAScE,2020-07-10,212
tyMbktsAScE,2020-07-11,248
tyMbktsAScE,2020-07-12,283
tyMbktsAScE,2020-07-13,193
tyMbktsAScE,2020-07-14,202
tyMbktsAScE,2020-07-15,238
tyMbktsAScE,2020-07-16,217
tyMbktsAScE,2020-07-17,203
tyMbktsAScE,2020-07-18,163
tyMbktsAScE,2020-07-19,158
tyMbktsAScE,2020-07-20,154
tyMbktsAScE,2020-07-21,146
tyMbktsAScE,2020-07-22,168
tyMbktsAScE,2020-07-23,137
tyMbktsAScE,2020-07-24,125
tyMbktsAScE,2020-07-25,158
tyMbktsAScE,2020-07-26,194
tyMbktsAScE,2020-07-27,153
tyMbktsAScE,2020-07-28,118
tyMbktsAScE,2020-07-29,123
tyMbktsAScE,2020-07-30,135
tyMbktsAScE,2020-07-31,80
tyMbktsAScE,2020-08-01,84
tyMbktsAScE,2020-08-02,106
tyMbktsAScE,2020-08-03,127
tyMbktsAScE,2020-08-04,133
tyMbktsAScE,2020-08-05,110
tyMbktsAScE,2020-08-06,125
tyMbktsAScE,2020-08-07,86
tyMbktsAScE,2020-08-08,83
tyMbktsAScE,2020-08-09,111
tyMbktsAScE,2020-08-10,92
tyMbktsAScE,2020-08-11,83
tyMbktsAScE,2020-08-12,104
tyMbktsAScE,2020-08-13,85
tyMbktsAScE,2020-08-14,72
tyMbktsAScE,2020-08-15,115
tyMbktsAScE,2020-08-16,123
tyMbktsAScE,2020-08-17,90
tyMbktsAScE,2020-08-18,120
tyMbktsAScE,2020-08-19,123
tyMbktsAScE,2020-08-20,107
tyMbktsAScE,2020-08-21,87
tyMbktsAScE,2020-08-22,85
tyMbktsAScE,2020-08-23,75
tyMbktsAScE,2020-08-24,73
tyMbktsAScE,2020-08-25,66
tyMbktsAScE,2020-08-26,59
tyMbktsAScE,2020-08-27,55
tyMbktsAScE,2020-08-28,57
tyMbktsAScE,2020-08-29,61
tyMbktsAScE,2020-08-30,53
tyMbktsAScE,2020-08-31,96
tyMbktsAScE,2020-09-01,154
tyMbktsAScE,2020-09-02,216
tyMbktsAScE,2020-09-03,244
tyMbktsAScE,2020-09-04,392
tyMbktsAScE,2020-09-05,384
tyMbktsAScE,2020-09-06,684
tyMbktsAScE,2020-09-07,1002
tyMbktsAScE,2020-09-08,872
tyMbktsAScE,2020-09-09,821
tyMbktsAScE,2020-09-10,784
tyMbktsAScE,2020-09-11,775
tyMbktsAScE,2020-09-12,760
