day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,1011,68,3,57,4,27,9,3,1662,122,98,74.19,0,0,0,0,0,0,0,0.0,0.0152,9,525,0,8,11,0
2019-01-02,1542,100,10,57,1,30,9,3,2530,181,98,74.04,0,0,0,0,0,0,0,0.0,0.014499999999999999,12,830,0,12,12,0
2019-01-03,1182,69,1,39,2,20,17,0,1891,109,96,72.2,0,0,0,0,0,0,0,0.0,0.006500000000000001,4,615,0,4,8,0
2019-01-04,527,32,1,23,0,10,15,1,854,60,97,73.17,0,0,0,0,0,0,0,0.25,0.0108,4,277,1,3,1,0
2019-01-05,382,19,1,23,1,9,10,0,632,38,99,74.68,0,0,0,0,0,0,0,0.0,0.0,0,168,0,0,0,0
2019-01-06,283,16,1,12,1,4,7,2,471,27,99,75.11,0,0,0,0,0,0,0,0.0,0.0074,2,135,0,1,2,0
2019-01-07,243,20,0,11,0,1,3,0,416,36,102,77.31,0,0,0,0,0,0,0,0.0,0.008100000000000001,1,123,0,1,1,0
2019-01-08,193,8,0,5,0,5,3,0,307,12,95,71.98,0,0,0,0,0,0,0,0.0,0.0103,1,97,0,1,0,0
2019-01-09,210,11,1,8,0,2,2,0,346,15,99,74.51,0,0,0,0,0,0,0,0.0,0.030299999999999997,3,99,0,3,4,0
2019-01-10,204,8,0,6,0,3,5,0,346,13,102,76.72,0,0,0,0,0,0,0,0.0,0.02,2,100,0,2,0,0
2019-01-11,244,15,1,7,0,4,4,1,396,28,97,73.25,0,0,0,0,0,0,0,0.0,0.0,0,102,0,0,3,0
2019-01-12,247,19,0,12,0,4,5,0,439,36,106,80.23,0,0,0,0,0,0,0,0.5,0.0148,2,135,1,2,3,0
2019-01-13,215,9,0,4,1,5,1,0,367,17,102,77.08,0,0,0,0,0,0,0,0.0,0.028300000000000002,2,106,0,3,4,1
2019-01-14,167,10,1,8,0,3,14,0,285,17,102,77.04,0,0,0,0,0,0,0,0.0,0.0118,1,85,0,1,2,0
2019-01-15,136,8,0,7,0,1,9,0,233,15,102,77.42,0,0,0,0,0,0,0,0.0,0.0294,2,68,0,2,0,0
2019-01-16,128,7,0,9,0,0,4,0,211,14,99,74.62,0,0,0,0,0,0,0,0.0,0.0172,1,58,0,1,1,0
2019-01-17,90,6,0,0,0,0,5,0,155,10,103,78.1,0,0,0,0,0,0,0,0.0,0.0,0,42,0,0,1,0
2019-01-18,95,5,0,8,0,5,1,0,160,7,101,76.42,0,0,0,0,0,0,0,0.0,0.0682,3,44,0,3,1,0
2019-01-19,112,15,1,3,0,3,5,0,198,29,106,79.85,0,0,0,0,0,0,0,1.0,0.0222,1,45,1,1,0,0
2019-01-20,100,4,0,3,0,2,5,1,175,7,105,79.19,0,0,0,0,0,0,0,0.0,0.0,0,44,0,0,3,0
2019-01-21,100,4,0,4,0,2,2,1,156,5,93,70.57,0,0,0,0,0,0,0,0.0,0.025,1,40,0,1,1,0
2019-01-22,101,6,0,1,0,0,4,0,176,10,104,78.87,0,0,0,0,0,0,0,0.0,0.0,0,46,0,0,1,0
2019-01-23,84,2,0,3,0,2,1,0,137,3,97,73.6,0,0,0,0,0,0,0,0.0,0.0263,1,38,0,1,3,0
2019-01-24,76,6,0,5,0,0,3,0,145,12,115,86.53,0,0,0,0,0,0,0,0.0,0.024399999999999998,1,41,0,1,0,0
2019-01-25,63,3,0,1,0,0,2,0,107,6,102,76.88,0,0,0,0,0,0,0,0.0,0.027000000000000003,1,37,0,1,1,0
2019-01-26,106,6,0,2,0,0,3,0,185,11,104,78.88,0,0,0,0,0,0,0,0.0,0.0213,1,47,0,1,0,0
2019-01-27,113,14,0,6,0,2,2,0,207,25,110,83.03,0,0,0,0,0,0,0,0.0,0.0,0,72,0,0,0,0
