day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,6,0,0,0,0,0,0,0,13,0,131,62.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-02,3,0,0,0,0,0,1,0,3,0,71,34.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-03,4,0,0,1,0,0,1,0,9,0,138,66.37,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0
2019-01-04,9,0,0,0,0,0,0,0,13,0,90,43.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-05,5,0,0,0,0,0,0,0,1,0,21,10.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-06,9,0,0,0,0,0,0,0,11,0,73,35.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-07,2,0,0,0,0,0,0,0,3,0,93,44.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-08,2,1,0,0,0,0,0,0,3,0,100,48.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-09,6,0,0,0,0,0,0,0,9,0,97,46.49,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0
2019-01-10,2,0,0,0,0,0,0,0,0,0,20,9.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-11,6,0,0,1,0,0,0,0,8,0,87,42.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-12,3,0,0,0,0,0,0,0,6,0,124,59.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-13,3,0,0,0,0,0,0,0,4,0,88,42.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-14,6,0,0,0,0,0,0,0,7,0,76,36.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-15,9,1,0,0,0,0,0,0,16,0,112,53.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-16,5,0,0,0,0,0,0,0,7,0,85,41.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-17,4,0,0,0,0,0,0,0,5,0,88,42.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-01-18,4,0,0,0,0,0,0,0,8,0,132,63.470000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-19,3,0,0,0,0,0,0,0,3,0,74,35.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-21,4,1,0,0,0,0,0,0,11,3,166,79.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-22,4,1,0,1,0,0,0,1,1,0,19,9.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-23,2,0,0,0,0,0,0,0,3,0,111,53.449999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-24,5,0,0,1,0,0,0,0,8,0,98,46.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-25,5,0,0,0,0,0,0,0,2,0,25,12.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-27,5,1,0,0,0,0,0,0,8,0,105,50.25999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-28,5,0,0,0,0,0,0,0,6,0,82,39.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-30,4,0,0,0,0,0,0,0,6,0,102,48.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-31,2,0,0,0,0,0,0,0,1,0,59,28.300000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-01,3,0,0,0,0,0,1,0,4,0,84,40.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-02,10,3,0,0,0,0,0,0,12,3,73,34.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-03,6,0,0,0,0,0,0,0,9,0,98,47.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-04,5,0,0,0,0,0,0,0,6,0,75,36.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-05,3,0,0,0,0,0,0,0,7,0,159,76.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-06,2,0,0,0,0,0,0,0,7,0,218,104.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-07,2,0,0,0,0,0,0,0,3,0,110,52.96999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-08,4,0,0,0,0,0,0,0,2,0,38,18.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-09,4,0,0,0,0,0,0,0,7,0,109,52.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-10,9,1,0,0,0,0,0,0,5,0,38,18.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-11,3,0,0,0,0,0,0,0,7,0,143,68.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-12,3,0,0,0,0,0,0,0,7,0,142,68.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-13,2,1,0,0,0,0,0,0,0,0,8,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-14,2,0,0,0,0,0,0,0,2,0,74,35.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-15,2,1,0,0,0,1,0,0,4,0,122,58.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-16,7,2,0,0,0,0,0,0,15,4,135,64.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-17,8,0,0,1,0,0,0,0,13,0,98,46.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
