videoID,day,likes
uc_oaundDK4,2019-10-18,1540
uc_oaundDK4,2019-10-19,1224
uc_oaundDK4,2019-10-20,431
uc_oaundDK4,2019-10-21,224
uc_oaundDK4,2019-10-22,132
uc_oaundDK4,2019-10-23,100
uc_oaundDK4,2019-10-24,80
uc_oaundDK4,2019-10-25,53
uc_oaundDK4,2019-10-26,33
uc_oaundDK4,2019-10-27,31
uc_oaundDK4,2019-10-28,22
uc_oaundDK4,2019-10-29,14
uc_oaundDK4,2019-10-30,15
uc_oaundDK4,2019-10-31,11
uc_oaundDK4,2019-11-01,12
uc_oaundDK4,2019-11-02,12
uc_oaundDK4,2019-11-03,8
uc_oaundDK4,2019-11-04,9
uc_oaundDK4,2019-11-05,6
uc_oaundDK4,2019-11-06,7
uc_oaundDK4,2019-11-07,6
uc_oaundDK4,2019-11-08,1
uc_oaundDK4,2019-11-09,7
uc_oaundDK4,2019-11-10,8
uc_oaundDK4,2019-11-11,1
uc_oaundDK4,2019-11-12,8
uc_oaundDK4,2019-11-13,6
uc_oaundDK4,2019-11-14,8
uc_oaundDK4,2019-11-15,3
uc_oaundDK4,2019-11-16,5
uc_oaundDK4,2019-11-17,4
uc_oaundDK4,2019-11-18,3
uc_oaundDK4,2019-11-19,4
uc_oaundDK4,2019-11-20,6
uc_oaundDK4,2019-11-21,4
uc_oaundDK4,2019-11-22,1
uc_oaundDK4,2019-11-23,4
uc_oaundDK4,2019-11-24,8
uc_oaundDK4,2019-11-25,1
uc_oaundDK4,2019-11-26,0
uc_oaundDK4,2019-11-27,2
uc_oaundDK4,2019-11-28,8
uc_oaundDK4,2019-11-29,3
uc_oaundDK4,2019-11-30,1
uc_oaundDK4,2019-12-01,1
uc_oaundDK4,2019-12-02,2
uc_oaundDK4,2019-12-03,3
uc_oaundDK4,2019-12-04,0
uc_oaundDK4,2019-12-05,3
uc_oaundDK4,2019-12-06,8
uc_oaundDK4,2019-12-07,6
uc_oaundDK4,2019-12-08,2
uc_oaundDK4,2019-12-09,6
