day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-01-01,3969,183,9,109,2,89,35,13,32317,1586,488,60.69,0,0,0,0,0,0,0,0.3333,0.0052,6,954,2,5,49,1
2019-01-02,3997,205,5,99,5,88,31,10,32367,1664,485,60.36,0,0,0,0,0,0,0,0.2727,0.01,11,903,3,9,55,1
2019-01-03,3261,168,4,85,4,80,36,15,26327,1448,484,60.18,0,0,0,0,0,0,0,0.07139999999999999,0.012,14,749,1,9,36,0
2019-01-04,2269,117,4,77,1,55,28,6,18371,946,485,60.35,0,0,0,0,0,0,0,0.0,0.0018,2,570,0,1,22,1
2019-01-05,1547,73,1,43,1,37,13,3,12622,666,489,60.809999999999995,0,0,0,0,0,0,0,0.0,0.0028000000000000004,3,357,0,1,10,0
2019-01-06,1160,66,1,26,0,23,23,2,9152,606,473,58.81000000000001,0,0,0,0,0,0,0,0.0,0.004,3,253,0,1,11,2
2019-01-07,892,54,2,26,0,7,14,6,7182,510,483,60.01,0,0,0,0,0,0,0,0.0,0.0,1,221,0,0,13,0
2019-01-08,657,36,0,19,0,12,5,5,5034,274,459,57.11999999999999,0,0,0,0,0,0,0,0.0,0.0,2,147,0,0,4,0
2019-01-09,604,29,0,10,0,14,11,1,4876,298,484,60.18,0,0,0,0,0,0,0,0.5,0.0208,2,144,1,3,6,0
2019-01-10,681,40,0,21,0,18,14,1,5409,404,476,59.20000000000001,0,0,0,0,0,0,0,0.0,0.011699999999999999,2,171,0,2,6,0
2019-01-11,1446,82,0,41,0,42,13,6,11932,779,495,61.5,0,0,0,0,0,0,0,0.5,0.006,2,336,1,2,19,0
2019-01-12,3575,209,4,74,6,83,21,12,29634,2057,497,61.78,0,0,0,0,0,0,0,0.0,0.0052,8,763,0,4,41,2
2019-01-13,7895,535,8,210,6,188,31,16,63540,4715,482,59.99,0,0,0,0,0,0,0,0.0909,0.0067,11,1483,1,10,90,0
2019-01-14,8140,647,13,181,3,216,45,8,63400,5156,467,58.050000000000004,0,0,0,0,0,0,0,0.1,0.0039000000000000003,10,1547,1,6,67,2
2019-01-15,6363,452,6,141,2,177,50,7,48808,3533,460,57.17,0,0,0,0,0,0,0,0.2,0.0024,10,1246,2,3,57,0
2019-01-16,3416,238,0,92,2,104,35,7,26723,2010,469,58.31000000000001,0,0,0,0,0,0,0,0.0,0.0098,8,713,0,7,34,0
2019-01-17,1631,97,6,42,0,50,28,6,12464,784,458,56.96,0,0,0,0,0,0,0,0.0,0.0066,2,304,0,2,24,0
2019-01-18,782,39,0,39,0,23,13,5,6486,424,497,61.83,0,0,0,0,0,0,0,0.0,0.0053,1,189,0,1,11,0
2019-01-19,685,32,0,11,1,13,18,5,5821,304,509,63.35000000000001,0,0,0,0,0,0,0,0.0,0.0060999999999999995,2,165,0,1,6,1
