videoID,day,likes
vKg8GUgSQG0,2018-12-20,63
vKg8GUgSQG0,2018-12-21,773
vKg8GUgSQG0,2018-12-22,495
vKg8GUgSQG0,2018-12-23,281
vKg8GUgSQG0,2018-12-24,226
vKg8GUgSQG0,2018-12-25,141
vKg8GUgSQG0,2018-12-26,113
vKg8GUgSQG0,2018-12-27,83
vKg8GUgSQG0,2018-12-28,89
vKg8GUgSQG0,2018-12-29,114
vKg8GUgSQG0,2018-12-30,148
vKg8GUgSQG0,2018-12-31,101
vKg8GUgSQG0,2019-01-01,109
vKg8GUgSQG0,2019-01-02,99
vKg8GUgSQG0,2019-01-03,85
vKg8GUgSQG0,2019-01-04,77
vKg8GUgSQG0,2019-01-05,43
vKg8GUgSQG0,2019-01-06,26
vKg8GUgSQG0,2019-01-07,26
vKg8GUgSQG0,2019-01-08,19
vKg8GUgSQG0,2019-01-09,10
vKg8GUgSQG0,2019-01-10,21
vKg8GUgSQG0,2019-01-11,41
vKg8GUgSQG0,2019-01-12,74
vKg8GUgSQG0,2019-01-13,210
vKg8GUgSQG0,2019-01-14,181
vKg8GUgSQG0,2019-01-15,141
vKg8GUgSQG0,2019-01-16,92
vKg8GUgSQG0,2019-01-17,42
vKg8GUgSQG0,2019-01-18,39
vKg8GUgSQG0,2019-01-19,11
vKg8GUgSQG0,2019-01-20,9
vKg8GUgSQG0,2019-01-21,14
vKg8GUgSQG0,2019-01-22,20
vKg8GUgSQG0,2019-01-23,15
vKg8GUgSQG0,2019-01-24,16
vKg8GUgSQG0,2019-01-25,8
vKg8GUgSQG0,2019-01-26,23
vKg8GUgSQG0,2019-01-27,14
vKg8GUgSQG0,2019-01-28,12
vKg8GUgSQG0,2019-01-29,18
vKg8GUgSQG0,2019-01-30,23
vKg8GUgSQG0,2019-01-31,32
vKg8GUgSQG0,2019-02-01,30
vKg8GUgSQG0,2019-02-02,25
vKg8GUgSQG0,2019-02-03,33
vKg8GUgSQG0,2019-02-04,29
vKg8GUgSQG0,2019-02-05,22
vKg8GUgSQG0,2019-02-06,27
vKg8GUgSQG0,2019-02-07,24
vKg8GUgSQG0,2019-02-08,22
vKg8GUgSQG0,2019-02-09,24
vKg8GUgSQG0,2019-02-10,22
vKg8GUgSQG0,2019-02-11,9
vKg8GUgSQG0,2019-02-12,16
vKg8GUgSQG0,2019-02-13,17
vKg8GUgSQG0,2019-02-14,21
vKg8GUgSQG0,2019-02-15,22
vKg8GUgSQG0,2019-02-16,22
vKg8GUgSQG0,2019-02-17,33
vKg8GUgSQG0,2019-02-18,20
vKg8GUgSQG0,2019-02-19,22
vKg8GUgSQG0,2019-02-20,18
vKg8GUgSQG0,2019-02-21,10
vKg8GUgSQG0,2019-02-22,10
vKg8GUgSQG0,2019-02-23,18
vKg8GUgSQG0,2019-02-24,41
vKg8GUgSQG0,2019-02-25,49
vKg8GUgSQG0,2019-02-26,28
vKg8GUgSQG0,2019-02-27,27
vKg8GUgSQG0,2019-02-28,19
vKg8GUgSQG0,2019-03-01,28
vKg8GUgSQG0,2019-03-02,37
vKg8GUgSQG0,2019-03-03,35
vKg8GUgSQG0,2019-03-04,17
vKg8GUgSQG0,2019-03-05,15
vKg8GUgSQG0,2019-03-06,16
vKg8GUgSQG0,2019-03-07,14
vKg8GUgSQG0,2019-03-08,17
vKg8GUgSQG0,2019-03-09,37
vKg8GUgSQG0,2019-03-10,52
vKg8GUgSQG0,2019-03-11,26
vKg8GUgSQG0,2019-03-12,34
vKg8GUgSQG0,2019-03-13,27
vKg8GUgSQG0,2019-03-14,24
vKg8GUgSQG0,2019-03-15,17
vKg8GUgSQG0,2019-03-16,20
vKg8GUgSQG0,2019-03-17,17
vKg8GUgSQG0,2019-03-18,16
vKg8GUgSQG0,2019-03-19,8
vKg8GUgSQG0,2019-03-20,11
vKg8GUgSQG0,2019-03-21,11
vKg8GUgSQG0,2019-03-22,13
vKg8GUgSQG0,2019-03-23,16
vKg8GUgSQG0,2019-03-24,27
vKg8GUgSQG0,2019-03-25,21
vKg8GUgSQG0,2019-03-26,19
vKg8GUgSQG0,2019-03-27,14
vKg8GUgSQG0,2019-03-28,10
vKg8GUgSQG0,2019-03-29,15
vKg8GUgSQG0,2019-03-30,28
vKg8GUgSQG0,2019-03-31,23
vKg8GUgSQG0,2019-04-01,17
vKg8GUgSQG0,2019-04-02,27
vKg8GUgSQG0,2019-04-03,18
vKg8GUgSQG0,2019-04-04,32
vKg8GUgSQG0,2019-04-05,27
vKg8GUgSQG0,2019-04-06,17
vKg8GUgSQG0,2019-04-07,16
vKg8GUgSQG0,2019-04-08,13
vKg8GUgSQG0,2019-04-09,13
vKg8GUgSQG0,2019-04-10,15
vKg8GUgSQG0,2019-04-11,12
vKg8GUgSQG0,2019-04-12,27
vKg8GUgSQG0,2019-04-13,15
vKg8GUgSQG0,2019-04-14,6
vKg8GUgSQG0,2019-04-15,20
vKg8GUgSQG0,2019-04-16,19
vKg8GUgSQG0,2019-04-17,21
vKg8GUgSQG0,2019-04-18,18
vKg8GUgSQG0,2019-04-19,17
vKg8GUgSQG0,2019-04-20,13
vKg8GUgSQG0,2019-04-21,9
vKg8GUgSQG0,2019-04-22,15
vKg8GUgSQG0,2019-04-23,9
vKg8GUgSQG0,2019-04-24,8
vKg8GUgSQG0,2019-04-25,11
vKg8GUgSQG0,2019-04-26,15
vKg8GUgSQG0,2019-04-27,12
vKg8GUgSQG0,2019-04-28,9
vKg8GUgSQG0,2019-04-29,16
vKg8GUgSQG0,2019-04-30,15
vKg8GUgSQG0,2019-05-01,38
vKg8GUgSQG0,2019-05-02,51
vKg8GUgSQG0,2019-05-03,84
vKg8GUgSQG0,2019-05-04,80
vKg8GUgSQG0,2019-05-05,41
vKg8GUgSQG0,2019-05-06,37
vKg8GUgSQG0,2019-05-07,29
vKg8GUgSQG0,2019-05-08,28
vKg8GUgSQG0,2019-05-09,24
vKg8GUgSQG0,2019-05-10,25
vKg8GUgSQG0,2019-05-11,23
vKg8GUgSQG0,2019-05-12,16
vKg8GUgSQG0,2019-05-13,8
vKg8GUgSQG0,2019-05-14,12
vKg8GUgSQG0,2019-05-15,12
vKg8GUgSQG0,2019-05-16,9
vKg8GUgSQG0,2019-05-17,11
vKg8GUgSQG0,2019-05-18,8
vKg8GUgSQG0,2019-05-19,13
vKg8GUgSQG0,2019-05-20,11
vKg8GUgSQG0,2019-05-21,11
vKg8GUgSQG0,2019-05-22,10
vKg8GUgSQG0,2019-05-23,15
vKg8GUgSQG0,2019-05-24,9
vKg8GUgSQG0,2019-05-25,10
vKg8GUgSQG0,2019-05-26,19
