videoID,day,likes
vzpN5VDMzns,2019-12-04,1887
vzpN5VDMzns,2019-12-05,2402
vzpN5VDMzns,2019-12-06,687
vzpN5VDMzns,2019-12-07,229
vzpN5VDMzns,2019-12-08,231
vzpN5VDMzns,2019-12-09,173
vzpN5VDMzns,2019-12-10,122
vzpN5VDMzns,2019-12-11,74
vzpN5VDMzns,2019-12-12,56
vzpN5VDMzns,2019-12-13,44
vzpN5VDMzns,2019-12-14,48
vzpN5VDMzns,2019-12-15,40
vzpN5VDMzns,2019-12-16,30
vzpN5VDMzns,2019-12-17,24
vzpN5VDMzns,2019-12-18,28
vzpN5VDMzns,2019-12-19,50
vzpN5VDMzns,2019-12-20,47
vzpN5VDMzns,2019-12-21,38
vzpN5VDMzns,2019-12-22,40
vzpN5VDMzns,2019-12-23,33
vzpN5VDMzns,2019-12-24,16
vzpN5VDMzns,2019-12-25,24
vzpN5VDMzns,2019-12-26,32
vzpN5VDMzns,2019-12-27,30
vzpN5VDMzns,2019-12-28,29
vzpN5VDMzns,2019-12-29,38
vzpN5VDMzns,2019-12-30,24
vzpN5VDMzns,2019-12-31,27
vzpN5VDMzns,2020-01-01,31
vzpN5VDMzns,2020-01-02,33
vzpN5VDMzns,2020-01-03,38
vzpN5VDMzns,2020-01-04,36
vzpN5VDMzns,2020-01-05,42
vzpN5VDMzns,2020-01-06,28
vzpN5VDMzns,2020-01-07,22
vzpN5VDMzns,2020-01-08,29
vzpN5VDMzns,2020-01-09,22
vzpN5VDMzns,2020-01-10,26
vzpN5VDMzns,2020-01-11,25
vzpN5VDMzns,2020-01-12,40
vzpN5VDMzns,2020-01-13,25
vzpN5VDMzns,2020-01-14,27
vzpN5VDMzns,2020-01-15,24
vzpN5VDMzns,2020-01-16,17
vzpN5VDMzns,2020-01-17,17
vzpN5VDMzns,2020-01-18,18
vzpN5VDMzns,2020-01-19,9
vzpN5VDMzns,2020-01-20,11
vzpN5VDMzns,2020-01-21,12
vzpN5VDMzns,2020-01-22,5
vzpN5VDMzns,2020-01-23,8
vzpN5VDMzns,2020-01-24,12
vzpN5VDMzns,2020-01-25,16
vzpN5VDMzns,2020-01-26,5
vzpN5VDMzns,2020-01-27,14
vzpN5VDMzns,2020-01-28,13
vzpN5VDMzns,2020-01-29,10
vzpN5VDMzns,2020-01-30,32
vzpN5VDMzns,2020-01-31,11
vzpN5VDMzns,2020-02-01,21
vzpN5VDMzns,2020-02-02,14
vzpN5VDMzns,2020-02-03,21
vzpN5VDMzns,2020-02-04,24
vzpN5VDMzns,2020-02-05,82
vzpN5VDMzns,2020-02-06,78
vzpN5VDMzns,2020-02-07,66
vzpN5VDMzns,2020-02-08,58
vzpN5VDMzns,2020-02-09,92
vzpN5VDMzns,2020-02-10,56
vzpN5VDMzns,2020-02-11,42
vzpN5VDMzns,2020-02-12,31
vzpN5VDMzns,2020-02-13,35
vzpN5VDMzns,2020-02-14,35
vzpN5VDMzns,2020-02-15,12
vzpN5VDMzns,2020-02-16,19
vzpN5VDMzns,2020-02-17,12
vzpN5VDMzns,2020-02-18,11
vzpN5VDMzns,2020-02-19,13
vzpN5VDMzns,2020-02-20,13
vzpN5VDMzns,2020-02-21,12
vzpN5VDMzns,2020-02-22,7
vzpN5VDMzns,2020-02-23,19
vzpN5VDMzns,2020-02-24,6
vzpN5VDMzns,2020-02-25,16
vzpN5VDMzns,2020-02-26,22
vzpN5VDMzns,2020-02-27,18
vzpN5VDMzns,2020-02-28,18
vzpN5VDMzns,2020-02-29,20
vzpN5VDMzns,2020-03-01,29
vzpN5VDMzns,2020-03-02,19
vzpN5VDMzns,2020-03-03,15
vzpN5VDMzns,2020-03-04,12
vzpN5VDMzns,2020-03-05,11
vzpN5VDMzns,2020-03-06,26
vzpN5VDMzns,2020-03-07,11
vzpN5VDMzns,2020-03-08,14
vzpN5VDMzns,2020-03-09,20
vzpN5VDMzns,2020-03-10,18
vzpN5VDMzns,2020-03-11,10
vzpN5VDMzns,2020-03-12,9
vzpN5VDMzns,2020-03-13,12
vzpN5VDMzns,2020-03-14,11
vzpN5VDMzns,2020-03-15,26
vzpN5VDMzns,2020-03-16,12
vzpN5VDMzns,2020-03-17,14
vzpN5VDMzns,2020-03-18,14
vzpN5VDMzns,2020-03-19,8
vzpN5VDMzns,2020-03-20,5
vzpN5VDMzns,2020-03-21,21
vzpN5VDMzns,2020-03-22,17
vzpN5VDMzns,2020-03-23,16
vzpN5VDMzns,2020-03-24,18
vzpN5VDMzns,2020-03-25,7
vzpN5VDMzns,2020-03-26,13
vzpN5VDMzns,2020-03-27,10
vzpN5VDMzns,2020-03-28,6
vzpN5VDMzns,2020-03-29,5
vzpN5VDMzns,2020-03-30,8
vzpN5VDMzns,2020-03-31,9
vzpN5VDMzns,2020-04-01,6
vzpN5VDMzns,2020-04-02,10
vzpN5VDMzns,2020-04-03,4
vzpN5VDMzns,2020-04-04,8
vzpN5VDMzns,2020-04-05,1
vzpN5VDMzns,2020-04-06,11
vzpN5VDMzns,2020-04-07,2
vzpN5VDMzns,2020-04-08,9
vzpN5VDMzns,2020-04-09,9
vzpN5VDMzns,2020-04-10,9
vzpN5VDMzns,2020-04-11,12
vzpN5VDMzns,2020-04-12,14
vzpN5VDMzns,2020-04-13,12
vzpN5VDMzns,2020-04-14,20
vzpN5VDMzns,2020-04-15,14
vzpN5VDMzns,2020-04-16,10
vzpN5VDMzns,2020-04-17,8
vzpN5VDMzns,2020-04-18,17
vzpN5VDMzns,2020-04-19,15
vzpN5VDMzns,2020-04-20,22
vzpN5VDMzns,2020-04-21,14
vzpN5VDMzns,2020-04-22,17
