day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2021-06-02,40901,5688,130,2659,107,1612,511,74,37266,5499,54,91.11,0,0,0,0,0,0,0,0,0,0,0,0,0,70,9
2021-06-03,14951,1894,29,848,40,350,259,40,13658,1833,54,91.35,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5
2021-06-04,7123,943,14,396,9,152,110,25,6599,1048,55,92.65,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
2021-06-05,12348,1352,16,592,22,133,83,19,10188,1299,49,82.51,0,0,0,0,0,0,0,0,0,0,0,0,0,60,3
2021-06-06,11906,1037,16,539,29,113,58,25,8364,950,42,70.26,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2
2021-06-07,12780,1128,12,559,32,78,42,20,9190,1141,43,71.91,0,0,0,0,0,0,0,0,0,0,0,0,0,47,2
2021-06-08,10739,909,10,420,30,78,41,14,6735,840,37,62.72,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0
2021-06-09,9695,840,7,404,21,65,45,10,6134,738,37,63.28,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
2021-06-10,6836,604,6,304,21,60,26,15,4703,500,41,68.81,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
2021-06-11,6197,539,5,227,13,44,18,12,4325,514,41,69.79,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
2021-06-12,5622,588,5,216,7,43,17,4,3817,491,40,67.9,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2
2021-06-13,5141,480,7,214,15,50,35,3,3858,419,45,75.05,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2
2021-06-14,4142,383,2,136,10,28,21,5,2717,321,39,65.62,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2
2021-06-15,3331,301,4,138,6,38,20,2,2287,255,41,68.68,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
2021-06-16,2669,210,1,116,6,24,15,3,1729,165,38,64.78,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
2021-06-17,3459,262,2,154,14,16,12,5,2220,220,38,64.19,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2021-06-18,4425,276,3,173,14,17,13,6,2462,275,33,55.64,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
2021-06-19,5117,290,3,147,22,21,15,3,2729,386,32,53.339999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
2021-06-20,5447,310,1,159,24,23,12,10,2909,418,32,53.42,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1
2021-06-21,5430,275,2,157,15,11,16,5,2383,292,26,43.89,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
2021-06-22,5080,199,1,118,14,15,9,7,1967,161,23,38.73,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
2021-06-23,4755,214,2,111,8,16,6,2,1624,163,20,34.17,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
2021-06-24,3920,170,0,99,7,3,10,5,1509,138,23,38.52,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
2021-06-25,3424,150,0,89,5,8,6,8,1235,120,21,36.09,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
2021-06-26,3084,157,2,88,4,5,5,2,1528,129,29,49.57,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2021-06-27,2982,205,1,87,10,9,9,3,1577,172,31,52.900000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
2021-06-28,3507,150,0,95,4,8,3,1,1338,106,22,38.18,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
2021-06-29,2883,152,1,79,4,13,7,1,1535,145,31,53.27,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
2021-06-30,2646,136,0,79,6,7,5,7,1401,207,31,52.96999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
2021-07-01,2278,144,1,79,6,1,6,7,1149,114,30,50.45,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
2021-07-02,1861,111,0,76,5,3,7,2,980,151,31,52.68000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-07-03,1894,114,1,67,5,1,4,2,1058,93,33,55.87,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-07-04,1732,89,0,55,4,1,7,1,871,78,30,50.34,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
2021-07-05,1481,85,0,48,4,2,2,0,840,71,34,56.75,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2021-07-06,1418,79,0,49,8,4,8,0,739,129,31,52.12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-07-07,1329,77,0,52,1,12,4,5,826,63,37,62.17,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
2021-07-08,1039,63,0,25,3,3,1,0,602,51,34,57.989999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-07-09,1017,68,1,40,1,3,3,0,637,61,37,62.63999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-07-10,956,76,0,39,2,4,6,0,748,57,46,78.29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-07-11,1026,107,0,39,1,2,1,1,676,92,39,65.95,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-07-12,982,67,0,34,3,3,3,0,680,181,41,69.29,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-07-13,1139,110,0,44,1,2,5,2,738,87,38,64.85,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-07-14,1130,103,0,27,1,1,5,1,818,90,43,72.44,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2021-07-15,1092,103,0,37,1,5,2,0,698,110,38,64.01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-07-16,1018,86,0,39,2,4,3,1,610,77,35,59.99,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-07-17,958,107,2,36,3,7,5,1,695,83,43,72.64,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-07-18,890,84,0,34,2,1,2,2,607,72,40,68.31,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2021-07-19,1013,123,3,57,4,4,5,1,832,107,49,82.17,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2021-07-20,939,112,0,38,0,2,5,2,800,200,51,85.22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2021-07-21,974,67,0,28,2,2,4,5,587,53,36,60.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-07-22,731,45,0,19,1,3,3,2,453,37,37,62.09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-07-23,742,49,0,17,0,2,3,0,443,120,35,59.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
